Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,All Homes,251381.77538846683,252234.64156845195,253194.1160209352,254153.59047341844,255219.67319839983,256392.36419587937
Akron Metro,metro,All Homes,155855.5731153305,156422.8334765525,157103.54591001893,158124.61456021856,159372.587354907,160620.56014959543
Albany-Schenectady-Troy Metro,metro,All Homes,209038.77644947718,209922.66678565554,210806.55712183393,211248.50228992314,211027.52970587852,210696.07082981165
Albuquerque Metro,metro,All Homes,213787.40761058743,215073.27611231466,216476.04175056255,217995.70452533106,219866.0587096616,221736.4128939921
Allentown-Bethlehem-Easton Metro,metro,All Homes,211706.50139858358,212327.1448085699,212844.34765022513,213568.4316285425,214395.95617519086,215430.3618585014
Amarillo Metro,metro,All Homes,143956.96669769546,144275.71534132134,144488.21443707193,144913.21262857312,145231.961272199,145550.70991582487
Anchorage Metro,metro,All Homes,321895.374176766,323589.47529509687,324860.05113384506,325495.3390532191,322318.89945634874,318718.9345798956
Ann Arbor Metro,metro,All Homes,299208.55947745236,298590.7157256842,299414.5073947084,300135.32510510454,300341.2730223606,299929.3771878485
Appleton Metro,metro,All Homes,187439.17238361633,188342.58236329712,189697.6973328183,190939.8860548794,192520.85351932078,193424.26349900156
Asheville Metro,metro,All Homes,284044.7641543294,284914.4131345942,285675.35599232593,286871.12334019,287849.4784429879,289045.245790852
Atlanta-Sandy Springs-Roswell Metro,metro,All Homes,248390.57806751638,249138.97208726613,250101.1929698015,251277.2407151225,252453.28846044352,253629.33620576453
Atlantic City-Hammonton Metro,metro,All Homes,197961.9223872269,198273.6041276451,198663.2063031679,199052.80847869068,199676.17195952716,199832.01282973628
Augusta-Richmond County Metro,metro,All Homes,155906.8505412446,156240.698026351,156685.8280064928,157353.52297670554,158021.21794691824,158800.19541216645
Austin-Round Rock Metro,metro,All Homes,345285.19448592677,346420.9145752334,347246.8928220018,348692.3547538466,349828.0748431532,351480.03133669007
Bakersfield Metro,metro,All Homes,234205.49134383365,235628.7193814033,236746.96998235089,237763.56143775777,239085.13032978674,241118.31324060052
Baltimore-Columbia-Towson Metro,metro,All Homes,294349.9343653309,294452.6500532495,294966.22849284246,295377.09124451684,295787.9539961912,296198.8167478656
Barnstable Town Metro,metro,All Homes,435321.3089119033,436499.6269985342,437999.30456333724,440784.4200408286,444640.7337788935,448711.2871690731
Baton Rouge Metro,metro,All Homes,183679.07368363254,183970.47929357056,184359.02010682123,184941.83132669725,185524.64254657325,186787.40018963793
Bend-Redmond Metro,metro,All Homes,437264.7739753493,437677.6817976837,439122.859175854,441497.07915427675,445522.93042203697,448000.3773560433
Binghamton Metro,metro,All Homes,119191.6425972422,119384.71617393914,119867.40011568149,120736.23121081773,121508.5255176055,122087.74624769633
Birmingham-Hoover Metro,metro,All Homes,159090.97879487972,160252.27837686395,161529.70791704662,162807.13745722928,164084.56699741195,165710.38641218987
Boise City Metro,metro,All Homes,329337.0100331856,331654.1503395233,334743.6707479735,337833.19115642377,341805.43168157403,345336.3121483743
Boston-Cambridge-Newton Metro,metro,All Homes,499165.56553507614,500517.4063656371,502077.22270859196,504260.96558872884,506548.6962250627,509668.3289109725
Boulder Metro,metro,All Homes,590788.1324051688,591404.5330787601,593048.268208337,595205.6705659067,595719.3377938995,596233.0050218923
Bremerton-Silverdale Metro,metro,All Homes,412162.69248773716,416361.59155750595,419455.5171878619,422217.950786394,424206.90297733713,427632.3206395169
Bridgeport-Stamford-Norwalk Metro,metro,All Homes,411577.908794351,411577.908794351,411344.07905928843,411811.7385294136,411733.7952843927,411811.7385294136
Buffalo-Cheektowaga-Niagara Falls Metro,metro,All Homes,178931.11653735678,179818.8121420126,180817.46969725043,181594.2033513243,182038.0511536522,182149.01310423418
Burlington Metro,metro,All Homes,166310.1070365848,167032.23570072497,167844.63044788264,168205.69477995276,168386.2269459878,168205.69477995276
Burlington-South Burlington Metro,metro,All Homes,319823.77055950527,320703.44918444596,321803.04746562184,323232.52523115044,324552.04316856153,326751.23973091325
Canton-Massillon Metro,metro,All Homes,141435.121291839,142350.25562098296,143265.3899501269,144180.52427927084,145095.65860841481,146125.18472870174
Cape Coral-Fort Myers Metro,metro,All Homes,245600.57458945352,245600.57458945352,245302.80828253907,246493.87351019683,247089.4061240257,248181.2159160453
Cedar Rapids Metro,metro,All Homes,163386.19113499447,163827.51278998778,164048.17361748443,164489.49527247774,164489.49527247774,164489.49527247774
Champaign-Urbana Metro,metro,All Homes,145115.42720501902,145737.20780407934,146048.0981036095,146566.24860282644,146462.61850298304,146048.0981036095
Charleston Metro,metro,All Homes,97337.18169634309,97091.34126169559,97009.39445014641,96763.55401549891,96599.66039240058,96517.7135808514
Charleston-North Charleston Metro,metro,All Homes,279358.8781944242,279993.97392306675,280629.0696517093,281264.1653803518,281899.26110899437,282216.80897331564
Charlotte-Concord-Gastonia Metro,metro,All Homes,244303.77017612834,245746.3606512729,247077.98262832945,248076.69911112185,249519.28958626642,251072.84855949905
Chattanooga Metro,metro,All Homes,183162.30318505818,183608.7610630639,184166.83341057107,184724.9057580782,185506.20704458826,186287.5083310983
Chicago-Naperville-Elgin Metro,metro,All Homes,244289.99676333094,244289.99676333094,244394.31068339862,244707.2524436016,245020.1942038046,245437.44988407523
Chico Metro,metro,All Homes,358437.16168227815,360412.9444320729,359534.8187654975,355583.2532659079,349436.3735998797,344826.2138503585
Cincinnati Metro,metro,All Homes,190880.11140826778,191784.89080848914,192576.57278368284,193368.25475887652,194046.83930904255,194951.61870926392
Clarksville Metro,metro,All Homes,168424.31561966342,169601.52460405757,170661.0126900123,171838.22167440646,173250.87245567946,175369.84862758894
Cleveland-Elyria Metro,metro,All Homes,162466.51019761246,162803.42854425474,163364.95912199194,164151.101930824,164937.24473965605,165498.7753173932
Colorado Springs Metro,metro,All Homes,329863.11603353656,331634.3436439779,333405.5712544192,336062.41267008125,339272.7627140061,343147.3231118466
Columbia Metro,metro,All Homes,162532.05462634942,163088.5735284356,163533.78865010457,163979.0037717735,164646.82645427695,165537.25669761485
Columbus Metro,metro,All Homes,121071.80627818152,121629.29662154826,122279.7020221428,122744.27730828174,123208.85259442069,123673.42788055964
Columbus Metro,metro,All Homes,216953.18007804325,217948.5636064632,219165.14347453206,220713.51785207423,222372.4903994408,223699.66843733413
Dallas-Fort Worth-Arlington Metro,metro,All Homes,262879.81902721693,263299.91116510535,263509.95723404957,263930.04937193793,264455.16454429843,265400.37185454735
Davenport-Moline-Rock Island Metro,metro,All Homes,131961.2523557996,132285.95405236675,132394.18795122247,132610.6557489339,132935.35744550102,133476.52693977958
