Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Bottom Tier,130454.38733164028,130884.84138952836,131422.9089618885,131960.9765342486,132606.65762108073,133144.72519344083
Akron Metro,metro,Bottom Tier,81244.05334006995,81587.3886871869,81930.72403430386,82502.9496128321,83189.62030706601,83990.73611700557
Albany-Schenectady-Troy Metro,metro,Bottom Tier,147561.69991015183,148245.63682282367,149043.5632209408,149499.521162722,149613.51064816728,149613.51064816728
Albuquerque Metro,metro,Bottom Tier,157999.13585783617,159060.94791389632,160122.75996995647,161420.53026069666,162718.30055143687,164252.02907685708
Allentown-Bethlehem-Easton Metro,metro,Bottom Tier,143264.91421786917,143812.28155411017,144250.17542310295,144907.01622659212,145563.8570300813,146439.64476806688
Amarillo Metro,metro,Bottom Tier,80685.11813386853,80898.41633551545,81005.06543633892,81218.36363798584,81431.66183963275,81644.96004127969
Anchorage Metro,metro,Bottom Tier,219225.01997326774,218933.355474561,218738.91247542313,218738.91247542313,216794.48248404462,214461.16649439043
Ann Arbor Metro,metro,Bottom Tier,191663.82678636198,191459.03360851604,192073.41314205382,192687.79267559166,192994.98244236055,192892.58585343757
Appleton Metro,metro,Bottom Tier,139916.38029600773,140709.56471340684,141842.68530969133,142749.1817867189,143882.30238300335,144675.4868004025
Asheville Metro,metro,Bottom Tier,195840.06603259052,196613.06086141375,197054.77219216985,197827.76702099305,198379.9061844382,199152.9010132614
Atlanta-Sandy Springs-Roswell Metro,metro,Bottom Tier,166094.65635150188,166848.9474733135,167710.99446966965,168680.7973405703,169758.3560860155,170728.1589569162
Atlantic City-Hammonton Metro,metro,Bottom Tier,121314.67793552135,121622.7485763992,122007.8368774965,122315.90751837436,122778.01347969113,122932.04880013005
Augusta-Richmond County Metro,metro,Bottom Tier,82399.65357986404,82627.37392443443,82855.09426900484,83310.53495814564,83652.11547500122,84107.55616414202
Austin-Round Rock Metro,metro,Bottom Tier,246254.9082463784,246980.29071799913,247498.42105487108,248431.0556612406,248949.18599811255,249881.82060448203
Bakersfield Metro,metro,Bottom Tier,166751.7369663337,167761.7442632515,168569.75010078572,169478.75666801175,170387.76323523777,171902.77418061448
Baltimore-Columbia-Towson Metro,metro,Bottom Tier,176027.1746183211,176128.8074133456,176535.33859344374,176840.23697851735,177043.50256856641,177348.40095364
Barnstable Town Metro,metro,Bottom Tier,323492.8444070427,324566.3243938459,325961.84837669006,328323.504347657,331651.2923067469,335086.42826451705
