Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Condo,272416.77152227686,273049.58645123517,273893.3396898462,274842.5620832837,275897.25363154744,276951.9451798113
Akron Metro,metro,Condo,156908.41671206974,157583.44066034176,158258.46460861375,159496.00851377912,160733.55241894448,162083.6003154885
Albany-Schenectady-Troy Metro,metro,Condo,170643.31061632518,171332.72189183117,172022.1331673372,172194.4859862137,172280.66239565195,172453.01521452845
Albuquerque Metro,metro,Condo,158113.05291071202,158565.2347264894,159130.46199621115,160034.8256277659,161052.23471326503,162182.6892527085
Allentown-Bethlehem-Easton Metro,metro,Condo,179512.81511499782,179994.32493416383,180379.53278949662,180957.34457249584,181631.45831932823,182401.87402999384
Amarillo Metro,metro,Condo,137981.0347657366,138290.9274356485,138704.1176621977,139014.01033210958,139530.49811529607,140046.98589848256
Anchorage Metro,metro,Condo,203698.80331626322,205295.6620410422,206786.0635175026,208382.92224228158,208489.37949060017,208489.37949060017
Ann Arbor Metro,metro,Condo,241732.8599418323,241124.625098462,241631.48746793726,242138.3498374125,242138.3498374125,241935.60488962242
Appleton Metro,metro,Condo,183292.90235966616,184312.49446969904,185785.23862863542,187371.27079979767,188957.30297095992,189863.60706876693
Asheville Metro,metro,Condo,222475.45045402332,223134.12226654086,223902.57271447798,224890.58043325428,225659.0308811914,226647.03859996772
Atlanta-Sandy Springs-Roswell Metro,metro,Condo,230594.5438545005,231021.70315282396,231662.44210030918,232516.76069695616,233691.44876734575,234866.1368377353
Atlantic City-Hammonton Metro,metro,Condo,118315.81268823413,118539.18978284897,118837.02590900208,119134.86203515522,119507.15719284661,119656.07525592319
Augusta-Richmond County Metro,metro,Condo,124487.13352433461,124822.87169817285,125158.60987201109,125718.17349507484,126389.64984275133,127061.1261904278
Austin-Round Rock Metro,metro,Condo,309350.7707885398,310368.29925921897,311080.5691886944,312301.60335350945,313013.8732829849,314540.16598900367
Bakersfield Metro,metro,Condo,154460.05871572363,155490.93458971282,156624.89805110087,157861.94909988786,159202.08773607376,160645.31395965858
Baltimore-Columbia-Towson Metro,metro,Condo,206235.75863601905,206401.3610132793,206815.36695643,207146.57171095052,207477.77646547105,207726.18003136147
Barnstable Town Metro,metro,Condo,311587.83147217135,312326.64479570324,313276.5476402443,315070.8085688218,317814.97234194033,320664.6808755634
Baton Rouge Metro,metro,Condo,110063.76075564469,110063.76075564469,110003.03012545867,110003.03012545867,110003.03012545867,110245.95264620276
Bend-Redmond Metro,metro,Condo,420417.6347988959,421578.0882523119,424004.49092763616,426958.3724454223,431072.70741662435,434026.5889344105
Binghamton Metro,metro,Condo,104041.446500892,104430.98862196793,104976.34759147423,106378.69922734759,107391.50874214503,108404.31825694245
Birmingham-Hoover Metro,metro,Condo,152159.22207039705,153482.48853370515,154916.02720228894,156129.02146032138,157231.74351307814,158885.82659221327
Boise City Metro,metro,Condo,254589.13369996712,256303.99219976077,258819.11799945816,261448.5676991418,264992.6085987154,267850.70609837153
Boston-Cambridge-Newton Metro,metro,Condo,435024.62429255864,435753.67628470936,436691.0288460459,438253.2831149402,440232.13852220634,442731.7453524372
Boulder Metro,metro,Condo,385014.80002490524,384912.3386135316,385732.0299045205,386654.182606883,386449.2597841358,386244.33696138853
Bremerton-Silverdale Metro,metro,Condo,323460.37084755616,326597.36346583936,328003.6015361042,329301.667447118,330275.21688037826,332438.66006540117
Bridgeport-Stamford-Norwalk Metro,metro,Condo,240669.3268913583,240786.62224348594,240727.97456742212,240845.26991954973,240845.26991954973,240903.91759561354
Buffalo-Cheektowaga-Niagara Falls Metro,metro,Condo,170484.3889868403,171370.52545100875,172145.89485715618,172921.2642633036,173142.79837934574,173918.16778549313
Burlington Metro,metro,Condo,135168.81250715588,135527.60037713978,136155.47914961164,136514.26701959554,137052.44882457145,137142.1457920674
Burlington-South Burlington Metro,metro,Condo,240999.75571996186,241742.92695541566,242379.93087151894,243441.60406502438,244397.10993917927,246308.12168748907
Canton-Massillon Metro,metro,Condo,158985.11624255596,159536.38371994402,160418.41168376495,160859.4256656754,161631.20013401873,162292.7211068844
Cape Coral-Fort Myers Metro,metro,Condo,206391.10853767092,206292.89624722872,205900.04708545996,206783.95769943972,207176.8068612085,207962.50518474603
Cedar Rapids Metro,metro,Condo,105137.24787892812,105244.72100640649,105244.72100640649,105352.19413388486,105137.24787892812,104814.82849649299
Champaign-Urbana Metro,metro,Condo,122590.10485907279,123009.31998119988,123177.00603005072,123512.3781277524,123344.69207890156,123009.31998119988
