Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Four Bed,350738.66280772665,351792.4777956307,352846.2927835347,354005.48927022907,355270.06725571386,356745.4082387795
Akron Metro,metro,Four Bed,255870.08449170756,256522.90333548427,257284.5253198904,258698.96614807326,260331.01325751503,262180.6666482157
Albany-Schenectady-Troy Metro,metro,Four Bed,259447.62907750532,260188.18159343337,261140.32054248374,261351.90697560602,260717.14767623914,259870.80194374992
Albuquerque Metro,metro,Four Bed,290160.95375738305,291542.0818895305,293153.3980437026,295109.9962309115,297296.782440145,299483.5686493785
Allentown-Bethlehem-Easton Metro,metro,Four Bed,312057.04575146805,312824.1883147833,313152.9636990613,314248.8816466545,315125.6160047291,316331.12574708165
Amarillo Metro,metro,Four Bed,248629.38931063862,249247.1058172069,249864.82232377518,250379.58607924872,250791.39708362758,251203.20808800642
Anchorage Metro,metro,Four Bed,404246.52824695484,406732.8627581441,409002.99426836043,411056.92277760373,409867.80627225235,408894.89276787394
Ann Arbor Metro,metro,Four Bed,393545.2044551219,392452.8322064271,393247.2847509324,393743.8175912482,393644.5110231851,392850.0584786798
Appleton Metro,metro,Four Bed,232908.46236104192,234157.95213078798,235975.39179587315,237565.6515028227,239383.09116790787,240746.17091672175
Asheville Metro,metro,Four Bed,424586.2176246127,425653.7477677025,426614.52489648334,427682.05503957317,429283.35025420785,431204.90451176954
Atlanta-Sandy Springs-Roswell Metro,metro,Four Bed,299678.09537943895,300412.8840749798,301252.6425841694,302197.3709070077,303352.0388571434,304191.79736633296
Atlantic City-Hammonton Metro,metro,Four Bed,270421.9505370059,270655.85271390306,270967.72228309925,271279.59185229545,271669.4288137907,271981.2983829869
Augusta-Richmond County Metro,metro,Four Bed,225510.79733509955,226057.53911683545,226822.9776112658,227807.11281839045,229009.9447382095,230431.47337072296
Austin-Round Rock Metro,metro,Four Bed,397054.9987913894,398284.74809743365,399207.0600769668,400744.2467095221,401769.03779789235,403716.1408657957
Bakersfield Metro,metro,Four Bed,293313.5623022503,294887.7831142811,296166.83752405614,297150.7255315754,298331.3911405985,300594.3335578928
Baltimore-Columbia-Towson Metro,metro,Four Bed,398013.6640249118,398428.20552963257,399257.2885390741,399879.1007961553,400604.5484294166,401019.08993413736
Barnstable Town Metro,metro,Four Bed,580267.6383570913,581952.2334411435,584163.264488962,587637.7418498198,592796.8142947296,598166.4611251461
Baton Rouge Metro,metro,Four Bed,275009.9992955175,275516.3324822276,276225.19894362165,276934.0654050157,277845.4651410938,279566.997975908
Bend-Redmond Metro,metro,Four Bed,545084.2698161711,545705.0782969898,547981.3760599917,550775.0142236757,555638.0139900887,558431.6521537728
Binghamton Metro,metro,Four Bed,154044.4691101776,154244.53113792496,154744.68620729336,155744.9963460302,156545.24445701967,157045.3995263881
Birmingham-Hoover Metro,metro,Four Bed,288035.728652795,289586.1594414348,291468.8253990687,293240.74630037125,295012.66720167384,297670.5485536276
Boise City Metro,metro,Four Bed,380973.7392697146,383455.7735362319,386693.20953603694,390038.5600691689,394570.9704688961,398563.80820198904
Boston-Cambridge-Newton Metro,metro,Four Bed,632539.0331220989,634206.4080591577,635873.7829962164,638270.6344682385,640563.2750066943,643898.0248808119
Boulder Metro,metro,Four Bed,712221.4700726506,712426.6980963345,713760.6802502791,715812.9604871172,716120.8025226429,716736.4865936943
Bremerton-Silverdale Metro,metro,Four Bed,477545.3888126702,481847.6865094111,484715.88497390505,487253.13746172655,489238.81332176086,492879.219065157
Bridgeport-Stamford-Norwalk Metro,metro,Four Bed,613258.0653535933,612520.8231890874,611636.1325916803,611636.1325916803,610972.614643625,610898.8904271744
Buffalo-Cheektowaga-Niagara Falls Metro,metro,Four Bed,237151.43824722624,238346.80182081964,239650.8348101943,240520.19013644406,241063.53721535014,241172.20663113135
Burlington Metro,metro,Four Bed,252501.6689438579,253753.64517610084,254916.19453461215,255810.46327192851,256525.87826178165,256436.45138805
Burlington-South Burlington Metro,metro,Four Bed,406820.82062993717,408020.54592230485,409438.4030860121,411401.5899280683,413146.6448987849,416200.49109753896
Canton-Massillon Metro,metro,Four Bed,208206.62146069028,209216.59914895,210451.01632348963,211685.43349802928,213032.07041570888,214490.92707652843
Cape Coral-Fort Myers Metro,metro,Four Bed,333734.56331398577,333734.56331398577,333440.6109060708,335106.34121758875,336086.1825773052,337555.94461687986
Cedar Rapids Metro,metro,Four Bed,229030.34122536134,229358.88401316566,229577.91253836855,230125.48385137576,230015.96958877431,229906.45532617287
Champaign-Urbana Metro,metro,Four Bed,215343.89932045512,216171.17283151584,216688.2187759288,217205.26472034177,216895.037153694,216171.17283151584
Charleston Metro,metro,Four Bed,160426.51203518943,160161.98814631277,160073.8135166872,159632.94036855942,159544.76573893387,159456.59110930833
Charleston-North Charleston Metro,metro,Four Bed,369046.1234274352,369561.6272982112,370077.13116898725,370798.83658807375,371623.64278131543,372036.04587793624
Charlotte-Concord-Gastonia Metro,metro,Four Bed,337545.23893065844,338940.7245724494,340228.8651648718,340872.935461083,342268.421102874,343771.25179403345
Chattanooga Metro,metro,Four Bed,285918.5006108255,286919.0820807489,287919.6635506724,289476.1236149978,290810.23224156245,292144.34086812707
Chicago-Naperville-Elgin Metro,metro,Four Bed,326050.5731822906,325947.77685982164,325947.77685982164,326050.5731822906,326153.36950475955,326564.5547946354
