Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Many Bed,494745.0050779755,496002.33829852374,497259.671519072,498726.5602763783,500403.0045704426,502289.00440126495
Akron Metro,metro,Many Bed,298368.151561763,298906.58893751516,299660.40126356814,300952.65096537326,302891.0255180809,304937.087545939
Albany-Schenectady-Troy Metro,metro,Many Bed,275871.21244306385,276859.90586644877,277848.59928983374,278288.01858911593,277738.74446501315,276969.7606912693
Albuquerque Metro,metro,Many Bed,362042.5459817052,363876.78479088243,366054.9433767804,368462.3818138255,371213.74002759135,373965.0982413572
Allentown-Bethlehem-Easton Metro,metro,Many Bed,255147.53612457193,255679.9300719205,255999.36644032964,256957.67554555705,258022.4634402542,259193.73012442104
Amarillo Metro,metro,Many Bed,348938.09836247936,349547.53262607206,350156.9668896648,350969.54590778844,351985.269680443,353305.7105848938
Anchorage Metro,metro,Many Bed,526582.17918987,527713.8213122634,528022.450982007,527919.5744254257,520306.7092384164,512179.461268501
Ann Arbor Metro,metro,Many Bed,515428.15253142454,513627.23632629286,514327.5926282885,514427.64352857356,514327.5926282885,512926.8800242972
Appleton Metro,metro,Many Bed,271244.6300610351,272713.9831388736,274748.47201588075,276669.9337330542,278817.44976989506,280512.857167401
Asheville Metro,metro,Many Bed,553823.183631576,554563.6666915173,555938.8495171226,557525.5989312825,559641.264816829,561968.4972909302
Atlanta-Sandy Springs-Roswell Metro,metro,Many Bed,430302.97282282775,430715.6650941357,431541.04963675165,432572.7803150215,433604.51099329145,434326.7224680804
Atlantic City-Hammonton Metro,metro,Many Bed,479877.0312134803,480615.8612584631,481428.5743079443,481945.7553394323,482684.5853844151,483423.41542939795
Augusta-Richmond County Metro,metro,Many Bed,315351.1606376255,316112.5891678263,317091.5687066559,318614.4257670575,320354.8338360879,322421.5684180615
Austin-Round Rock Metro,metro,Many Bed,577352.6721480051,579498.4684558791,580928.9993277951,583585.6995184962,585118.4111669776,588081.6536873749
Bakersfield Metro,metro,Many Bed,366909.63093967893,368791.1559336232,369979.4875087459,371167.81908386864,372554.2059215118,375128.92433427763
Baltimore-Columbia-Towson Metro,metro,Many Bed,551301.2907206506,551799.4057470325,552895.2588050729,553592.6198420078,554289.9808789425,554987.3419158773
Barnstable Town Metro,metro,Many Bed,997887.939380856,1001428.1884573695,1005905.5622894306,1012048.93568691,1021524.3082152253,1032665.680308959
Baton Rouge Metro,metro,Many Bed,408138.12241785286,409131.8649075778,410026.23314833024,411019.9756380551,411814.96962983505,413901.8288582574
Bend-Redmond Metro,metro,Many Bed,725331.9754677508,725644.3575982476,728664.0515263829,731996.127585015,738556.152325447,741471.71887675
Binghamton Metro,metro,Many Bed,155793.26818958455,155991.23810955315,156288.19298950603,157179.05762936466,157871.95234925475,158465.8621091605
Birmingham-Hoover Metro,metro,Many Bed,432044.0665720875,433676.1216032332,435960.9986468372,438463.4830279272,440748.36007153115,444121.2738025655
