Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Middle Tier,251696.53308382997,252557.63054155133,253526.3651814879,254495.09982142446,255571.4716435762,256755.4806479431
Akron Metro,metro,Middle Tier,155735.91277042555,156299.6421020154,156976.11729992324,157990.83009678498,159231.03462628266,160471.23915578035
Albany-Schenectady-Troy Metro,metro,Middle Tier,209166.15746083815,210050.70800498675,210935.25854913538,211377.53382120968,211156.39618517255,210824.6897311168
Albuquerque Metro,metro,Middle Tier,213726.91994049563,215008.4861343715,216406.55834587244,217921.13657499844,219785.2328569997,221649.32913900097
Allentown-Bethlehem-Easton Metro,metro,Middle Tier,211840.8630738683,212467.69964092516,212990.06344680584,213721.37277503882,214557.15486444792,215601.8824762093
Amarillo Metro,metro,Middle Tier,143920.51676915694,144239.3283250858,144451.86936237174,144876.95143694355,145195.76299287242,145514.5745488013
Anchorage Metro,metro,Middle Tier,320911.1021738727,322569.60645773343,323813.4846706289,324435.4237770767,321325.7282448379,317801.4066416339
Ann Arbor Metro,metro,Middle Tier,298987.40298176283,298375.43860526395,299191.39110726246,299905.3495465112,300109.3376720108,299701.36142101156
Appleton Metro,metro,Middle Tier,187425.11120583297,188331.61782174447,189691.3777456117,190937.82434249003,192524.21092033514,193430.71753624664
Asheville Metro,metro,Middle Tier,283825.41061160574,284689.6543015177,285445.8675301907,286634.20260381955,287606.4767549705,288794.8118285994
Atlanta-Sandy Springs-Roswell Metro,metro,Middle Tier,248223.88041619665,248974.12614443706,249938.72779503194,251117.6853679812,252296.6429409305,253475.60051387976
Atlantic City-Hammonton Metro,metro,Middle Tier,198028.9718772424,198337.23474113346,198722.56332099732,199107.89190086117,199724.41762864334,199878.54906058888
Augusta-Richmond County Metro,metro,Middle Tier,156174.3627602671,156512.86386431064,156964.19866970205,157641.20087778915,158318.20308587622,159108.0389953112
Austin-Round Rock Metro,metro,Middle Tier,345211.60484001203,346345.4219082353,347170.0161396704,348613.05604468187,349746.87311290513,351396.0615757753
Bakersfield Metro,metro,Middle Tier,234397.9392536699,235815.75757804234,236929.7576900493,237942.48506460106,239259.03065151832,241284.48540062184
Baltimore-Columbia-Towson Metro,metro,Middle Tier,294160.27008984674,294263.050854293,294776.9546765243,295188.0777343094,295599.2007920945,296010.3238498796
Barnstable Town Metro,metro,Middle Tier,435132.8024464858,436321.1738238647,437833.64648598334,440642.5242870607,444531.73970393714,448637.0226439734
Baton Rouge Metro,metro,Middle Tier,184215.54266406805,184515.3183022696,184915.01915320498,185514.57042960805,186114.12170601112,187413.14947155112
Bend-Redmond Metro,metro,Middle Tier,436778.42084853025,437187.8150190681,438620.6946159505,440974.7110965431,444966.304259287,447422.669282514
Binghamton Metro,metro,Middle Tier,119158.6217930771,119351.40311331769,119833.35641391916,120700.8723550018,121471.99763596416,122050.34159668592
Birmingham-Hoover Metro,metro,Middle Tier,159275.40172625767,160442.36546019182,161726.02556751942,163009.685674847,164293.34578217458,165927.0950096824
Boise City Metro,metro,Middle Tier,328745.9231482579,331045.18173765816,334110.8598568585,337176.5379760589,341118.12412931654,344621.75626554555
Boston-Cambridge-Newton Metro,metro,Middle Tier,499685.3002236987,501041.5180549219,502606.38478325633,504797.1982029245,507092.3360711484,510222.0695278172
Boulder Metro,metro,Middle Tier,590786.3844628783,591402.921590668,593047.020598107,595204.9005453708,595718.6814851954,596232.46242502
Bremerton-Silverdale Metro,metro,Middle Tier,411411.7130041332,415593.1013217463,418674.1242926192,421425.03765946993,423405.69528360246,426816.8278584974
Bridgeport-Stamford-Norwalk Metro,metro,Middle Tier,411405.0899670479,411405.0899670479,411169.0275694255,411641.15236467036,411562.4648987962,411641.15236467036
Buffalo-Cheektowaga-Niagara Falls Metro,metro,Middle Tier,179081.49442795612,179970.2025175239,180969.9991182876,181747.6186966594,182191.9727414433,182303.06125263925
Burlington Metro,metro,Middle Tier,166568.08811696013,167292.54289459545,168107.55451943516,168469.78190825283,168650.89560266165,168469.78190825283
Burlington-South Burlington Metro,metro,Middle Tier,320170.61591777956,321055.50234810426,322161.61038601014,323599.5508352878,324926.8804807748,327139.09655658656
Canton-Massillon Metro,metro,Middle Tier,141373.75710602876,142291.7335924546,143209.71007888048,144127.68656530633,145045.66305173218,146078.38659896128
Cape Coral-Fort Myers Metro,metro,Middle Tier,245602.42987329722,245602.42987329722,245303.90685642284,246497.99892392047,247095.0449576693,248189.6293528755
Cedar Rapids Metro,metro,Middle Tier,163446.1034647022,163889.39722888012,164111.0441109691,164554.337875147,164554.337875147,164554.337875147
Champaign-Urbana Metro,metro,Middle Tier,145067.2670076315,145687.7329003293,145997.9658466782,146515.0207572597,146411.6097751434,145997.9658466782
Charleston Metro,metro,Middle Tier,97330.99047816945,97084.61248725624,97002.48649028516,96756.10849937194,96591.8565054298,96509.73050845871
Charleston-North Charleston Metro,metro,Middle Tier,279081.17678440746,279712.4045037982,280343.632223189,280974.85994257976,281606.0876619705,281921.7015216659
Charlotte-Concord-Gastonia Metro,metro,Middle Tier,243960.3078265475,245394.5627995319,246718.49046690215,247711.43621742981,249145.69119041422,250690.2734690128
Chattanooga Metro,metro,Middle Tier,183114.935563493,183559.66181677685,184115.56963338164,184671.47744998644,185449.74839323317,186228.0193364799
Chicago-Naperville-Elgin Metro,metro,Middle Tier,243989.8493580736,243989.8493580736,244093.04661354504,244402.63837995933,244712.2301463736,245125.0191682593
Chico Metro,metro,Middle Tier,359001.9352888741,360977.2115732418,360099.31100241165,356148.7584336762,350003.4544378654,345394.47644100734
Cincinnati Metro,metro,Middle Tier,190655.45058508034,191555.8400680478,192343.68086564436,193131.52166324088,193806.8137754665,194707.20325843396
Clarksville Metro,metro,Middle Tier,167938.59907562027,169097.100620003,170139.75200994746,171298.2535543302,172688.4554075895,174773.75818747844
Cleveland-Elyria Metro,metro,Middle Tier,162507.18844869488,162843.63845110912,163404.38845513287,164189.4384607661,164974.48846639937,165535.23847042312
Colorado Springs Metro,metro,Middle Tier,329348.6131000053,331114.3051937822,332879.9972875591,335528.5354282245,338728.85234819516,342591.30380333215
Columbia Metro,metro,Middle Tier,162744.47418606444,163305.41694785506,163754.17115728755,164202.92536672004,164876.0566808688,165773.56509973374
Columbus Metro,metro,Middle Tier,121142.07876011559,121704.50121816667,122360.66075255958,122829.3461342688,123298.03151597803,123766.71689768725
Columbus Metro,metro,Middle Tier,217239.03686785788,218240.85201705166,219465.29275495518,221023.67187592332,222693.3637912463,224029.11732350467
Dallas-Fort Worth-Arlington Metro,metro,Middle Tier,262647.71013589157,263066.72920252103,263276.23873583577,263695.25780246523,264219.03163575206,265161.8245356684
Davenport-Moline-Rock Island Metro,metro,Middle Tier,131998.37125496095,132324.12842615656,132432.7141498884,132649.88559735214,132975.64276854772,133518.57138720705
Dayton Metro,metro,Middle Tier,136844.67058961268,137900.75370900394,138839.49425957396,140012.9199477865,141303.68820482024,143181.1693059603
Denver-Aurora-Lakewood Metro,metro,Middle Tier,451319.7614474955,452041.347012633,453484.518142908,455546.19118615804,457195.5296207581,458947.9517075206
Des Moines-West Des Moines Metro,metro,Middle Tier,207840.4151721502,208268.7007112391,208589.91486555577,208911.1290198724,209018.20040464465,209446.4859437335
Detroit-Warren-Dearborn Metro,metro,Middle Tier,185289.35708178848,186016.46003126365,186847.43483066384,187782.2814799891,188820.99997923934,190379.07772811473
Duluth Metro,metro,Middle Tier,172234.51359148847,173471.2409899835,174370.67909797988,175494.97673297537,176731.70413147038,177743.5720029663
Durham-Chapel Hill Metro,metro,Middle Tier,278586.38181935286,279477.224042648,280256.7109880311,280924.8426555025,281592.97432297375,282483.8165462688
El Centro Metro,metro,Middle Tier,243652.2328724844,244472.6597748805,246318.6203052717,248574.79428686094,251241.18171964822,253805.015789636
Erie Metro,metro,Middle Tier,130547.96490538314,130776.7068092826,131119.81966513177,131348.56156903124,131577.3034729307,131691.67442488042
Eugene Metro,metro,Middle Tier,329441.11197674216,331784.40469346,334908.794982417,337921.59990391135,341492.3316627195,345174.6487889903
Evansville Metro,metro,Middle Tier,144720.63374447936,145283.7650784916,146072.1489461087,146522.65401331848,147198.41161413316,147648.91668134293
Fayetteville Metro,metro,Middle Tier,129821.35476279985,130381.35866611578,131221.36452108968,131874.70240829157,132248.03834383553,132714.70826326546
Fayetteville-Springdale-Rogers Metro,metro,Middle Tier,201237.43750883988,201993.23869530868,202749.03988177748,203720.78426438023,204368.6138527821,204908.47184311695
Flagstaff Metro,metro,Middle Tier,369099.8082157626,370568.1912902771,372036.5743647917,373085.41941801633,374134.264471241,376231.95457769034
Flint Metro,metro,Middle Tier,136043.5834118247,136904.55751303397,137657.90985159212,137765.5316142433,137873.15337689442,137873.15337689442
Fort Collins Metro,metro,Middle Tier,423202.5941557877,423921.6751658379,424435.3044587309,425668.01476167404,425976.1923374098,426900.7250646172
Fort Smith Metro,metro,Middle Tier,109336.0006003665,109897.75598301142,110347.16028912738,110796.56459524333,111358.31997788826,112032.42643706217
Fort Wayne Metro,metro,Middle Tier,156566.44363839403,157368.4444130925,158170.44518779096,159087.01750173204,160118.1613549158,160920.16212961424
Fresno Metro,metro,Middle Tier,272113.8751393619,272635.1432399638,273469.1722009269,274303.20116189006,275345.737363094,276805.28804477945
Gainesville Metro,metro,Middle Tier,202697.83824228996,203574.21182207903,204341.03870439448,205546.05237660446,207298.79953618263,208722.90660333988
Gainesville Metro,metro,Middle Tier,236740.5167215513,237164.9222179685,237377.1249661771,238438.13870722012,239605.25382236743,240878.47031161905
Glens Falls Metro,metro,Middle Tier,190066.79302132165,190396.06141466583,190615.5736768953,191054.59820135424,191493.62272581318,192152.15951250156
Grand Junction Metro,metro,Middle Tier,276969.77468429395,278772.4243367703,280124.4115761276,282715.7204515624,286321.0197565151,289250.32544178923
Grand Rapids-Wyoming Metro,metro,Middle Tier,226577.61245248464,228619.50546624014,229801.6540531512,231306.20680012892,232595.82344039553,234315.31229408438
Greeley Metro,metro,Middle Tier,388272.72153959115,389626.03129488206,390250.635797324,390979.341050173,392124.4493046499,393998.2628119758
Green Bay Metro,metro,Middle Tier,186247.1288645377,187030.76443487193,188038.2958824445,189157.7752686363,190277.25465482805,191172.83816378147
Greensboro-High Point Metro,metro,Middle Tier,160568.47539224214,161399.6528145344,162230.8302368267,163180.74729087504,164368.14360843544,165911.75882126397
Greenville-Anderson-Mauldin Metro,metro,Middle Tier,203645.66763316863,204310.57586706107,204864.66606197142,205529.57429586386,206305.3005687383,207191.84488059487
Hagerstown-Martinsburg Metro,metro,Middle Tier,203017.56972081837,203235.8508834797,204108.97553412494,204982.10018477018,205964.3654167461,206837.4900673913
Harrisburg-Carlisle Metro,metro,Middle Tier,191857.9838939437,192430.20804535405,193002.43219676442,193689.10117845685,194604.65982071342,195634.66329325206
Hartford-West Hartford-East Hartford Metro,metro,Middle Tier,233589.21496853858,233954.36898914975,234173.46140151646,234538.61542212762,234757.7078344943,235414.98507159442
Hickory-Lenoir-Morganton Metro,metro,Middle Tier,156870.4031729484,157685.06262994796,158266.9622420905,159081.62169909006,159779.90123366108,160478.18076823212
Houston-The Woodlands-Sugar Land Metro,metro,Middle Tier,221266.64662769108,221890.1399140408,222513.6332003905,222721.46429584041,223137.12648674025,223968.45086853986
Huntington-Ashland Metro,metro,Middle Tier,105719.08417023391,105935.1271786916,106151.17018714931,106259.19169137816,106367.21319560701,106367.21319560701
Huntsville Metro,metro,Middle Tier,193906.67933638545,195538.5106263841,197923.49481945898,200810.58094791806,204450.81997945343,208216.58449483485
Indianapolis-Carmel-Anderson Metro,metro,Middle Tier,185942.66269700875,186947.62929945043,187617.6070344115,188510.91068102632,189850.86615094854,191190.82162087073
Jackson Metro,metro,Middle Tier,145258.02019074676,145476.98527000382,145805.4328888894,146243.36304740352,146462.32812666058,146681.29320591764
Jacksonville Metro,metro,Middle Tier,235728.1849425897,236372.21362711443,237338.25665390154,238733.65213703847,240451.06196243776,242383.14801601198
Kalamazoo-Portage Metro,metro,Middle Tier,178778.96642653714,179646.47535318942,180513.98427984168,181381.49320649396,182249.00213314622,182574.31798064083
Kansas City Metro,metro,Middle Tier,210566.24580629217,211225.1912615911,211884.13671689,212543.0821721889,213421.67611258748,214849.39126573515
Kennewick-Richland Metro,metro,Middle Tier,324750.9681191451,325887.44211197086,327592.1531012095,329296.8640904481,330092.3958854262,330433.33808327396
Kingsport-Bristol-Bristol Metro,metro,Middle Tier,139742.66711687655,140196.7197028306,140764.28543527314,141218.33802122716,142012.93004664674,142580.49577908928
Knoxville Metro,metro,Middle Tier,195488.87736098992,196997.03533273554,198157.15684946295,199549.30266953583,200825.43633793597,202449.6064613543
Lakeland-Winter Haven Metro,metro,Middle Tier,197039.2796161477,198213.14914792997,199707.16491565292,201307.89609535606,203122.05809901963,204936.22010268318
Lancaster Metro,metro,Middle Tier,240562.60674122738,240891.82893997867,241111.31040581287,241440.53260456416,242537.93993373512,244293.7916604087
Lansing-East Lansing Metro,metro,Middle Tier,168419.34531100478,169277.81208400504,169921.66216375525,170350.8955502554,170887.43728338057,171423.97901650573
Las Vegas-Henderson-Paradise Metro,metro,Middle Tier,299495.31942023156,300743.2094881628,301679.12703911134,303134.99878503114,304382.8888529624,306878.66898882505
Lexington-Fayette Metro,metro,Middle Tier,196067.0949091217,197292.45929462483,198295.03015549105,198963.41072940186,199297.60101635728,199965.9815902681
Lincoln Metro,metro,Middle Tier,203105.9344164139,203963.636455202,204821.33849399016,205571.82777792978,205893.46604247534,206536.74257156643
Little Rock-North Little Rock-Conway Metro,metro,Middle Tier,149579.2476344782,149798.55095037367,150017.85426626913,150237.1575821646,150456.46089806003,151114.37084574642
Louisville/Jefferson County Metro,metro,Middle Tier,184045.00691477448,185163.14245472092,186281.27799466735,187399.4135346138,188293.92196657092,189300.24395252272
Lynchburg Metro,metro,Middle Tier,182232.23363170034,182454.64035715628,183010.65717079616,183566.67398443603,184122.6907980759,184567.5042489878
Macon-Bibb County Metro,metro,Middle Tier,112512.5354504564,112734.72620576294,113068.01233872276,113068.01233872276,113401.29847168257,113623.48922698911
Madera Metro,metro,Middle Tier,276240.62123938114,277688.78847123723,279757.59880246024,282550.49274961127,284929.6246305177,287101.87547830184
