Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,One Bed,185708.21109171386,186235.7062998849,186868.70054969017,187607.19384112966,188345.68713256915,189189.67946564284
Akron Metro,metro,One Bed,62641.721047222476,62838.513850147785,63035.306653073094,63428.89225892371,63920.87426623699,64609.64907647557
Albany-Schenectady-Troy Metro,metro,One Bed,135470.04158831603,135658.7504514043,135564.39601986017,135186.9782936836,134620.8517044188,134149.07954669814
Albuquerque Metro,metro,One Bed,144241.92417157564,144241.92417157564,144477.82608783545,145303.48279474472,146482.99237604366,148016.35483173231
Allentown-Bethlehem-Easton Metro,metro,One Bed,135423.1258690329,135911.79311240156,136302.72690709645,136693.66070179138,136986.8610478126,137377.79484250752
Amarillo Metro,metro,One Bed,52769.26017218793,52587.66286097097,52224.46823853704,52224.46823853704,52769.26017218793,53858.84403948972
Anchorage Metro,metro,One Bed,145833.43002810562,146464.7970483236,147005.96877993905,147817.7263773622,147186.35935714422,146284.40647111848
Ann Arbor Metro,metro,One Bed,207695.4449454087,207491.46245474607,208205.40117206532,209327.30487070984,210653.191060017,211979.07724932418
Appleton Metro,metro,One Bed,96716.26067270484,96823.9975803253,97470.41902604814,98009.10356415052,99409.68336321667,100487.05243942139
Asheville Metro,metro,One Bed,199045.14201451765,200610.44231561723,202175.74261671677,204523.69306836612,206088.99336946566,207766.1008349295
Atlanta-Sandy Springs-Roswell Metro,metro,One Bed,221159.6207830874,221264.36628131187,221683.3482742098,222207.0757653322,222940.29425290358,224092.49473337288
Atlantic City-Hammonton Metro,metro,One Bed,116610.90451634435,116939.4081440905,117350.0376787732,117596.4153995828,118253.42265507509,118910.4299105674
Augusta-Richmond County Metro,metro,One Bed,113478.1467853487,113809.55149602062,114140.95620669254,114251.42444358318,114361.89268047381,114140.95620669254
Austin-Round Rock Metro,metro,One Bed,262888.2302189233,264120.225382614,264633.5567008185,265454.88680994563,265660.2193372274,266994.880764559
Bakersfield Metro,metro,One Bed,112315.44081146072,113587.82050181956,114754.16855131518,116026.54824167401,116768.76972771666,117723.0544954858
Baltimore-Columbia-Towson Metro,metro,One Bed,163633.09718182753,163633.09718182753,163931.9156707712,164006.62029300712,163931.9156707712,163931.9156707712
Barnstable Town Metro,metro,One Bed,260463.50958168088,260679.68956170668,261436.319491797,263273.84932201635,265759.9190923131,269110.70878271305
Baton Rouge Metro,metro,One Bed,101113.730661212,101047.10844631818,100980.48623142437,101047.10844631818,101313.59730589345,101779.95281015018
Bend-Redmond Metro,metro,One Bed,305093.24646231823,305926.12232773483,307071.32664268254,310090.5016548176,314775.4283977857,317586.38444356655
Binghamton Metro,metro,One Bed,74782.15632542661,75140.33650824305,75677.60678246773,76214.8770566924,76483.51219380475,76393.96714810064
Birmingham-Hoover Metro,metro,One Bed,80455.31299411706,81107.72649207056,81977.61115600856,82847.49581994656,83608.64490089231,85239.67864577605
Boise City Metro,metro,One Bed,231161.71165537776,232852.7045105966,235220.09450790304,237136.55307715107,239165.7445034137,240405.8059305742
Boston-Cambridge-Newton Metro,metro,One Bed,361586.84930410126,362104.57690131926,362829.39553742454,364175.48729019146,365935.7611207328,367903.1259901614
Boulder Metro,metro,One Bed,339687.88436433545,341056.04186868935,343266.14245264564,345371.0001516516,346107.70034630375,346633.9147710552
Bremerton-Silverdale Metro,metro,One Bed,331099.1903303793,335694.773411865,339086.75140058063,342588.14803409355,345214.1955092282,349700.3599459166
Bridgeport-Stamford-Norwalk Metro,metro,One Bed,165622.6945848068,165531.24872944847,165165.46530801518,165622.6945848068,165805.58629552345,166079.9238615984
Buffalo-Cheektowaga-Niagara Falls Metro,metro,One Bed,120860.25225843802,121321.26465087706,122012.78323953561,122589.0487300844,123165.3142206332,123395.82041685272
Burlington Metro,metro,One Bed,86961.58267510941,86961.58267510941,87231.27266415393,87051.47933812426,87411.06599018362,87231.27266415393
Burlington-South Burlington Metro,metro,One Bed,221058.50883986775,221392.53874642364,221615.22535079424,222171.94186172073,222617.31507046195,223730.74809231493
Canton-Massillon Metro,metro,One Bed,66734.60827222723,67374.7464263349,68121.57427279383,68441.64334984767,68761.7124269015,69188.47119630662
Cape Coral-Fort Myers Metro,metro,One Bed,139873.91422448948,139975.26169666395,139772.566752315,140583.34652971078,140988.7364184087,141698.16872363
Cedar Rapids Metro,metro,One Bed,73111.83970949789,73527.04945474744,73859.21725094708,73942.259199997,73942.259199997,73859.21725094708
Champaign-Urbana Metro,metro,One Bed,82342.47743749157,82402.21169942495,82342.47743749157,82223.00891362483,81984.07186589132,81685.40055622444
Charleston Metro,metro,One Bed,62309.20079091483,61735.99505377814,61572.2219860248,61326.56238439479,61080.90278276478,60753.3566472581
Charleston-North Charleston Metro,metro,One Bed,224129.55866847612,224742.67592912927,225457.97939989128,226377.65529087101,227501.70360206848,228217.00707283049
Charlotte-Concord-Gastonia Metro,metro,One Bed,153930.36185790537,154824.0132541702,155605.9582259019,156052.7839240343,156946.43532029912,157616.67386749774
Chattanooga Metro,metro,One Bed,139327.3520651813,139110.5278273961,138785.29147071822,138893.70358961084,139435.76418407392,140086.23689742963
Chicago-Naperville-Elgin Metro,metro,One Bed,168093.22556710994,168193.17985290603,168193.17985290603,168393.0884244982,168792.9055676825,169292.6769966629
Chico Metro,metro,One Bed,184187.26781101452,185484.5260800069,185916.94550300436,184187.26781101452,181484.6464172804,178998.234735045
Cincinnati Metro,metro,One Bed,102577.92248073668,103376.32037622857,104060.66142950734,104859.05932499924,105657.45722049112,106569.91195819616
Clarksville Metro,metro,One Bed,67881.5161348662,67771.40408450142,67771.40408450142,67881.5161348662,67991.62818523098,68101.74023559573
Cleveland-Elyria Metro,metro,One Bed,74569.78257701018,74569.78257701018,74787.23829920401,75222.14974359164,75657.06118797929,75874.51691017312
Colorado Springs Metro,metro,One Bed,216651.6203247566,218582.74172514997,221422.6261374932,224489.70130282387,227897.56259763573,231419.01926894134
Columbia Metro,metro,One Bed,78183.16508044691,78472.30416208306,78761.44324371922,79108.4101416826,79455.37703964599,79860.1717539366
Columbus Metro,metro,One Bed,46556.082534200206,46816.46898505901,46881.56559777371,46881.56559777371,46621.1791469149,46621.1791469149
Columbus Metro,metro,One Bed,111065.47759090396,111958.04803697474,112962.18978880436,114189.4741521517,115416.75851549902,116532.47157308749
Dallas-Fort Worth-Arlington Metro,metro,One Bed,145851.94117011986,146281.40808101816,145100.37407604777,144778.27389287401,144241.44025425112,144348.8069819757
Davenport-Moline-Rock Island Metro,metro,One Bed,85706.22081233679,85814.40671394751,85814.40671394751,85273.47720589388,84299.80409139734,83326.13097690081
Dayton Metro,metro,One Bed,51782.16194695194,52139.52697108864,52496.89199522534,53092.50036878651,53688.10874234768,54521.960465333315
Denver-Aurora-Lakewood Metro,metro,One Bed,265640.4020401784,265952.3069787569,266576.116855914,267511.83167164965,268655.4831131043,269799.13455455896
Des Moines-West Des Moines Metro,metro,One Bed,120323.58938879169,120752.70026554675,120967.25570392428,121610.92201905687,122576.42149175577,123434.64324526589
Detroit-Warren-Dearborn Metro,metro,One Bed,126920.114575552,127551.85099899898,128499.45563416946,129236.48146152426,130184.08609669472,131763.42715531218
Duluth Metro,metro,One Bed,120152.64766581486,121007.93760770126,121221.76009317285,121863.22754958764,122932.33997694563,124001.45240430362
Durham-Chapel Hill Metro,metro,One Bed,172851.38259515513,173412.70302774216,174198.55163336403,174759.87206595106,175433.45658505554,176331.5692771948
El Centro Metro,metro,One Bed,164598.25682693106,167274.0160011039,169726.79524409567,172179.57448708746,175412.78348921298,177419.6028698426
Erie Metro,metro,One Bed,81866.91485050293,81948.86694252661,81866.91485050293,82030.8190345503,82030.8190345503,82030.8190345503
Eugene Metro,metro,One Bed,248574.55505325552,250288.5747442408,252459.66635282215,254859.29392020154,257487.457446379,260572.6928901525
Evansville Metro,metro,One Bed,52297.42701824933,52398.02184196371,52599.21148939249,52699.80631310688,53001.59078425004,53202.78043167882
Fayetteville Metro,metro,One Bed,63290.02285666892,63644.444844987636,63998.866833306354,64264.68332454539,64441.89431870475,65150.738295342184
Fayetteville-Springdale-Rogers Metro,metro,One Bed,135690.10890879383,135138.0113422673,135248.4308555726,136131.7869620151,137567.2406349841,138450.5967414266
Flagstaff Metro,metro,One Bed,181122.74502690954,182053.37878242537,182984.01253794116,183707.83879223122,184638.47254774705,186499.7400587787
Flint Metro,metro,One Bed,49304.19546045371,49526.07569281472,49526.07569281472,49747.95592517571,49969.83615753671,50635.4768546197
Fort Collins Metro,metro,One Bed,285543.7490044846,285543.7490044846,285228.6500631223,285333.6830435764,285123.61708266824,285753.8149653928
Fort Smith Metro,metro,One Bed,53932.187512333134,54148.558084181495,54364.92865602986,54364.92865602986,54256.74337010568,54256.74337010568
Fort Wayne Metro,metro,One Bed,65883.96173116876,66593.03261459546,67183.92501745104,67774.81742030662,68483.88830373331,69074.78070658889
Fresno Metro,metro,One Bed,136940.53566640642,136086.76056517428,136086.76056517428,136513.64811579036,137367.4232170225,138221.19831825464
Gainesville Metro,metro,One Bed,84985.82796158004,85601.87997840704,86320.60733137187,87244.68535661238,88476.78939026636,89606.21808778253
Gainesville Metro,metro,One Bed,172419.47355426397,172732.96415600646,173046.45475774893,174195.92029747137,175136.39210269882,176076.86390792628
Glens Falls Metro,metro,One Bed,123797.51637893067,123901.79643587481,123901.79643587481,124214.63660670728,124631.75683448391,124944.59700531638
Grand Junction Metro,metro,One Bed,207649.50215268484,210187.5515433634,213450.7579028072,217922.55921019323,222515.2200123734,225536.7073822288
Grand Rapids-Wyoming Metro,metro,One Bed,167034.9693276703,168326.4792045574,169295.11161222274,170263.7440198881,171340.00225062735,172846.76377366233
Greeley Metro,metro,One Bed,276662.4644021842,278492.91165268526,280108.0121678332,282261.47952136386,285814.70065468946,289690.9418910446
Green Bay Metro,metro,One Bed,104161.78331465772,104792.45129074727,105423.1192668368,106158.8985722746,106684.45521901589,107210.01186575717
Greensboro-High Point Metro,metro,One Bed,77175.67269756844,77855.45787972439,78308.64800116168,79101.73071367695,79668.21836547357,80234.70601727019
Greenville-Anderson-Mauldin Metro,metro,One Bed,123045.65785611898,122589.12390539043,122018.45646697974,121561.92251625119,122018.45646697974,122703.25739307256
Hagerstown-Martinsburg Metro,metro,One Bed,120554.25240600176,120818.64408474596,120818.64408474596,120994.90520390875,121347.42744223436,122140.60247846696
Harrisburg-Carlisle Metro,metro,One Bed,100138.94829136723,100633.45072031804,101127.95314926885,101721.35606400983,102413.65946454098,103402.66432244261
Hartford-West Hartford-East Hartford Metro,metro,One Bed,72421.21224878964,72495.06370955674,72495.06370955674,72568.91517032385,72568.91517032385,72642.76663109096
Hickory-Lenoir-Morganton Metro,metro,One Bed,80362.05464716506,80574.88000205102,80574.88000205102,80574.88000205102,80468.46732460805,79723.57858250715
Houston-The Woodlands-Sugar Land Metro,metro,One Bed,113428.84532700933,113635.21655761138,113841.58778821342,113841.58778821342,113944.77340351444,114357.51586471853
Huntington-Ashland Metro,metro,One Bed,50945.27732006791,50945.27732006791,50836.16526331258,50617.941149801925,50508.829093046596,50399.717036291266
Huntsville Metro,metro,One Bed,61503.55404151701,61555.57941651694,61624.946583183526,61694.3137498501,61775.24211096111,61867.73166651655
Indianapolis-Carmel-Anderson Metro,metro,One Bed,98388.2323389496,99072.86784303082,99529.2915124183,100213.92701649954,101126.77435527451,101811.40985935573
Jackson Metro,metro,One Bed,79412.11280132299,79128.60983337878,78915.98260742064,78774.23112344852,78490.72815550433,78065.47370358802
Jacksonville Metro,metro,One Bed,130058.87002230209,130487.05124871069,131022.27778172147,131878.64023453867,133056.13860716237,134126.5916731839
Kalamazoo-Portage Metro,metro,One Bed,93388.70942314705,93498.1645297826,93826.5298496893,94592.71559613821,95139.99112931601,95358.90134258712
Kansas City Metro,metro,One Bed,111149.05792085361,111702.8002230443,112035.04560435872,112478.03944611127,113142.5302087401,114139.26635268336
Kennewick-Richland Metro,metro,One Bed,202522.30180529013,204044.06760744646,205331.7155938864,206034.06904103546,206619.36358032638,207555.83484319178
Kingsport-Bristol-Bristol Metro,metro,One Bed,66087.31840885247,66199.61539052482,66199.61539052482,65975.02142718012,65975.02142718012,65975.02142718012
Knoxville Metro,metro,One Bed,111699.91587407838,112773.73754319534,113847.5592123123,115160.00791901081,116591.77014450009,118023.53236998936
Lakeland-Winter Haven Metro,metro,One Bed,63278.282930083165,63824.12326964722,64588.2997450369,65570.8123562522,66553.3249674675,67754.17371450842
Lancaster Metro,metro,One Bed,147996.68016244893,148215.73648635516,148544.32097221454,149420.5462678395,150625.35604932386,152596.86296448004
Lansing-East Lansing Metro,metro,One Bed,87075.74587215994,87401.37981045636,87618.46910265398,87727.01374875278,88052.6476870492,88378.28162534564
Las Vegas-Henderson-Paradise Metro,metro,One Bed,134486.24578332252,134910.6743837807,135335.10298423885,135971.74588492612,136290.06733526973,137032.81738607152
Lexington-Fayette Metro,metro,One Bed,95950.55644561337,96648.22777291639,97345.8991002194,98043.57042752241,98242.90509246613,98342.57242493799
Lincoln Metro,metro,One Bed,164715.47279880213,165347.94887451135,165980.42495022056,166507.48834664494,166929.13906378442,167667.02781877853
