Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Single Fam,249909.2064815734,250873.33389776605,251730.33604549285,252694.46346168546,253765.71614634394,254944.0940994683
Akron Metro,metro,Single Fam,155608.05146301616,156055.15283286502,156725.80488763828,157731.78296979817,158961.31173688246,160190.84050396679
Albany-Schenectady-Troy Metro,metro,Single Fam,209429.740644227,210316.863645539,211203.98664685103,211647.54814750704,211536.65777234302,211203.98664685103
Albuquerque Metro,metro,Single Fam,215996.67753634352,217290.28723766693,218583.89693899034,220230.3092861292,222111.92339714506,224111.1383900994
Allentown-Bethlehem-Easton Metro,metro,Single Fam,213806.91766752422,214450.13405568287,214878.94498112198,215736.56683200016,216594.18868287836,217666.2159964761
Amarillo Metro,metro,Single Fam,143821.989867124,144140.73662486108,144459.48338259818,144778.23014033525,145096.97689807232,145415.72365580942
Anchorage Metro,metro,Single Fam,343705.1179362216,345604.3277532736,346764.9559748054,347398.0259138227,343916.1412492274,340012.2099586205
Ann Arbor Metro,metro,Single Fam,303782.5475488934,303271.98150562146,304191.0003835109,304905.7928440916,305110.01926140033,304701.5664267828
Appleton Metro,metro,Single Fam,187528.54722173777,188433.7644611582,189791.59032028881,191036.2640244919,192507.2420385501,193525.61143289803
Asheville Metro,metro,Single Fam,286654.9518812526,287526.38963750965,288397.8273937667,289487.124589088,290576.4217844094,291774.6486992629
Atlanta-Sandy Springs-Roswell Metro,metro,Single Fam,249396.5701617042,250147.2033824664,251219.53655498382,252291.86972750124,253578.6695345221,254651.00270703953
Atlantic City-Hammonton Metro,metro,Single Fam,213172.9052513346,213489.67111126002,213806.4369711854,214202.39429609216,214835.92601594294,215073.500410887
Augusta-Richmond County Metro,metro,Single Fam,156228.37970925507,156563.65308066132,157122.44203300506,157681.23098534878,158351.77772816128,159134.08226144253
Austin-Round Rock Metro,metro,Single Fam,347931.95813731273,349064.81981491175,349991.70664203825,351433.5305953461,352566.39227294514,354214.19107672555
Bakersfield Metro,metro,Single Fam,235998.11065443238,237330.58499782984,238560.5613148121,239585.54157896398,240815.51789594628,242967.97645066524
Baltimore-Columbia-Towson Metro,metro,Single Fam,302567.17996815615,302669.1633667579,303179.080359767,303587.01395417424,303994.9475485815,304300.897744387
Barnstable Town Metro,metro,Single Fam,451505.4822350717,452783.3408933983,454274.1759947792,457255.8461975411,461302.39861557505,465455.43925513624
Baton Rouge Metro,metro,Single Fam,188954.84968803177,189252.92460455545,189749.71613209488,190345.8659651422,191041.37410369742,192333.03207529997
Bend-Redmond Metro,metro,Single Fam,438849.6558191419,439261.60021722526,440703.40561051713,443072.0858994967,447088.54378080985,449457.22406978934
Binghamton Metro,metro,Single Fam,119154.87844879185,119346.66979254085,119826.14815191334,120689.2091987838,121456.37457377979,122031.74860502678
Birmingham-Hoover Metro,metro,Single Fam,159390.98473505437,160437.70733694622,161717.03496148068,162996.36258601514,164275.69021054963,165903.92536904803
Boise City Metro,metro,Single Fam,330201.1519976988,332629.8819629262,335610.5960111597,338812.1036925957,342786.38909024035,346208.6904048788
Boston-Cambridge-Newton Metro,metro,Single Fam,513553.96829858574,515121.74111805705,516689.51393752836,519093.4322607176,521497.3505839069,524632.8962228495
Boulder Metro,metro,Single Fam,630305.3327914248,630919.2501092681,632658.682509824,635012.0322282232,635523.6299930925,636239.8668639096
Bremerton-Silverdale Metro,metro,Single Fam,413691.91739215236,418001.59659717116,420985.22066218423,423858.34013219684,425847.42284220556,429273.0652872205
Bridgeport-Stamford-Norwalk Metro,metro,Single Fam,484057.79539710627,483750.9645156243,483444.1336341422,483827.6722359948,483597.5490748833,483674.2567952538
Buffalo-Cheektowaga-Niagara Falls Metro,metro,Single Fam,179148.23254691964,179923.16601081248,180919.50903581752,181694.44249971036,182247.96640249097,182358.6711830471
Burlington Metro,metro,Single Fam,167618.0475211065,168427.0717797933,169236.09603848014,169595.6623756743,169775.44554427138,169595.6623756743
Burlington-South Burlington Metro,metro,Single Fam,335533.3330023279,336524.27001156996,337735.41524508805,339276.87281502015,340818.33038495225,343020.41262771236
Canton-Massillon Metro,metro,Single Fam,140839.96590720443,141647.78643144527,142571.00988772055,143494.2333439958,144417.45680027103,145456.0831885807
Cape Coral-Fort Myers Metro,metro,Single Fam,257695.53334580566,257695.53334580566,257497.5142974555,258784.63811173162,259477.7047809572,260665.81907105824
Cedar Rapids Metro,metro,Single Fam,172235.24679956355,172565.43051129777,172895.61422303197,173335.85917201094,173445.92040925566,173445.92040925566
Champaign-Urbana Metro,metro,Single Fam,146496.3480226221,147120.83167800657,147537.15411492952,148057.55716108324,147953.4765518525,147537.15411492952
Charleston Metro,metro,Single Fam,97201.45341072585,96948.57206998051,96864.27828973206,96611.39694898672,96442.80938848983,96442.80938848983
Charleston-North Charleston Metro,metro,Single Fam,281784.29983449035,282421.4226096648,283058.5453848393,283695.66816001374,284332.7909351882,284651.35232277546
Charlotte-Concord-Gastonia Metro,metro,Single Fam,245828.58066365187,247260.90866806626,248583.05759521798,249574.66929058178,251117.17637225878,252549.50437667314
Chattanooga Metro,metro,Single Fam,181571.36140037567,182014.1641040492,182567.66748364115,183121.1708632331,183785.37491874344,184560.27965017216
Chicago-Naperville-Elgin Metro,metro,Single Fam,248009.53517124223,248009.53517124223,248112.99582356183,248423.3777805206,248630.29908515976,249044.1416944381
Chico Metro,metro,Single Fam,363950.23091234366,365964.3187708659,364957.2748416048,361040.99289447814,354663.04800915765,349963.50967260567
Cincinnati Metro,metro,Single Fam,195462.89512838615,196473.55938739693,197259.63158884976,198045.7037903026,198719.47996297645,199617.84819320828
Clarksville Metro,metro,Single Fam,168557.97033852272,169738.7428377422,170801.4380870397,172100.28783618112,173517.2148352445,175524.52808391757
Cleveland-Elyria Metro,metro,Single Fam,165417.88508140674,165752.6764182349,166422.2590918912,167203.43887782353,167984.6186637559,168542.60422513614
Colorado Springs Metro,metro,Single Fam,333623.95756909467,335389.60925177316,337155.2609344517,339803.7384584695,343003.9821333244,346866.3451891836
Columbia Metro,metro,Single Fam,164273.23184303098,164830.52216470096,165276.35442203694,165722.1866793729,166390.9350653769,167282.59958004885
Columbus Metro,metro,Single Fam,121576.60971460356,122155.3958013107,122734.18188801786,123216.5036269405,123795.28971364764,124277.61145257027
Columbus Metro,metro,Single Fam,226629.34974194216,227625.15832397397,228842.25770201284,230391.29327406234,232050.97424411535,233378.71902015776
Dallas-Fort Worth-Arlington Metro,metro,Single Fam,264402.3950726177,264820.75011406693,265029.92763479153,265448.2826762408,265971.2264780523,266912.52532131306
Davenport-Moline-Rock Island Metro,metro,Single Fam,133001.26270722735,133437.78211483272,133546.91196673404,133765.17167053674,134092.56122624077,134638.21048574746
Dayton Metro,metro,Single Fam,138757.6654819045,139815.78095870826,140756.3280492005,142049.58029862732,143225.26416174264,145106.3583427271
Denver-Aurora-Lakewood Metro,metro,Single Fam,467262.7353536282,467881.47285979165,469428.31662520027,471490.77497907844,473346.9874975688,475100.07709836523
