Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Studio,220492.49648969175,221357.48202887873,222114.34437566737,223087.45310725272,223952.43864643972,224817.42418562673
Akron Metro,metro,Studio,99703.08524282873,100131.89827228858,100453.50804438349,101418.33736066816,101311.1341033032,100775.11781647838
Albany-Schenectady-Troy Metro,metro,Studio,163678.05919184664,164618.78119704235,165441.9129515886,165677.09345288752,165324.32270093914,165089.14219964022
Albuquerque Metro,metro,Studio,182824.5489978368,183724.67467196257,184737.31605535405,185862.47314801125,186987.63024066848,188337.81875185715
Allentown-Bethlehem-Easton Metro,metro,Studio,234086.11720973274,234815.01155351195,235786.87067855094,236839.71806400985,237973.55370988866,238945.41283492764
Amarillo Metro,metro,Studio,114682.23971795553,114682.23971795553,114576.51209859375,114682.23971795553,114893.69495667907,115316.60543412616
Anchorage Metro,metro,Studio,271031.969497011,272949.0669442117,275269.763853981,277085.9614355396,278801.259151456,279608.4580765931
Ann Arbor Metro,metro,Studio,236725.17223691486,236930.87678001606,237856.5472239714,238782.21766792677,240119.29719808453,241353.52445669167
Appleton Metro,metro,Studio,192779.65887751582,193441.91456001275,193993.79429542687,194214.5461895925,194766.42592500662,195318.30566042074
Asheville Metro,metro,Studio,229852.87040317256,230752.10242019995,231314.12243084208,232100.95044574107,232662.97045638322,233224.99046702535
Atlanta-Sandy Springs-Roswell Metro,metro,Studio,248001.278484966,248758.25139612338,249731.50228189712,251245.44810421186,252867.5329138348,254489.61772345775
Atlantic City-Hammonton Metro,metro,Studio,193201.54470257385,193621.12952783055,194040.71435308724,194544.21614339526,195215.55186380597,195467.30275896
Augusta-Richmond County Metro,metro,Studio,272190.5804414093,271976.14029243577,271225.59977102844,271440.03992000193,271761.7001434622,272726.6808138431
Austin-Round Rock Metro,metro,Studio,346070.0168520033,346899.7760366339,347522.0954251068,349077.89389628917,350115.0928770774,351774.6112463386
Bakersfield Metro,metro,Studio,207601.54870641057,208736.73652020807,209665.52654967876,210903.91325563967,212245.49885376397,214412.67558919557
Baltimore-Columbia-Towson Metro,metro,Studio,237595.65376054577,237984.47267854054,238956.51997352752,239345.33889152232,239539.74835051972,239539.74835051972
Barnstable Town Metro,metro,Studio,338071.7215376324,338384.7500342437,338489.09286644746,340993.3208393379,344540.97713426594,348610.3475902128
Baton Rouge Metro,metro,Studio,172512.20129997132,172609.03844510665,172802.71273537728,173190.06131591855,173577.40989645984,174545.78134781303
Bend-Redmond Metro,metro,Studio,390390.29398080026,390906.97123278683,392043.6611871572,394110.3701951034,397417.10460781737,399793.81996695546
