Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Three Bed,231840.66916001745,232816.79066085085,233684.4542171472,234552.11777344355,235636.697218814,236829.73460872145
Akron Metro,metro,Three Bed,148785.7021780202,149355.39423012864,149925.08628223708,151064.47038645393,152317.7929010925,153571.11541573104
Albany-Schenectady-Troy Metro,metro,Three Bed,203734.1911912659,204625.77366611504,205628.80395032032,206074.59518774488,205963.14737838873,205740.25175967644
Albuquerque Metro,metro,Three Bed,211139.49077836095,212438.75302085228,213856.130012661,215509.7365031045,217399.5724921828,219407.52323057852
Allentown-Bethlehem-Easton Metro,metro,Three Bed,198946.39223332237,199703.52833522335,200136.17753630964,200893.3136382106,201758.61204038313,202732.07274282724
Amarillo Metro,metro,Three Bed,149060.92237761506,149489.1022005548,149810.23706775962,150238.41689069936,150559.55175790418,150880.686625109
Anchorage Metro,metro,Three Bed,328459.49292462086,329924.1281786129,330656.445805609,330865.6794133221,326157.9232397761,321136.3166546604
Ann Arbor Metro,metro,Three Bed,261975.9758165246,261667.85549253205,262592.2164645097,263311.16388715897,263516.5774364873,263105.7503378306
Appleton Metro,metro,Three Bed,183174.04051094546,184077.05844437543,185431.58534452037,186673.23500298656,188027.7619031315,188930.77983656147
Asheville Metro,metro,Three Bed,298753.6211500914,299840.14022371784,300818.0073899816,302121.83027833333,303317.0012593224,304729.47605503676
Atlanta-Sandy Springs-Roswell Metro,metro,Three Bed,207397.3896368824,208258.83480971228,209335.64127574966,210520.12838839073,211812.29614763556,212996.78326027666
Atlantic City-Hammonton Metro,metro,Three Bed,193755.7546331372,194067.4049860717,194534.88051547346,195002.3560448752,195703.5693389778,195937.30710367867
Augusta-Richmond County Metro,metro,Three Bed,143665.1851278279,144001.69486849703,144450.37452272253,145011.22409050443,145684.2435718427,146581.60288029374
Austin-Round Rock Metro,metro,Three Bed,307941.12976654916,309080.33695141075,310115.97984673944,311565.8799001996,312601.5227955283,314154.9871385214
Bakersfield Metro,metro,Three Bed,221531.33360004396,222874.63893916333,224011.2819184182,225044.59371774082,226284.56787692793,228351.19147557314
