Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Top Tier,498205.3372476127,499565.76891240105,501240.1463459867,503019.1723691714,505007.49557155435,507309.7645427346
Akron Metro,metro,Top Tier,267615.7300099414,268282.70185053465,269171.9976379924,270728.2652660433,272618.0188143909,274730.09630960284
Albany-Schenectady-Troy Metro,metro,Top Tier,299677.60822759755,300615.7563208841,301553.90441417065,301762.3817682343,301032.71102901147,300198.80161275674
Albuquerque Metro,metro,Top Tier,329419.2527553351,330951.77152285894,332720.06240846333,334959.89753022895,337435.5047700751,340028.99806896155
Allentown-Bethlehem-Easton Metro,metro,Top Tier,324062.4460854856,324886.37635182764,325401.33276829147,326328.25431792624,327358.16715085384,328594.0625503669
Amarillo Metro,metro,Top Tier,241938.68228341753,242463.29000329407,242882.97617919528,243407.58389907182,243722.34853099776,244142.034706899
Anchorage Metro,metro,Top Tier,463259.00374510355,464785.4855317972,465599.6091513672,466006.6709611522,460511.3365290549,454405.4093822801
Ann Arbor Metro,metro,Top Tier,470539.8948521004,469241.4891026537,470240.2627560742,471039.28167881066,471139.1590441527,470240.2627560742
Appleton Metro,metro,Top Tier,283317.1463490928,285015.8600966796,287167.5641769562,289092.7730908879,291470.97233750933,293169.6860850961
Asheville Metro,metro,Top Tier,433463.9208797893,434442.186537412,435203.0598266742,436507.4140368379,437703.0720628213,439333.5148255259
Atlanta-Sandy Springs-Roswell Metro,metro,Top Tier,421030.66403625184,421878.7611816621,422938.8826134249,424317.0404747166,425907.22262236086,427391.3926268288
Atlantic City-Hammonton Metro,metro,Top Tier,339125.99848115013,339673.4096795126,340220.820877875,340690.0304764714,341315.6432745999,341628.4496736642
Augusta-Richmond County Metro,metro,Top Tier,267601.4757312199,268272.5115927312,269167.2260747462,270285.61917726503,271627.6909002876,273081.601933562
Austin-Round Rock Metro,metro,Top Tier,563386.4113360223,565748.8178123379,567392.2310132532,569960.0641396833,571706.1906656557,574993.0170674862
Bakersfield Metro,metro,Top Tier,328288.07402265724,329998.62593587796,331407.3157467656,332715.3848568756,334124.07466776326,336740.2128879832
Baltimore-Columbia-Towson Metro,metro,Top Tier,480792.29285534867,480992.996952184,481695.4612911077,482297.5735816137,482899.68587211973,483401.4461142081
Barnstable Town Metro,metro,Top Tier,752340.8121428523,754367.0957556402,757033.2584040454,761725.7046652385,768337.7880332832,775376.4574250729
Baton Rouge Metro,metro,Top Tier,306138.1867099858,306627.69355162565,307215.10176159354,307998.31270821736,309075.2277598251,311229.0578630406
Bend-Redmond Metro,metro,Top Tier,684255.3546553814,685200.4802313712,688140.8709122286,692026.3871690758,698537.252248117,701792.6847876377
Binghamton Metro,metro,Top Tier,185299.92774486853,185487.16768597782,186142.50747986042,187172.32715596166,188108.52686150823,188576.6267142815
