Region Name,Region Type,Data Type,2020-04-14 10:00:00,2020-05-14 20:00:00,2020-06-14 06:00:00,2020-07-14 16:00:00,2020-08-14 02:00:00,2020-09-13 12:00:00
US,country,Two Bed,187291.4130883154,188051.45490734748,188811.49672637956,189680.11594813052,190548.7351698815,191525.93179435132
Akron Metro,metro,Two Bed,98914.95454734295,99245.61638035215,99796.71943536747,100458.04310138585,101339.80798941037,102221.5728774349
Albany-Schenectady-Troy Metro,metro,Two Bed,165051.98871286426,165817.8480339389,166583.70735501355,166911.93277833125,166802.52430389202,166693.11582945278
Albuquerque Metro,metro,Two Bed,161897.65069275195,162720.27308874842,163542.8954847449,164835.5878213108,166128.2801578767,167656.0074647273
Allentown-Bethlehem-Easton Metro,metro,Two Bed,165115.86654329905,165873.71527643676,166415.03580010656,167064.6204285103,167714.20505691407,168472.05379005178
Amarillo Metro,metro,Two Bed,73123.05092601462,73123.05092601462,72807.79771440108,72807.79771440108,73017.96652214344,73333.21973375697
Anchorage Metro,metro,Two Bed,200358.41548322525,202314.1891065673,204161.30863972366,206008.42817288003,206117.0822630657,206225.73635325136
Ann Arbor Metro,metro,Two Bed,213860.8013968468,213454.20576627724,214165.74811977398,214775.64156562832,215080.58828855547,215080.58828855547
Appleton Metro,metro,Two Bed,136691.4084100518,137477.4083961994,138600.26551926738,139498.55121772178,140621.40834078979,141407.40832693738
Asheville Metro,metro,Two Bed,227679.3379260583,228665.70131347643,229323.27690508854,230419.23622444202,231405.59961186015,232939.94265895503
Atlanta-Sandy Springs-Roswell Metro,metro,Two Bed,188360.01622088652,189119.34791160363,190204.10746977094,191397.34298375496,192699.05445355573,194000.7659233565
Atlantic City-Hammonton Metro,metro,Two Bed,149557.4272388724,149781.11377003783,150004.80030120327,150377.611186479,150824.9842488099,151048.67077997533
Augusta-Richmond County Metro,metro,Two Bed,95235.12484887206,95469.68500705749,95938.80532342833,96407.92563979918,97111.60611435544,97815.28658891172
Austin-Round Rock Metro,metro,Two Bed,318947.79850218084,320278.4148894672,321199.6108498962,322530.22723718255,323349.06809089717,324884.3946916122
Bakersfield Metro,metro,Two Bed,145449.07124503108,146381.82682393322,147107.30338530158,148040.05896420375,148972.8145431059,150216.4886483088
Baltimore-Columbia-Towson Metro,metro,Two Bed,202620.6475444794,202620.6475444794,202989.9900309316,203359.3325173838,203544.0037606099,203821.01062544904
Barnstable Town Metro,metro,Two Bed,343832.50312337716,344676.6491432318,345942.8681730138,348053.2332226504,351429.81730206904,354806.4013814876
Baton Rouge Metro,metro,Two Bed,127458.23201664307,127622.03003252798,127785.82804841289,128113.42408018271,128441.02011195254,129014.31316754974
Bend-Redmond Metro,metro,Two Bed,367787.62981763977,368628.9928716286,370206.5485978576,372835.80814157263,376832.2826480195,379251.20142823725
Binghamton Metro,metro,Two Bed,88616.55115438378,88801.54874559882,89079.04513242136,89726.536701674,90096.53188410407,90281.52947531911
Birmingham-Hoover Metro,metro,Two Bed,65568.55550761698,66051.53062263364,66534.50573765028,67114.07587567026,67693.64601369025,68659.59624372354
Boise City Metro,metro,Two Bed,255798.60792096972,258149.56231390807,260836.36733440903,263635.1225640975,266993.6288397237,270128.23469697486
Boston-Cambridge-Newton Metro,metro,Two Bed,394284.5648267516,395331.46677529963,396587.7491135573,398367.482426089,400251.9059334755,402659.780415136
Boulder Metro,metro,Two Bed,429523.2381164646,429727.6903316722,430954.40362291783,432283.3430217673,432590.0213445787,432692.24745218246
