United States Zillow Home Value Index - Bottom Tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Bottom Tier,"$89,600","$89,600","$89,500","$89,100","$88,700","$88,200","$87,800","$87,200","$86,700","$86,200","$85,700","$85,200","$84,700","$84,100","$83,600","$83,300","$83,100","$82,900","$82,700","$82,600","$82,400","$82,300","$82,300","$82,300","$82,500","$82,700","$82,900","$83,100","$83,400","$83,700","$84,000","$84,400","$84,900","$85,300","$85,900","$86,400","$87,000","$87,600","$88,200","$88,900","$89,500","$90,100","$90,700","$91,300","$91,800","$92,300","$92,700","$93,100","$93,400","$93,700","$94,000","$94,300","$94,600","$94,900","$95,200","$95,600","$96,000","$96,400","$96,800","$97,300","$97,700","$98,200","$98,600","$99,000","$99,400","$99,900","$100,300","$100,700","$101,100","$101,600","$102,100","$102,600","$103,000","$103,500","$104,000","$104,500","$105,100","$105,600","$106,100","$106,700","$107,300","$107,800","$108,400","$108,900","$109,500","$110,100","$110,700","$111,300","$111,900","$112,600","$113,200","$113,900","$114,600","$115,200","$115,900","$116,600","$117,300","$117,900","$118,500","$119,100","$119,700","$120,200","$120,800","$121,300","$121,800","$122,300","$122,800","$123,200","$123,600","$124,000","$124,400","$124,900","$125,300","$125,800","$126,300","$126,700","$127,200","$127,700","$128,300","$128,800"
Akron Metro,metro,Bottom Tier,"$67,200","$67,300","$67,400","$67,500","$67,100","$66,600","$66,000","$65,400","$64,900","$64,500","$64,300","$64,000","$63,800","$63,100","$62,400","$61,800","$61,500","$61,300","$61,000","$60,700","$60,500","$60,100","$59,700","$59,500","$59,400","$59,300","$59,300","$59,300","$59,300","$59,400","$59,500","$59,700","$59,900","$60,300","$60,600","$60,900","$61,000","$61,300","$61,600","$62,000","$62,200","$62,300","$62,600","$62,700","$62,800","$62,800","$62,700","$62,500","$62,400","$62,200","$62,200","$62,100","$62,000","$61,900","$61,800","$61,700","$61,700","$61,500","$61,600","$61,600","$61,800","$62,000","$62,000","$62,300","$62,500","$62,900","$62,900","$63,100","$63,000","$63,400","$63,600","$63,900","$64,000","$64,200","$64,400","$64,700","$64,700","$64,900","$65,200","$65,500","$65,900","$66,400","$66,900","$67,200","$67,500","$67,800","$68,300","$68,600","$69,100","$69,400","$70,100","$70,700","$71,200","$71,200","$71,300","$71,600","$72,300","$72,800","$72,700","$72,800","$73,000","$73,600","$73,900","$74,400","$74,900","$75,500","$75,900","$76,200","$76,200","$76,400","$77,100","$77,700","$78,100","$78,500","$78,700","$79,000","$79,300","$79,800","$80,400","$81,100"
Albany-Schenectady-Troy Metro,metro,Bottom Tier,"$130,300","$130,500","$130,800","$131,000","$130,700","$130,300","$129,700","$129,100","$128,500","$127,900","$127,400","$126,900","$126,400","$125,800","$125,000","$124,100","$123,700","$123,500","$123,400","$123,000","$122,900","$122,900","$122,800","$122,500","$122,300","$122,200","$122,200","$122,400","$122,600","$122,700","$122,800","$123,100","$123,400","$123,600","$124,100","$124,600","$125,000","$125,100","$125,200","$125,200","$125,300","$125,400","$125,400","$125,500","$125,300","$125,100","$124,800","$124,700","$124,500","$124,600","$124,700","$124,700","$124,600","$124,300","$124,100","$123,800","$123,800","$123,900","$124,100","$124,100","$124,000","$124,100","$124,300","$124,600","$124,900","$125,100","$125,200","$125,500","$125,700","$125,700","$125,700","$125,800","$126,200","$126,600","$126,700","$126,900","$127,000","$127,500","$128,000","$128,600","$129,000","$129,300","$129,400","$129,600","$129,700","$129,800","$130,200","$130,600","$131,000","$131,300","$131,800","$132,300","$132,800","$133,500","$134,500","$135,600","$136,500","$137,500","$138,500","$139,100","$140,000","$140,700","$141,200","$141,300","$141,300","$141,500","$142,100","$142,700","$143,000","$143,200","$143,300","$143,700","$143,900","$144,200","$144,600","$145,200","$145,900","$146,300","$146,400","$146,400"
Albuquerque Metro,metro,Bottom Tier,"$127,000","$126,800","$126,500","$126,100","$125,600","$124,800","$123,800","$122,700","$121,900","$121,900","$122,300","$122,500","$121,800","$121,100","$120,600","$120,500","$120,000","$119,800","$119,500","$119,400","$119,200","$118,800","$118,200","$117,700","$117,600","$117,700","$117,700","$117,500","$117,800","$118,300","$118,600","$118,900","$118,900","$118,900","$118,900","$119,400","$120,000","$120,600","$121,100","$121,500","$122,100","$122,200","$122,500","$122,600","$123,200","$123,800","$124,200","$124,100","$123,700","$123,600","$123,500","$123,500","$123,200","$123,300","$123,500","$124,300","$124,600","$124,700","$124,500","$124,500","$124,700","$124,900","$125,200","$125,700","$126,300","$126,600","$126,500","$125,900","$125,600","$126,000","$126,700","$127,800","$128,400","$129,000","$129,300","$129,700","$129,800","$130,000","$130,700","$131,600","$132,600","$133,000","$133,200","$132,900","$133,200","$133,500","$134,200","$134,800","$135,600","$136,200","$136,500","$136,900","$137,100","$137,500","$138,100","$139,200","$140,000","$140,700","$141,100","$141,200","$141,500","$141,900","$143,000","$143,800","$144,700","$145,500","$146,100","$146,700","$147,100","$147,700","$148,500","$149,600","$150,600","$151,600","$152,200","$153,100","$154,000","$155,100","$156,200","$157,500"
Allentown-Bethlehem-Easton Metro,metro,Bottom Tier,"$128,600","$129,100","$129,100","$128,800","$127,900","$126,900","$126,000","$125,300","$124,800","$124,200","$123,400","$122,300","$121,300","$120,300","$119,600","$118,800","$118,300","$117,800","$117,400","$116,700","$116,000","$115,500","$115,000","$114,500","$114,000","$113,500","$113,200","$113,200","$113,300","$113,400","$113,500","$113,800","$113,700","$113,600","$113,600","$114,000","$114,400","$114,700","$114,800","$114,800","$114,900","$115,100","$115,200","$115,300","$115,600","$116,000","$116,400","$116,500","$116,500","$116,400","$116,800","$117,100","$117,400","$117,200","$117,200","$117,200","$117,300","$117,300","$117,000","$117,000","$117,300","$118,000","$118,100","$118,100","$118,100","$118,400","$118,700","$119,000","$119,100","$119,300","$119,800","$120,100","$120,400","$120,400","$120,800","$121,100","$121,500","$121,800","$122,000","$122,400","$122,700","$123,300","$123,600","$124,100","$124,300","$124,500","$124,800","$125,200","$125,800","$126,400","$127,200","$127,800","$128,600","$129,200","$130,100","$130,900","$131,900","$132,700","$133,500","$134,200","$134,800","$135,500","$136,100","$136,600","$137,100","$137,600","$137,900","$138,100","$138,300","$138,800","$139,200","$139,700","$140,100","$140,500","$140,900","$141,400","$141,800","$142,400","$143,000","$143,800"
Amarillo Metro,metro,Bottom Tier,"$64,300","$64,500","$64,600","$64,500","$64,500","$64,600","$64,300","$63,800","$63,400","$63,200","$63,100","$62,900","$62,600","$62,300","$62,200","$62,100","$62,000","$61,900","$61,900","$62,000","$61,900","$61,700","$61,600","$61,700","$61,800","$61,900","$61,900","$62,000","$62,300","$62,600","$62,900","$62,900","$63,200","$63,300","$63,500","$63,600","$63,600","$63,800","$63,900","$64,100","$64,200","$64,300","$64,400","$64,600","$64,800","$65,100","$65,400","$65,700","$66,000","$66,100","$66,500","$66,800","$67,100","$67,400","$67,600","$67,800","$68,100","$68,200","$68,200","$68,200","$68,300","$68,600","$68,700","$68,800","$68,900","$68,900","$69,000","$69,100","$69,300","$69,600","$70,000","$70,500","$70,900","$71,200","$71,400","$71,500","$71,800","$72,100","$72,400","$72,600","$72,800","$73,100","$73,200","$73,300","$73,300","$73,300","$73,500","$73,700","$73,900","$74,100","$74,300","$74,600","$74,800","$74,700","$74,700","$74,800","$75,200","$75,600","$76,000","$76,200","$76,400","$76,500","$76,800","$76,900","$77,300","$77,700","$78,100","$78,300","$78,300","$78,400","$78,500","$78,600","$78,800","$79,100","$79,200","$79,400","$79,500","$79,700","$79,900","$80,100"
Anchorage Metro,metro,Bottom Tier,"$183,100","$183,700","$183,900","$184,200","$184,600","$184,800","$184,700","$184,100","$183,800","$183,200","$182,800","$181,900","$181,000","$180,300","$180,300","$180,600","$180,800","$180,900","$181,100","$181,200","$181,600","$182,200","$182,900","$183,800","$184,500","$185,200","$185,100","$184,700","$184,100","$184,000","$184,200","$184,600","$184,500","$184,800","$184,900","$185,500","$186,100","$186,900","$188,400","$189,800","$191,200","$192,400","$193,400","$194,400","$195,200","$195,500","$196,000","$196,300","$196,600","$196,400","$196,000","$196,300","$197,100","$198,000","$198,800","$199,300","$200,200","$201,000","$201,800","$202,500","$203,500","$205,100","$206,400","$206,900","$206,900","$206,600","$206,600","$206,900","$207,600","$208,300","$209,200","$209,500","$209,600","$209,100","$208,600","$208,400","$208,000","$208,200","$208,100","$208,600","$208,500","$208,500","$208,000","$207,800","$207,500","$207,800","$208,300","$208,900","$209,400","$210,100","$210,900","$211,100","$210,900","$210,300","$209,800","$209,200","$208,200","$208,300","$208,600","$209,800","$210,000","$210,000","$210,300","$210,600","$210,700","$210,400","$212,400","$214,500","$217,600","$218,000","$218,500","$218,100","$218,400","$218,500","$218,100","$217,800","$217,600","$217,600","$215,600","$213,200"
Ann Arbor Metro,metro,Bottom Tier,"$107,800","$107,900","$107,800","$107,700","$107,600","$107,600","$107,900","$107,600","$107,400","$106,500","$106,100","$105,300","$104,800","$104,000","$103,600","$103,300","$102,900","$102,000","$101,500","$101,700","$102,700","$103,900","$104,900","$105,700","$105,900","$106,100","$106,200","$106,700","$107,300","$108,400","$109,500","$111,000","$111,800","$111,800","$111,900","$112,600","$114,500","$116,900","$118,900","$120,800","$122,000","$123,400","$124,700","$125,900","$127,200","$128,800","$130,800","$132,600","$134,100","$134,400","$134,500","$134,600","$135,700","$136,700","$137,400","$137,600","$137,600","$138,000","$137,800","$137,900","$137,600","$138,700","$140,200","$141,800","$142,700","$143,200","$144,000","$144,800","$145,800","$147,100","$148,800","$150,000","$150,700","$151,000","$151,400","$151,700","$152,400","$152,800","$153,500","$154,300","$156,100","$157,600","$158,500","$159,000","$159,900","$161,400","$162,300","$163,500","$164,400","$166,300","$167,700","$169,500","$170,000","$170,100","$170,800","$172,100","$174,100","$174,800","$176,000","$176,800","$178,300","$180,200","$182,200","$183,300","$183,800","$184,400","$185,200","$186,000","$185,900","$186,600","$187,100","$187,700","$187,800","$187,100","$186,400","$186,200","$186,800","$187,400","$187,700","$187,600"
Appleton Metro,metro,Bottom Tier,"$104,000","$104,000","$103,900","$103,600","$103,300","$102,800","$102,400","$101,800","$101,400","$101,000","$100,200","$99,400","$98,500","$98,000","$97,500","$97,000","$96,600","$96,200","$95,700","$95,200","$94,700","$94,200","$93,800","$93,600","$93,400","$93,500","$93,500","$94,100","$94,400","$94,900","$95,200","$95,600","$95,800","$96,200","$96,900","$97,400","$97,900","$98,000","$98,200","$98,300","$98,800","$99,000","$99,400","$99,600","$99,900","$99,700","$99,200","$98,800","$98,700","$99,100","$99,500","$99,600","$99,300","$99,400","$99,700","$100,200","$100,500","$101,400","$102,600","$103,700","$104,400","$104,600","$104,600","$104,600","$104,600","$104,500","$104,400","$104,300","$104,700","$104,800","$105,000","$104,900","$105,200","$105,700","$106,300","$107,000","$107,800","$108,800","$109,700","$110,700","$111,000","$111,300","$111,600","$112,400","$113,100","$113,800","$115,100","$116,200","$117,300","$117,600","$117,600","$117,900","$118,800","$119,900","$121,200","$122,400","$123,200","$124,100","$124,500","$125,000","$125,500","$126,800","$128,000","$129,000","$129,400","$129,700","$129,700","$130,200","$130,900","$131,700","$132,300","$132,900","$133,500","$133,900","$134,500","$135,200","$136,200","$137,000","$138,000","$138,700"
Asheville Metro,metro,Bottom Tier,"$134,200","$133,900","$133,300","$133,000","$132,500","$132,000","$131,400","$130,900","$130,500","$130,000","$129,500","$129,100","$128,700","$128,100","$127,800","$127,300","$126,900","$126,400","$126,100","$125,600","$125,000","$124,700","$124,400","$124,200","$124,000","$123,800","$123,700","$123,700","$123,800","$124,100","$124,400","$124,600","$124,700","$124,900","$125,100","$125,200","$125,200","$125,300","$125,600","$125,900","$126,200","$126,500","$126,800","$127,000","$127,600","$128,100","$128,600","$129,100","$129,900","$130,600","$131,100","$131,300","$131,600","$132,100","$132,800","$133,500","$134,000","$134,700","$135,400","$136,100","$136,500","$137,000","$137,900","$138,800","$139,500","$139,800","$140,100","$140,300","$141,000","$141,600","$142,400","$143,300","$144,400","$145,400","$146,400","$147,800","$149,100","$150,700","$152,000","$153,600","$154,800","$156,000","$156,900","$157,900","$158,800","$159,900","$160,700","$161,600","$162,700","$164,100","$165,700","$167,000","$168,600","$169,800","$171,100","$172,300","$173,600","$174,700","$175,900","$176,900","$177,900","$178,500","$179,300","$180,000","$180,900","$181,800","$182,700","$183,400","$184,100","$184,800","$185,500","$186,300","$187,000","$187,800","$188,300","$189,000","$189,400","$190,100","$190,600","$191,300"
