United States Zillow Home Value Index - Condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Condo,"$191,200","$190,900","$190,200","$189,000","$187,800","$186,500","$185,100","$183,600","$182,300","$181,000","$179,800","$178,600","$177,300","$175,900","$174,700","$173,800","$173,100","$172,500","$171,900","$171,400","$170,900","$170,500","$170,200","$170,200","$170,300","$170,800","$171,300","$171,900","$172,500","$173,300","$174,300","$175,400","$176,700","$178,100","$179,600","$181,300","$183,100","$184,900","$186,800","$188,800","$190,800","$192,700","$194,400","$195,900","$197,300","$198,700","$199,900","$200,900","$201,600","$202,300","$203,000","$203,700","$204,300","$204,900","$205,700","$206,600","$207,500","$208,400","$209,300","$210,400","$211,500","$212,600","$213,600","$214,600","$215,600","$216,700","$217,700","$218,700","$219,800","$220,900","$222,100","$223,000","$223,900","$224,800","$225,900","$226,900","$228,000","$229,000","$230,100","$231,200","$232,300","$233,400","$234,400","$235,500","$236,800","$238,100","$239,400","$240,700","$242,000","$243,300","$244,700","$246,100","$247,400","$248,700","$250,200","$251,600","$252,900","$254,100","$255,300","$256,400","$257,400","$258,400","$259,300","$260,100","$260,800","$261,400","$261,700","$262,000","$262,400","$262,800","$263,300","$263,800","$264,300","$264,900","$265,500","$266,100","$266,900","$267,800","$268,800","$269,800"
Akron Metro,metro,Condo,"$128,200","$128,400","$128,500","$128,700","$128,500","$128,000","$127,400","$126,400","$125,800","$125,300","$125,200","$125,300","$125,200","$124,300","$123,300","$122,300","$121,700","$121,200","$120,400","$119,900","$119,000","$118,300","$117,300","$116,700","$116,500","$116,300","$116,000","$115,700","$115,500","$115,300","$115,300","$115,700","$116,400","$117,200","$117,700","$117,900","$117,900","$118,300","$119,100","$120,100","$120,800","$121,300","$121,900","$122,100","$122,100","$121,800","$121,500","$121,200","$121,400","$121,400","$121,600","$121,700","$121,800","$122,000","$122,200","$122,500","$123,100","$123,400","$124,000","$124,600","$125,200","$125,800","$126,000","$126,300","$126,700","$127,300","$127,400","$127,600","$127,400","$128,100","$128,500","$129,100","$129,000","$129,200","$129,400","$129,800","$129,800","$129,900","$130,300","$130,800","$131,500","$132,300","$132,900","$133,200","$133,700","$134,100","$135,100","$135,400","$136,200","$136,700","$138,000","$138,900","$139,700","$139,500","$140,000","$140,900","$142,500","$143,500","$143,300","$143,500","$144,000","$144,900","$145,400","$146,100","$146,700","$147,600","$148,200","$148,600","$148,400","$148,500","$149,600","$150,600","$151,300","$151,900","$152,400","$153,000","$153,600","$154,700","$155,800","$157,000"
Albany-Schenectady-Troy Metro,metro,Condo,"$174,000","$174,700","$175,800","$176,600","$176,700","$176,300","$175,600","$175,000","$174,300","$173,400","$172,600","$172,100","$171,600","$170,700","$168,800","$166,800","$165,800","$165,600","$165,500","$164,700","$164,200","$164,100","$163,800","$162,900","$161,900","$161,300","$161,200","$161,300","$161,000","$160,600","$160,500","$160,900","$161,200","$161,400","$161,900","$162,500","$163,100","$163,100","$163,000","$162,800","$162,700","$162,300","$161,800","$161,500","$160,900","$160,300","$159,300","$158,900","$158,300","$158,200","$158,000","$158,200","$158,200","$157,900","$157,400","$156,600","$156,400","$156,500","$157,000","$157,100","$157,300","$157,400","$157,700","$157,600","$157,800","$157,800","$158,400","$158,600","$158,800","$158,400","$157,900","$157,500","$157,400","$157,500","$157,200","$157,300","$157,000","$157,500","$157,700","$158,200","$158,200","$158,200","$158,000","$157,900","$157,700","$157,100","$157,200","$157,400","$157,600","$157,400","$157,700","$158,100","$158,600","$159,800","$161,400","$162,800","$164,100","$165,200","$166,400","$167,000","$168,400","$169,300","$169,900","$169,800","$169,800","$170,000","$170,300","$170,600","$170,700","$170,900","$170,900","$171,400","$171,300","$171,600","$171,900","$172,700","$173,500","$173,700","$173,800","$174,000"
Albuquerque Metro,metro,Condo,"$141,200","$140,700","$139,900","$139,200","$138,600","$137,700","$136,300","$134,900","$133,900","$133,500","$133,300","$132,900","$132,100","$131,300","$130,700","$130,500","$129,800","$129,500","$129,300","$129,200","$128,700","$128,200","$127,700","$127,200","$127,200","$127,300","$127,200","$127,100","$127,400","$127,800","$128,000","$128,300","$128,300","$128,600","$129,000","$129,800","$130,400","$130,700","$131,200","$131,500","$132,000","$131,800","$132,100","$132,100","$132,800","$132,800","$132,600","$131,900","$131,500","$131,300","$130,800","$130,500","$130,000","$130,100","$130,300","$131,000","$131,000","$131,000","$130,800","$130,700","$130,600","$130,600","$131,100","$131,700","$132,400","$132,700","$132,400","$131,500","$131,100","$131,100","$131,800","$132,700","$133,400","$133,800","$134,000","$134,100","$134,000","$134,000","$134,400","$135,400","$136,500","$137,300","$137,700","$137,700","$137,800","$138,000","$138,600","$139,300","$140,000","$140,700","$141,000","$141,400","$141,200","$141,300","$141,500","$142,500","$143,500","$144,400","$144,900","$144,800","$144,900","$145,100","$146,400","$147,400","$148,700","$149,600","$150,300","$150,600","$150,800","$151,000","$151,600","$152,700","$153,700","$154,600","$154,800","$155,200","$155,700","$156,500","$157,400","$158,400"
Allentown-Bethlehem-Easton Metro,metro,Condo,"$178,700","$179,100","$179,000","$178,700","$177,500","$176,400","$175,500","$174,800","$174,000","$172,900","$171,300","$169,600","$167,800","$166,300","$164,900","$163,600","$162,600","$161,800","$160,900","$159,900","$158,800","$158,200","$157,700","$157,200","$156,900","$156,100","$155,800","$155,600","$155,900","$155,800","$156,000","$156,200","$156,000","$155,800","$155,800","$156,500","$157,000","$157,700","$157,800","$158,000","$157,900","$158,400","$158,400","$158,600","$159,300","$159,900","$160,300","$160,100","$159,700","$159,300","$159,800","$160,400","$161,200","$161,000","$161,100","$161,100","$161,100","$160,900","$160,400","$160,500","$161,200","$162,300","$162,500","$162,100","$161,600","$161,800","$162,000","$162,000","$161,900","$162,000","$162,500","$162,600","$162,700","$162,600","$162,700","$162,900","$163,100","$163,200","$163,400","$163,700","$164,000","$164,500","$164,900","$165,300","$165,400","$165,400","$165,500","$165,900","$166,300","$166,800","$167,500","$168,200","$169,000","$169,600","$170,600","$171,300","$172,100","$172,400","$172,800","$173,400","$174,400","$175,300","$176,000","$176,300","$176,700","$177,200","$177,200","$177,200","$177,400","$178,200","$178,800","$179,200","$179,300","$179,400","$179,700","$180,200","$180,600","$181,200","$181,900","$182,700"
Amarillo Metro,metro,Condo,"$117,700","$117,600","$117,500","$117,700","$118,200","$118,800","$118,600","$118,300","$118,000","$117,800","$117,600","$117,200","$116,900","$116,600","$116,700","$116,300","$115,600","$114,800","$114,200","$114,000","$113,600","$113,800","$114,000","$114,700","$115,000","$115,300","$115,600","$115,900","$116,600","$117,200","$118,000","$118,200","$118,700","$118,600","$118,600","$118,300","$118,300","$118,400","$118,600","$119,100","$119,400","$119,700","$119,700","$120,000","$120,200","$120,600","$121,000","$121,400","$121,900","$122,000","$122,000","$121,800","$121,700","$121,900","$122,100","$122,500","$122,700","$122,900","$122,900","$122,900","$123,000","$123,200","$123,600","$124,000","$124,200","$124,100","$124,100","$124,200","$124,800","$125,300","$125,800","$126,300","$126,800","$127,300","$127,600","$128,100","$128,900","$129,900","$130,800","$131,400","$131,700","$131,900","$132,300","$132,500","$132,700","$132,600","$132,700","$132,600","$132,200","$131,800","$131,700","$131,900","$132,100","$132,500","$133,000","$133,700","$134,300","$134,900","$135,200","$135,500","$136,100","$136,500","$136,700","$136,700","$136,800","$136,800","$136,600","$136,400","$136,000","$136,000","$136,000","$136,200","$136,200","$136,400","$136,600","$136,900","$137,300","$137,600","$138,100","$138,600"
Anchorage Metro,metro,Condo,"$174,400","$175,000","$175,400","$175,900","$176,300","$176,500","$176,300","$175,500","$175,200","$174,500","$174,100","$173,000","$171,900","$171,100","$170,900","$171,300","$171,700","$172,100","$172,300","$172,600","$173,200","$174,000","$174,700","$175,400","$176,200","$177,100","$176,800","$176,200","$175,700","$176,000","$176,200","$176,700","$176,300","$176,700","$177,000","$178,000","$178,400","$178,600","$179,800","$180,800","$181,700","$181,800","$182,300","$182,900","$183,600","$183,700","$184,300","$184,700","$185,300","$185,300","$184,900","$185,000","$185,600","$186,500","$187,100","$187,000","$187,400","$187,300","$186,900","$186,400","$186,900","$188,100","$189,300","$189,700","$189,600","$189,000","$188,600","$188,800","$189,500","$190,400","$191,300","$191,700","$191,300","$190,300","$189,200","$188,800","$188,200","$188,300","$188,200","$188,100","$187,500","$187,100","$186,200","$185,600","$185,200","$185,500","$186,100","$186,600","$187,200","$187,700","$188,000","$188,000","$188,100","$188,500","$188,500","$188,000","$186,600","$186,300","$186,200","$187,500","$187,800","$187,700","$187,500","$187,400","$187,500","$187,300","$189,100","$191,100","$194,400","$195,700","$197,000","$197,200","$198,300","$199,500","$201,100","$202,600","$204,000","$205,500","$205,600","$205,600"
Ann Arbor Metro,metro,Condo,"$143,200","$143,400","$143,300","$143,100","$143,300","$143,500","$144,200","$143,700","$143,900","$142,900","$142,400","$141,400","$140,800","$140,000","$139,400","$139,300","$138,600","$137,600","$136,700","$137,200","$138,500","$140,600","$142,300","$143,600","$143,700","$143,500","$143,600","$143,900","$144,600","$145,800","$147,000","$148,900","$149,800","$149,600","$149,300","$150,200","$153,000","$156,500","$159,300","$161,700","$163,300","$165,200","$167,000","$168,300","$169,700","$171,600","$174,200","$176,100","$177,700","$177,800","$178,000","$178,000","$179,600","$180,900","$181,800","$182,200","$182,200","$182,600","$182,200","$182,300","$181,900","$183,300","$185,200","$187,300","$188,400","$189,000","$189,800","$190,500","$191,600","$193,200","$195,400","$197,000","$197,700","$197,900","$198,000","$198,000","$198,500","$198,600","$199,300","$200,200","$202,600","$204,400","$205,300","$205,600","$206,600","$208,300","$209,400","$210,800","$211,800","$214,200","$216,100","$218,400","$218,800","$218,900","$219,700","$221,600","$224,300","$225,100","$226,300","$227,200","$229,000","$231,500","$234,000","$235,200","$235,500","$236,400","$237,200","$237,800","$237,100","$237,700","$238,200","$238,800","$238,700","$237,400","$236,200","$235,600","$236,100","$236,600","$236,600","$236,400"
Appleton Metro,metro,Condo,"$139,200","$138,800","$138,700","$138,300","$137,900","$137,400","$136,700","$136,100","$135,400","$134,500","$133,000","$131,500","$130,500","$129,900","$129,500","$128,800","$128,400","$127,800","$127,700","$127,200","$126,800","$126,300","$126,100","$126,300","$126,100","$126,000","$125,900","$126,500","$126,700","$127,100","$127,300","$127,600","$127,900","$128,700","$129,700","$130,100","$130,500","$130,600","$130,900","$131,100","$132,000","$132,700","$133,500","$134,100","$134,600","$134,500","$133,900","$133,800","$134,100","$134,800","$135,600","$135,800","$135,500","$135,400","$135,500","$135,800","$136,200","$136,900","$138,100","$139,300","$140,400","$140,800","$140,700","$140,500","$140,400","$140,300","$140,300","$140,300","$141,000","$141,400","$141,700","$141,400","$141,400","$141,800","$142,400","$143,500","$144,400","$145,600","$146,500","$147,400","$147,600","$147,900","$148,200","$149,200","$150,100","$150,900","$152,200","$153,700","$155,200","$155,700","$155,800","$156,100","$157,200","$158,600","$160,200","$161,600","$162,500","$163,300","$163,600","$163,700","$164,000","$165,500","$167,300","$168,700","$169,100","$169,200","$169,200","$169,900","$171,000","$172,300","$173,500","$174,600","$175,600","$176,100","$176,600","$177,500","$178,800","$180,200","$181,600","$182,400"
Asheville Metro,metro,Condo,"$157,200","$156,700","$155,900","$155,400","$155,200","$155,100","$154,700","$154,300","$153,700","$153,300","$152,800","$152,500","$152,200","$152,000","$151,800","$151,500","$151,000","$150,300","$149,900","$149,300","$148,700","$148,100","$147,600","$147,300","$146,800","$146,500","$146,100","$146,000","$146,100","$146,300","$146,700","$147,100","$147,300","$147,200","$147,100","$147,000","$146,900","$146,800","$146,700","$146,500","$146,400","$146,100","$145,400","$144,800","$144,400","$144,600","$144,900","$145,300","$146,000","$146,700","$147,200","$147,600","$148,000","$148,700","$149,500","$150,400","$151,100","$151,900","$152,700","$153,300","$153,600","$153,900","$154,700","$155,300","$156,000","$156,400","$157,100","$157,800","$158,800","$159,700","$160,900","$162,300","$163,700","$165,100","$166,400","$168,200","$169,900","$171,600","$172,900","$174,500","$176,000","$177,200","$177,900","$178,500","$179,400","$180,400","$181,300","$182,300","$183,700","$185,200","$187,200","$188,800","$190,600","$192,000","$193,900","$195,800","$197,800","$199,500","$201,200","$202,600","$203,900","$205,000","$206,200","$207,300","$208,100","$209,100","$210,000","$210,600","$211,100","$211,400","$212,100","$212,800","$213,400","$214,000","$214,400","$215,000","$215,700","$216,600","$217,300","$218,200"
