United States Zillow Home Value Index - Four Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Four Bed,"$250,000","$250,100","$249,700","$248,900","$247,800","$246,600","$245,500","$244,200","$243,100","$241,900","$240,800","$239,600","$238,300","$237,000","$235,900","$235,300","$234,800","$234,500","$234,000","$233,700","$233,300","$233,000","$232,900","$233,100","$233,600","$234,300","$234,900","$235,700","$236,500","$237,500","$238,600","$239,800","$241,200","$242,800","$244,500","$246,300","$248,200","$250,200","$252,200","$254,400","$256,400","$258,500","$260,400","$262,100","$263,600","$265,000","$266,400","$267,300","$268,100","$268,800","$269,500","$270,300","$270,900","$271,500","$272,300","$273,200","$274,100","$275,100","$276,100","$277,200","$278,500","$279,700","$280,800","$281,800","$282,900","$284,100","$285,300","$286,300","$287,400","$288,600","$289,900","$290,900","$292,000","$293,200","$294,400","$295,600","$296,900","$298,200","$299,500","$300,800","$302,200","$303,500","$304,800","$306,300","$307,700","$309,100","$310,600","$311,900","$313,200","$314,700","$316,200","$317,800","$319,300","$320,800","$322,400","$323,900","$325,400","$326,800","$328,200","$329,500","$330,700","$331,800","$332,800","$333,700","$334,700","$335,600","$336,400","$336,900","$337,500","$338,000","$338,800","$339,600","$340,500","$341,400","$342,300","$343,300","$344,300","$345,400","$346,600","$348,000"
Akron Metro,metro,Four Bed,"$203,300","$203,500","$204,100","$204,800","$204,400","$203,500","$202,600","$201,300","$200,600","$199,800","$199,300","$199,000","$198,800","$197,700","$196,400","$194,900","$194,400","$193,900","$193,200","$192,700","$191,900","$191,000","$189,900","$189,700","$190,000","$190,300","$190,400","$190,300","$190,000","$190,000","$190,100","$190,800","$191,800","$193,400","$194,700","$195,300","$195,400","$196,100","$197,300","$198,900","$200,200","$201,100","$202,300","$203,100","$203,600","$203,500","$203,300","$203,100","$203,500","$203,500","$203,800","$203,800","$204,100","$204,300","$204,700","$205,000","$205,900","$206,000","$206,800","$207,400","$208,300","$209,300","$209,800","$210,700","$211,600","$212,700","$213,000","$213,400","$213,200","$214,400","$214,900","$215,900","$216,100","$216,600","$216,900","$217,700","$217,800","$218,500","$219,000","$219,900","$221,200","$222,700","$224,100","$224,700","$225,500","$226,100","$227,900","$228,300","$229,500","$229,900","$231,700","$233,100","$234,300","$234,100","$234,700","$236,000","$238,300","$239,600","$239,100","$239,200","$239,500","$240,700","$241,400","$242,400","$243,300","$244,600","$245,100","$245,300","$244,700","$244,700","$246,000","$247,500","$248,500","$249,300","$249,900","$250,500","$251,200","$252,500","$254,000","$255,700"
Albany-Schenectady-Troy Metro,metro,Four Bed,"$239,500","$240,200","$240,800","$240,500","$239,700","$238,900","$237,900","$237,000","$235,800","$235,000","$234,400","$233,800","$232,800","$231,500","$230,400","$229,200","$228,800","$228,400","$228,100","$227,300","$227,000","$226,600","$226,100","$225,300","$224,700","$224,600","$224,600","$225,000","$225,100","$225,500","$226,000","$226,600","$227,200","$227,900","$229,200","$230,500","$231,800","$232,000","$231,800","$231,600","$231,800","$232,100","$232,200","$232,100","$231,600","$231,100","$230,100","$229,400","$228,600","$228,700","$229,100","$229,300","$228,900","$228,000","$227,200","$226,500","$226,400","$226,700","$227,200","$227,300","$227,400","$227,600","$227,700","$227,900","$228,400","$228,800","$229,200","$229,700","$230,200","$230,200","$230,200","$230,400","$231,000","$231,600","$232,000","$232,500","$232,700","$233,500","$234,400","$235,600","$236,400","$237,100","$237,500","$237,900","$238,000","$238,000","$238,800","$239,600","$240,700","$241,300","$242,200","$243,100","$244,000","$244,900","$246,200","$247,700","$249,200","$251,100","$252,700","$253,900","$255,300","$256,500","$257,200","$256,600","$256,000","$256,000","$256,900","$257,800","$258,100","$257,900","$257,700","$257,700","$257,400","$257,300","$257,300","$258,000","$258,900","$259,100","$258,500","$257,700"
Albuquerque Metro,metro,Four Bed,"$253,200","$252,400","$251,400","$250,300","$249,300","$247,700","$245,600","$243,400","$241,900","$241,300","$240,900","$240,300","$239,000","$237,800","$236,800","$236,500","$235,300","$234,700","$234,100","$234,100","$233,700","$233,000","$232,100","$231,300","$231,000","$231,200","$231,400","$231,300","$232,000","$233,100","$233,700","$234,100","$233,900","$233,800","$233,800","$234,600","$236,000","$237,100","$238,200","$238,900","$239,700","$239,700","$240,500","$240,800","$242,200","$244,100","$245,700","$246,400","$245,700","$245,200","$244,600","$244,600","$244,400","$244,700","$245,100","$246,400","$246,900","$246,400","$245,400","$244,700","$245,100","$245,300","$246,000","$246,800","$247,800","$248,300","$248,000","$246,800","$246,200","$246,800","$248,400","$250,400","$251,600","$252,600","$253,000","$253,300","$253,100","$253,300","$254,100","$255,500","$256,900","$257,300","$257,300","$256,500","$256,800","$257,200","$258,300","$259,300","$260,400","$261,500","$261,800","$262,300","$262,300","$262,800","$263,600","$265,200","$266,200","$267,000","$267,400","$267,200","$267,500","$267,700","$269,500","$270,600","$272,000","$273,100","$273,900","$274,600","$275,300","$276,300","$277,500","$279,200","$280,800","$282,400","$283,200","$284,400","$285,800","$287,500","$289,400","$291,300"
Allentown-Bethlehem-Easton Metro,metro,Four Bed,"$277,500","$278,800","$278,700","$278,300","$276,600","$275,000","$273,500","$272,200","$271,000","$269,800","$268,100","$266,000","$264,000","$262,200","$261,100","$259,600","$259,000","$258,100","$257,400","$256,200","$255,100","$254,300","$253,500","$252,400","$251,400","$250,500","$250,000","$250,300","$250,600","$250,900","$251,200","$251,900","$252,000","$252,000","$252,500","$253,700","$255,100","$256,300","$256,700","$257,000","$257,200","$258,100","$258,600","$259,200","$260,400","$261,800","$263,000","$263,400","$263,300","$263,000","$263,700","$264,300","$265,000","$264,700","$264,800","$264,800","$264,600","$264,300","$263,500","$263,700","$264,400","$266,100","$266,400","$266,800","$267,100","$268,000","$268,700","$269,300","$269,700","$269,800","$270,700","$271,100","$271,700","$271,600","$272,300","$272,900","$273,400","$273,600","$273,700","$274,200","$274,800","$276,200","$277,200","$278,100","$278,600","$278,900","$279,600","$280,500","$281,800","$283,000","$284,600","$285,800","$287,300","$288,200","$289,800","$291,200","$293,100","$294,500","$295,500","$296,200","$296,900","$297,700","$298,600","$299,600","$300,700","$301,400","$301,700","$302,100","$302,200","$303,000","$303,900","$304,800","$305,600","$306,400","$307,000","$307,700","$308,000","$309,000","$309,800","$310,900"
Amarillo Metro,metro,Four Bed,"$202,600","$202,900","$203,000","$203,200","$203,900","$204,700","$204,800","$204,500","$204,000","$203,800","$203,600","$203,100","$202,700","$202,400","$202,700","$202,700","$202,200","$201,800","$201,400","$201,500","$201,200","$201,300","$201,300","$201,600","$201,600","$201,700","$201,900","$202,000","$202,900","$203,700","$204,900","$205,200","$205,800","$206,000","$206,200","$206,600","$206,900","$207,600","$208,000","$208,800","$209,100","$209,500","$209,600","$210,200","$210,800","$211,400","$212,200","$212,600","$213,300","$213,400","$213,900","$214,300","$214,800","$215,300","$215,800","$216,600","$217,300","$217,900","$218,100","$218,400","$218,900","$219,800","$220,800","$221,600","$222,100","$222,300","$222,700","$223,000","$223,400","$224,200","$225,600","$227,200","$228,600","$229,400","$229,800","$230,500","$231,400","$232,400","$233,300","$234,100","$235,000","$235,600","$235,800","$235,500","$235,300","$235,000","$234,800","$234,500","$234,500","$234,800","$235,000","$235,200","$235,400","$236,100","$236,500","$237,500","$238,200","$239,700","$241,000","$242,100","$242,700","$242,700","$243,000","$243,100","$243,200","$243,200","$243,600","$243,900","$244,300","$244,100","$244,100","$244,200","$244,600","$245,200","$245,700","$246,300","$246,900","$247,400","$247,800","$248,200"
Anchorage Metro,metro,Four Bed,"$328,600","$329,400","$329,500","$329,600","$329,900","$330,200","$330,200","$329,200","$328,700","$327,600","$326,500","$324,300","$322,300","$321,100","$321,400","$322,000","$322,400","$322,400","$322,800","$323,300","$324,100","$325,100","$326,300","$328,100","$329,800","$331,500","$331,400","$331,200","$330,800","$331,800","$332,900","$333,900","$333,700","$334,100","$335,000","$336,600","$337,500","$338,500","$341,100","$343,600","$345,700","$346,300","$346,600","$347,700","$349,100","$349,800","$350,700","$351,300","$352,000","$351,400","$350,100","$350,000","$351,400","$353,300","$355,100","$355,500","$356,500","$357,000","$356,900","$356,800","$358,100","$361,100","$363,900","$365,000","$364,800","$364,100","$363,400","$364,000","$364,900","$366,600","$368,400","$369,300","$368,500","$366,400","$364,400","$363,300","$362,200","$361,800","$361,800","$362,200","$361,800","$361,100","$359,400","$358,200","$357,300","$357,700","$358,500","$359,200","$360,300","$361,500","$362,800","$363,000","$363,400","$363,800","$363,800","$363,400","$361,500","$361,800","$362,300","$364,200","$364,700","$364,500","$364,600","$365,200","$366,100","$366,900","$371,600","$375,900","$382,400","$384,600","$387,400","$389,100","$391,600","$394,400","$396,800","$399,100","$401,200","$403,100","$402,000","$401,100"
Ann Arbor Metro,metro,Four Bed,"$249,800","$250,700","$251,600","$252,700","$252,900","$253,400","$254,800","$255,000","$255,700","$254,100","$253,600","$252,600","$252,600","$251,700","$251,500","$251,600","$251,800","$250,400","$249,300","$249,200","$250,900","$253,500","$255,400","$257,100","$257,400","$257,100","$257,000","$257,300","$258,200","$260,400","$262,700","$266,100","$267,500","$267,200","$267,000","$268,100","$272,100","$277,100","$281,300","$284,800","$286,700","$289,100","$291,400","$293,400","$296,000","$299,400","$303,600","$307,100","$309,800","$310,200","$310,200","$310,000","$312,300","$314,200","$315,300","$315,800","$315,900","$317,100","$316,500","$316,500","$315,500","$317,700","$321,100","$324,800","$326,700","$327,700","$329,300","$330,700","$332,300","$334,200","$337,200","$339,300","$340,300","$340,200","$340,000","$339,700","$340,300","$340,600","$341,300","$342,500","$345,800","$348,400","$349,700","$350,000","$351,600","$354,400","$355,900","$357,700","$358,500","$361,400","$363,700","$366,500","$366,600","$366,200","$367,100","$369,500","$373,100","$373,700","$375,200","$376,200","$378,800","$382,300","$385,600","$387,200","$387,300","$388,100","$388,900","$389,700","$388,700","$389,500","$390,000","$390,600","$390,400","$388,300","$386,500","$385,400","$386,200","$386,700","$386,600","$385,800"
Appleton Metro,metro,Four Bed,"$174,600","$174,500","$174,400","$174,100","$173,700","$173,000","$172,300","$171,500","$170,900","$170,500","$169,600","$168,800","$167,600","$166,900","$166,200","$165,500","$165,000","$164,400","$164,000","$163,500","$162,900","$162,300","$161,900","$161,700","$161,400","$161,600","$161,500","$162,300","$162,600","$163,400","$164,000","$164,800","$165,200","$166,100","$167,200","$168,000","$168,500","$168,500","$168,900","$169,100","$169,900","$170,400","$171,000","$171,200","$171,500","$171,000","$170,200","$169,700","$169,900","$170,700","$171,500","$171,700","$171,600","$171,800","$172,200","$172,900","$173,400","$174,700","$176,300","$178,000","$179,000","$179,300","$179,000","$178,800","$178,400","$178,100","$178,000","$177,900","$178,500","$178,900","$179,300","$179,100","$179,500","$180,300","$181,300","$182,700","$184,100","$185,900","$187,600","$189,200","$189,500","$189,900","$190,400","$191,500","$192,700","$193,600","$195,500","$197,200","$198,600","$198,800","$198,400","$198,500","$199,900","$201,900","$203,800","$205,500","$206,700","$208,000","$208,400","$208,900","$209,500","$211,200","$213,200","$214,700","$215,300","$215,600","$215,700","$216,400","$217,600","$218,900","$220,100","$221,200","$222,400","$223,300","$224,300","$225,400","$227,000","$228,400","$230,000","$231,200"
Asheville Metro,metro,Four Bed,"$325,600","$324,500","$322,600","$321,400","$319,900","$318,900","$317,800","$316,800","$315,700","$313,700","$312,600","$311,500","$310,900","$309,800","$308,700","$307,500","$306,600","$305,700","$305,000","$303,400","$301,700","$300,400","$299,100","$298,100","$297,300","$297,000","$297,100","$297,500","$298,300","$299,100","$299,900","$300,800","$301,500","$302,100","$302,900","$303,500","$304,200","$304,700","$305,600","$306,800","$308,100","$309,500","$310,600","$311,300","$312,900","$314,500","$316,100","$317,600","$319,900","$322,100","$323,100","$323,200","$323,700","$324,700","$326,200","$327,600","$328,200","$329,900","$331,600","$333,200","$332,900","$333,200","$334,500","$336,400","$337,700","$337,600","$337,600","$337,800","$339,100","$339,100","$339,500","$340,600","$343,500","$345,900","$347,900","$349,700","$351,700","$354,600","$357,500","$360,900","$363,500","$366,300","$368,300","$370,100","$371,600","$373,200","$374,800","$376,600","$379,100","$381,400","$383,900","$386,200","$389,200","$391,700","$394,400","$396,400","$398,400","$400,300","$402,000","$403,400","$404,700","$405,900","$407,000","$407,900","$408,500","$409,400","$409,800","$410,300","$410,600","$411,000","$411,900","$412,800","$413,600","$414,200","$414,900","$415,900","$416,800","$417,800","$419,300","$421,100"
