United States Zillow Home Value Index - Many Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Many Bed,"$355,800","$355,900","$355,500","$354,300","$352,700","$351,100","$349,600","$347,800","$346,300","$344,600","$343,100","$341,500","$339,800","$338,100","$336,700","$335,900","$335,400","$335,100","$334,600","$334,200","$333,800","$333,600","$333,600","$334,100","$335,000","$336,200","$337,400","$338,700","$340,000","$341,500","$343,200","$345,200","$347,400","$349,900","$352,500","$355,300","$358,200","$361,200","$364,300","$367,500","$370,600","$373,700","$376,500","$379,000","$381,200","$383,200","$385,100","$386,500","$387,500","$388,200","$389,200","$390,200","$391,000","$391,800","$392,700","$394,000","$395,300","$396,600","$398,000","$399,700","$401,400","$403,000","$404,500","$405,900","$407,400","$409,000","$410,600","$412,000","$413,500","$415,100","$416,600","$417,900","$419,400","$420,900","$422,500","$424,100","$425,600","$427,200","$428,800","$430,500","$432,300","$434,000","$435,700","$437,500","$439,400","$441,200","$443,200","$444,900","$446,700","$448,600","$450,600","$452,600","$454,700","$456,700","$459,000","$461,100","$463,100","$464,900","$466,600","$468,300","$469,800","$471,200","$472,400","$473,700","$474,900","$475,900","$476,700","$477,300","$477,900","$478,600","$479,400","$480,400","$481,500","$482,600","$483,800","$485,000","$486,200","$487,600","$489,200","$491,000"
Akron Metro,metro,Many Bed,"$238,600","$239,100","$239,900","$240,700","$239,900","$238,300","$237,100","$235,500","$234,700","$233,600","$233,200","$232,700","$232,500","$231,200","$229,700","$228,200","$227,900","$227,600","$227,000","$226,600","$225,800","$224,800","$223,400","$223,300","$223,700","$224,000","$223,700","$223,400","$223,200","$223,200","$223,200","$223,800","$225,000","$226,800","$228,400","$229,300","$229,400","$230,500","$232,100","$234,300","$235,900","$237,000","$238,400","$239,300","$239,800","$239,800","$239,600","$239,600","$240,300","$240,600","$241,300","$241,300","$241,500","$241,900","$242,400","$242,900","$243,700","$244,000","$245,000","$245,500","$246,300","$247,000","$247,600","$248,500","$249,500","$250,700","$251,200","$252,000","$251,800","$252,900","$253,200","$254,200","$254,300","$254,800","$254,600","$255,400","$255,500","$256,300","$256,800","$257,500","$259,100","$261,100","$262,900","$264,000","$265,100","$266,300","$268,700","$269,400","$270,900","$271,300","$273,400","$274,900","$276,300","$276,000","$276,900","$278,500","$281,000","$281,900","$280,900","$280,500","$280,800","$282,300","$283,100","$284,400","$285,400","$286,800","$287,100","$287,000","$286,300","$286,400","$288,100","$289,900","$290,900","$291,700","$292,100","$292,600","$293,300","$294,500","$296,300","$298,200"
Albany-Schenectady-Troy Metro,metro,Many Bed,"$252,200","$252,700","$253,000","$252,900","$252,200","$251,600","$250,900","$250,400","$249,600","$248,800","$248,300","$247,600","$246,700","$245,500","$244,300","$242,900","$242,500","$242,100","$241,900","$241,100","$240,800","$240,300","$239,600","$238,800","$238,100","$237,900","$237,900","$238,300","$238,400","$238,600","$239,000","$239,800","$240,300","$241,000","$242,200","$243,600","$244,900","$245,100","$245,100","$245,000","$245,500","$245,900","$246,000","$245,700","$245,200","$244,500","$243,700","$243,100","$242,500","$242,500","$242,800","$242,800","$242,100","$241,100","$240,200","$239,500","$239,400","$239,800","$240,100","$240,100","$240,000","$240,100","$240,200","$240,700","$241,300","$241,700","$242,000","$242,500","$243,000","$243,000","$243,100","$243,500","$244,200","$244,900","$245,200","$245,600","$245,700","$246,500","$247,300","$248,600","$249,500","$250,100","$250,400","$250,400","$250,600","$250,400","$251,200","$252,100","$253,300","$254,100","$255,300","$256,200","$257,100","$258,100","$259,500","$261,100","$262,800","$264,800","$266,600","$267,800","$269,300","$270,500","$271,100","$270,700","$270,200","$270,300","$271,300","$272,300","$272,700","$272,500","$272,300","$272,400","$272,200","$272,100","$272,200","$273,100","$274,000","$274,400","$273,900","$273,200"
Albuquerque Metro,metro,Many Bed,"$320,400","$319,500","$318,900","$317,800","$316,200","$313,600","$311,000","$308,600","$306,900","$306,600","$306,700","$306,700","$305,400","$304,200","$302,900","$302,700","$301,800","$301,600","$301,100","$301,100","$300,900","$300,400","$299,600","$298,300","$297,900","$298,200","$298,900","$299,100","$300,000","$301,300","$302,100","$302,700","$302,600","$302,900","$303,200","$304,500","$306,100","$306,800","$307,300","$307,500","$308,600","$308,700","$309,600","$309,700","$311,200","$313,300","$315,400","$316,200","$315,200","$315,000","$314,800","$315,000","$314,400","$314,600","$315,000","$316,600","$317,200","$316,000","$314,300","$313,100","$314,000","$314,200","$315,100","$316,100","$317,700","$318,400","$318,300","$317,000","$316,600","$317,500","$319,600","$321,800","$322,800","$323,800","$324,100","$324,600","$324,300","$324,600","$325,300","$326,700","$327,800","$328,100","$327,600","$326,800","$327,200","$327,900","$329,100","$329,900","$330,900","$331,800","$331,900","$332,600","$332,700","$333,600","$335,000","$337,200","$338,600","$339,300","$339,600","$339,000","$339,100","$339,300","$341,100","$342,000","$343,100","$343,900","$344,300","$344,700","$345,000","$346,200","$347,600","$349,800","$351,700","$353,600","$354,700","$356,300","$358,200","$360,300","$362,700","$365,100"
Allentown-Bethlehem-Easton Metro,metro,Many Bed,"$228,500","$229,300","$228,800","$228,200","$226,500","$225,300","$223,700","$222,300","$220,900","$220,000","$218,400","$216,600","$214,800","$213,400","$212,300","$210,800","$209,600","$208,400","$207,600","$206,600","$205,500","$204,500","$203,600","$202,600","$201,900","$200,900","$200,300","$200,100","$200,200","$200,300","$200,300","$200,500","$200,100","$199,600","$199,400","$199,800","$200,300","$201,000","$201,500","$201,900","$202,400","$203,100","$203,600","$204,000","$205,200","$206,400","$207,700","$208,200","$208,400","$207,900","$208,400","$208,700","$209,200","$209,100","$209,400","$209,400","$209,200","$209,100","$208,500","$208,600","$209,300","$210,800","$211,100","$211,700","$211,700","$212,700","$213,000","$213,700","$214,100","$214,300","$215,100","$215,500","$216,100","$216,200","$217,000","$217,600","$218,300","$218,500","$218,700","$219,100","$219,800","$220,900","$221,800","$222,700","$223,100","$223,600","$224,200","$225,000","$226,300","$227,500","$229,200","$230,600","$232,300","$233,400","$235,100","$236,600","$238,400","$239,600","$240,600","$241,600","$242,600","$243,800","$245,100","$246,300","$247,300","$247,800","$248,000","$248,100","$248,300","$249,200","$250,000","$250,700","$251,300","$251,700","$251,800","$252,300","$252,600","$253,500","$254,500","$255,600"
Amarillo Metro,metro,Many Bed,"$284,000","$284,800","$285,200","$285,500","$287,200","$289,000","$289,200","$287,900","$286,000","$285,200","$284,400","$283,400","$282,500","$281,800","$281,900","$281,900","$281,100","$280,300","$279,900","$280,300","$280,300","$280,500","$280,900","$281,600","$281,700","$281,400","$281,600","$281,800","$283,300","$284,400","$286,200","$286,700","$287,900","$288,200","$288,900","$289,500","$290,000","$291,300","$291,900","$293,600","$294,200","$295,000","$295,200","$296,100","$296,600","$297,500","$298,500","$299,100","$300,100","$300,800","$302,400","$303,100","$304,400","$305,000","$306,000","$306,800","$308,300","$309,300","$309,900","$310,400","$311,000","$312,100","$313,100","$313,900","$314,000","$314,400","$314,800","$315,600","$316,200","$317,300","$319,400","$322,300","$325,000","$326,100","$326,500","$327,100","$328,600","$329,900","$331,400","$332,600","$334,000","$334,800","$334,800","$334,000","$333,100","$332,600","$332,200","$331,800","$331,500","$331,900","$331,900","$332,400","$332,200","$332,500","$332,300","$333,000","$334,100","$336,000","$337,500","$338,600","$339,200","$339,300","$339,800","$340,300","$341,200","$341,800","$342,800","$343,000","$342,900","$342,500","$342,600","$343,000","$343,600","$344,400","$345,100","$345,700","$346,300","$347,100","$348,100","$349,400"
Anchorage Metro,metro,Many Bed,"$445,800","$446,800","$446,500","$446,600","$447,000","$447,500","$447,400","$446,300","$445,800","$444,100","$441,900","$437,800","$434,400","$432,100","$432,100","$432,500","$432,700","$432,600","$433,000","$433,600","$434,400","$435,500","$437,300","$440,000","$442,700","$445,000","$444,900","$444,300","$443,600","$444,300","$445,400","$446,400","$445,800","$446,400","$447,500","$449,500","$450,300","$451,300","$454,400","$457,100","$459,200","$459,600","$459,800","$460,900","$462,500","$463,200","$464,000","$464,600","$465,700","$465,300","$464,200","$464,700","$467,300","$470,200","$472,600","$472,900","$474,100","$475,200","$475,600","$476,100","$477,900","$481,900","$485,400","$487,100","$486,800","$486,200","$485,600","$486,800","$488,700","$491,100","$493,800","$494,800","$493,700","$490,900","$488,300","$486,600","$485,000","$484,600","$484,900","$486,000","$485,400","$484,700","$482,200","$480,600","$479,600","$480,100","$481,200","$481,900","$483,200","$484,300","$485,400","$484,900","$484,800","$484,400","$484,600","$484,400","$483,100","$483,800","$484,900","$487,100","$487,100","$485,800","$484,800","$484,500","$484,400","$483,900","$491,500","$498,600","$508,300","$509,900","$512,600","$514,300","$516,900","$519,700","$521,400","$522,500","$522,800","$522,700","$515,300","$507,400"
Ann Arbor Metro,metro,Many Bed,"$335,800","$338,100","$339,900","$340,900","$339,800","$340,700","$343,300","$344,900","$346,300","$344,900","$344,800","$343,600","$342,900","$341,000","$340,600","$341,200","$342,100","$340,400","$338,700","$338,000","$340,000","$343,300","$345,600","$347,700","$347,500","$346,800","$345,300","$344,700","$345,800","$348,600","$351,900","$356,300","$358,500","$358,200","$358,300","$360,200","$366,600","$373,700","$379,900","$384,300","$385,800","$387,800","$390,100","$392,800","$396,300","$400,700","$405,900","$409,800","$412,600","$412,100","$411,600","$412,200","$417,000","$421,500","$424,100","$424,700","$424,000","$425,800","$425,100","$426,000","$424,300","$427,800","$432,300","$437,100","$438,400","$438,200","$439,200","$440,600","$442,800","$444,700","$448,800","$451,300","$453,300","$453,500","$453,700","$453,100","$453,600","$453,900","$455,100","$457,000","$461,500","$464,600","$465,500","$464,700","$465,800","$469,300","$470,800","$473,100","$473,800","$477,800","$480,600","$484,300","$484,400","$484,400","$486,100","$489,500","$494,000","$493,500","$494,700","$495,200","$498,800","$502,900","$506,800","$508,700","$508,700","$509,600","$510,000","$510,900","$509,500","$511,200","$512,100","$513,200","$512,500","$509,700","$507,300","$505,500","$506,200","$506,300","$506,200","$504,800"
Appleton Metro,metro,Many Bed,"$207,600","$207,200","$207,100","$206,800","$206,500","$205,700","$204,800","$204,000","$203,300","$202,600","$201,600","$200,400","$199,100","$198,400","$197,800","$196,900","$196,400","$196,000","$196,000","$195,500","$195,000","$194,300","$193,400","$193,100","$192,700","$193,100","$193,000","$194,100","$194,400","$195,200","$195,700","$196,600","$197,300","$198,500","$200,300","$201,400","$202,400","$202,300","$202,700","$202,700","$203,500","$204,000","$204,800","$205,100","$205,500","$205,100","$204,100","$203,500","$203,400","$204,300","$205,400","$205,900","$206,200","$206,700","$207,200","$208,000","$208,600","$210,000","$211,800","$213,800","$215,100","$215,500","$215,100","$214,700","$214,200","$213,600","$213,100","$213,000","$213,900","$214,400","$214,900","$214,700","$215,000","$215,800","$216,800","$218,300","$220,000","$222,000","$224,100","$225,600","$225,700","$225,700","$226,000","$227,400","$228,700","$229,800","$231,800","$233,600","$235,100","$235,100","$234,500","$234,600","$236,300","$238,500","$240,900","$242,800","$244,200","$245,500","$246,100","$246,600","$247,100","$249,100","$251,400","$253,100","$253,600","$253,900","$253,800","$254,400","$255,500","$256,800","$258,000","$259,200","$260,500","$261,400","$262,400","$263,700","$265,500","$267,200","$269,100","$270,600"
Asheville Metro,metro,Many Bed,"$439,900","$437,100","$433,400","$430,900","$427,600","$425,400","$422,800","$422,200","$421,500","$420,500","$419,900","$419,200","$418,700","$417,400","$416,100","$414,300","$412,900","$411,600","$410,900","$408,800","$406,500","$404,400","$402,000","$400,600","$399,100","$399,200","$399,800","$401,000","$402,100","$403,100","$403,800","$405,000","$405,700","$406,900","$408,700","$409,900","$411,100","$411,600","$413,000","$414,500","$416,500","$418,600","$420,200","$421,300","$423,800","$426,400","$428,600","$430,900","$434,200","$437,300","$438,400","$438,500","$438,800","$439,800","$441,100","$442,400","$442,800","$444,800","$447,200","$449,400","$448,800","$449,000","$450,600","$453,200","$455,000","$455,100","$455,100","$455,200","$456,700","$455,600","$454,900","$455,000","$458,300","$461,400","$463,700","$465,700","$467,700","$471,000","$474,800","$479,200","$482,800","$487,100","$490,300","$493,000","$494,500","$495,400","$496,900","$498,900","$502,000","$504,900","$507,600","$510,400","$514,200","$518,300","$522,500","$525,500","$528,400","$531,100","$533,800","$535,300","$536,800","$537,800","$538,900","$540,000","$540,000","$539,600","$539,000","$539,000","$539,000","$538,900","$539,400","$540,500","$541,100","$541,900","$542,800","$543,500","$544,800","$546,300","$548,300","$550,500"
