United States Zillow Home Value Index - Middle Tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Middle Tier,"$175,500","$175,400","$175,100","$174,400","$173,600","$172,700","$171,700","$170,700","$169,700","$168,800","$167,800","$166,900","$165,900","$164,800","$163,900","$163,300","$162,900","$162,500","$162,200","$161,900","$161,500","$161,300","$161,200","$161,300","$161,500","$161,900","$162,300","$162,800","$163,300","$163,900","$164,600","$165,400","$166,200","$167,200","$168,200","$169,400","$170,500","$171,800","$173,100","$174,400","$175,700","$177,000","$178,200","$179,300","$180,400","$181,300","$182,200","$183,000","$183,600","$184,100","$184,700","$185,300","$185,800","$186,300","$186,900","$187,600","$188,300","$189,100","$189,800","$190,700","$191,600","$192,500","$193,300","$194,100","$194,900","$195,800","$196,700","$197,400","$198,300","$199,200","$200,200","$201,000","$201,900","$202,800","$203,800","$204,800","$205,800","$206,800","$207,900","$209,000","$210,000","$211,100","$212,100","$213,200","$214,400","$215,500","$216,700","$217,800","$218,900","$220,100","$221,300","$222,600","$223,900","$225,100","$226,300","$227,500","$228,800","$230,000","$231,100","$232,200","$233,200","$234,200","$235,100","$236,000","$236,900","$237,800","$238,500","$239,200","$239,700","$240,400","$241,100","$241,800","$242,600","$243,400","$244,200","$245,000","$245,900","$246,800","$247,800","$248,900"
Akron Metro,metro,Middle Tier,"$127,100","$127,300","$127,500","$127,800","$127,200","$126,300","$125,500","$124,500","$123,800","$123,200","$122,800","$122,500","$122,100","$121,000","$119,900","$118,800","$118,500","$118,000","$117,500","$117,000","$116,400","$115,700","$114,900","$114,600","$114,600","$114,600","$114,500","$114,400","$114,300","$114,400","$114,500","$114,800","$115,300","$116,100","$116,800","$117,000","$117,100","$117,500","$118,100","$118,900","$119,400","$119,800","$120,400","$120,800","$121,100","$120,900","$120,800","$120,500","$120,400","$120,000","$120,100","$120,000","$120,100","$120,100","$120,000","$120,000","$120,200","$120,200","$120,500","$120,900","$121,600","$122,400","$122,800","$123,300","$123,700","$124,200","$124,400","$124,600","$124,500","$125,300","$125,600","$126,100","$126,200","$126,600","$126,800","$127,300","$127,300","$127,700","$128,100","$128,700","$129,600","$130,600","$131,500","$132,000","$132,500","$132,800","$133,900","$134,200","$135,200","$135,900","$137,200","$138,200","$139,100","$138,800","$139,000","$139,600","$141,000","$141,700","$141,500","$141,700","$142,100","$143,000","$143,600","$144,300","$145,000","$146,000","$146,700","$147,200","$147,200","$147,500","$148,600","$149,600","$150,300","$150,800","$151,200","$151,700","$152,300","$153,200","$154,300","$155,400"
Albany-Schenectady-Troy Metro,metro,Middle Tier,"$190,400","$190,900","$191,500","$191,700","$191,300","$190,600","$189,700","$188,900","$187,900","$187,100","$186,600","$186,100","$185,400","$184,400","$183,300","$182,100","$181,500","$181,100","$180,800","$180,200","$179,900","$179,800","$179,500","$179,000","$178,500","$178,500","$178,500","$178,800","$178,900","$179,100","$179,500","$180,000","$180,500","$180,900","$181,600","$182,500","$183,300","$183,300","$183,200","$183,000","$183,200","$183,400","$183,500","$183,500","$183,100","$182,700","$182,100","$181,900","$181,500","$181,600","$181,800","$181,900","$181,700","$181,000","$180,400","$179,800","$179,900","$180,200","$180,500","$180,500","$180,500","$180,700","$180,900","$181,200","$181,700","$182,000","$182,300","$182,700","$183,000","$182,900","$182,700","$182,700","$183,200","$183,600","$183,800","$184,100","$184,300","$185,000","$185,600","$186,500","$187,100","$187,500","$187,800","$188,100","$188,300","$188,400","$189,000","$189,500","$190,200","$190,500","$191,100","$191,800","$192,600","$193,600","$194,700","$196,000","$197,100","$198,500","$199,600","$200,400","$201,600","$202,600","$203,200","$203,000","$202,700","$202,900","$203,700","$204,500","$204,900","$205,100","$205,200","$205,600","$205,700","$205,900","$206,200","$207,000","$207,800","$208,200","$208,000","$207,700"
Albuquerque Metro,metro,Middle Tier,"$183,100","$182,600","$181,800","$181,000","$180,300","$179,000","$177,300","$175,600","$174,300","$173,700","$173,300","$172,700","$171,700","$170,800","$170,000","$169,700","$168,900","$168,400","$168,000","$167,900","$167,500","$167,100","$166,600","$166,100","$165,900","$165,900","$165,900","$165,600","$166,000","$166,800","$167,300","$167,600","$167,400","$167,300","$167,500","$168,000","$168,900","$169,700","$170,500","$171,100","$171,800","$171,800","$172,300","$172,400","$173,300","$174,100","$174,800","$174,800","$174,300","$174,100","$173,800","$173,600","$173,300","$173,300","$173,600","$174,600","$175,000","$175,000","$174,600","$174,300","$174,500","$174,600","$175,100","$175,700","$176,500","$177,000","$176,700","$175,900","$175,400","$175,800","$176,900","$178,400","$179,200","$180,000","$180,300","$180,600","$180,500","$180,700","$181,600","$182,800","$184,100","$184,500","$184,600","$184,200","$184,500","$184,900","$185,800","$186,500","$187,500","$188,300","$188,500","$189,000","$189,100","$189,700","$190,400","$191,600","$192,600","$193,400","$193,800","$193,800","$194,000","$194,400","$195,700","$196,600","$197,800","$198,800","$199,600","$200,200","$200,800","$201,500","$202,600","$204,100","$205,400","$206,800","$207,600","$208,700","$209,900","$211,200","$212,800","$214,400"
Allentown-Bethlehem-Easton Metro,metro,Middle Tier,"$198,700","$199,500","$199,300","$198,900","$197,500","$196,000","$194,600","$193,500","$192,600","$191,600","$190,300","$188,500","$186,700","$185,200","$184,200","$183,000","$182,200","$181,400","$180,900","$179,800","$178,800","$178,100","$177,400","$176,600","$175,800","$174,900","$174,500","$174,500","$174,600","$174,800","$174,900","$175,300","$175,100","$175,000","$175,100","$175,900","$176,800","$177,600","$177,700","$177,800","$177,900","$178,400","$178,700","$178,800","$179,400","$180,000","$180,600","$180,600","$180,400","$180,100","$180,500","$180,800","$181,100","$180,600","$180,500","$180,500","$180,400","$180,200","$179,600","$179,500","$179,800","$180,800","$181,000","$181,100","$181,100","$181,600","$182,000","$182,300","$182,500","$182,700","$183,500","$183,900","$184,400","$184,500","$184,900","$185,300","$185,800","$186,100","$186,200","$186,700","$187,300","$188,100","$188,600","$189,200","$189,400","$189,700","$190,000","$190,500","$191,300","$192,100","$193,300","$194,200","$195,200","$195,900","$197,000","$198,000","$199,300","$200,400","$201,400","$202,300","$203,200","$204,000","$204,800","$205,400","$206,200","$206,700","$206,900","$207,200","$207,400","$208,000","$208,500","$209,000","$209,500","$209,900","$210,300","$210,900","$211,400","$212,100","$212,900","$213,900"
Amarillo Metro,metro,Middle Tier,"$115,400","$115,600","$115,500","$115,500","$115,600","$115,800","$115,500","$114,900","$114,200","$114,100","$113,900","$113,500","$113,100","$112,700","$112,700","$112,600","$112,400","$112,100","$111,900","$112,000","$111,800","$111,600","$111,500","$111,700","$111,800","$111,900","$112,000","$112,100","$112,500","$113,000","$113,600","$113,800","$114,300","$114,500","$114,700","$114,800","$114,900","$115,300","$115,500","$116,000","$116,300","$116,600","$116,800","$117,100","$117,400","$117,800","$118,300","$118,600","$119,000","$119,200","$119,600","$119,800","$120,100","$120,300","$120,500","$120,900","$121,400","$121,700","$121,800","$122,000","$122,300","$122,800","$123,200","$123,400","$123,700","$123,900","$124,200","$124,400","$124,600","$125,000","$125,700","$126,600","$127,400","$127,900","$128,300","$128,800","$129,200","$129,800","$130,300","$130,800","$131,300","$131,700","$132,000","$132,000","$131,900","$131,700","$131,900","$132,000","$132,200","$132,400","$132,600","$133,100","$133,500","$133,800","$133,900","$134,500","$135,100","$135,900","$136,500","$136,900","$137,400","$137,600","$138,000","$138,100","$138,500","$138,700","$139,200","$139,500","$139,700","$139,900","$140,100","$140,400","$140,700","$141,100","$141,400","$141,700","$141,900","$142,300","$142,600","$142,900"
Anchorage Metro,metro,Middle Tier,"$263,400","$264,100","$264,200","$264,400","$264,700","$264,900","$264,700","$263,900","$263,500","$262,600","$261,800","$260,300","$258,900","$257,800","$257,900","$258,200","$258,500","$258,600","$258,900","$259,200","$259,700","$260,500","$261,500","$262,700","$264,000","$265,100","$265,000","$264,600","$264,000","$264,200","$264,600","$265,200","$264,900","$265,300","$265,600","$266,800","$267,500","$268,500","$270,500","$272,400","$274,200","$275,400","$276,300","$277,300","$278,400","$278,900","$279,500","$280,100","$280,400","$280,000","$279,300","$279,800","$281,100","$282,400","$283,800","$284,200","$285,300","$286,200","$286,800","$287,100","$288,400","$290,600","$292,500","$293,100","$292,800","$292,300","$292,200","$292,700","$293,700","$295,000","$296,400","$297,000","$297,000","$296,000","$295,000","$294,500","$294,000","$294,100","$294,200","$294,600","$294,500","$294,200","$293,300","$292,800","$292,300","$292,700","$293,300","$294,000","$294,600","$295,300","$296,000","$295,800","$295,500","$295,200","$295,100","$294,900","$293,600","$293,800","$294,300","$296,300","$297,000","$296,700","$296,200","$295,600","$295,400","$295,400","$299,300","$303,200","$308,900","$310,300","$312,000","$312,400","$313,800","$315,400","$316,900","$318,500","$319,700","$320,300","$317,300","$313,900"
Ann Arbor Metro,metro,Middle Tier,"$178,400","$178,700","$178,700","$178,800","$178,800","$179,000","$179,800","$179,500","$179,400","$178,200","$177,700","$176,800","$176,100","$175,100","$174,700","$174,600","$174,300","$173,000","$172,000","$172,000","$173,000","$174,800","$176,100","$177,300","$177,700","$177,800","$177,800","$178,300","$179,000","$180,500","$182,000","$184,400","$185,700","$185,800","$185,700","$186,600","$189,600","$193,400","$196,600","$199,400","$201,100","$203,200","$205,300","$207,100","$209,000","$211,500","$214,500","$217,000","$219,000","$219,200","$219,400","$219,400","$221,100","$222,700","$223,700","$224,000","$224,000","$224,700","$224,300","$224,500","$224,100","$225,800","$228,100","$230,600","$231,800","$232,300","$233,200","$234,100","$235,500","$237,200","$239,700","$241,400","$242,300","$242,500","$242,700","$242,900","$243,700","$244,100","$244,900","$246,100","$248,800","$251,000","$252,300","$252,900","$254,300","$256,500","$257,800","$259,500","$260,600","$263,400","$265,600","$268,300","$268,900","$268,800","$269,600","$271,400","$274,300","$275,200","$276,900","$278,100","$280,400","$283,400","$286,400","$287,800","$288,300","$289,300","$290,500","$291,600","$291,400","$292,500","$293,200","$293,900","$294,000","$292,600","$291,500","$290,900","$291,700","$292,400","$292,600","$292,200"
Appleton Metro,metro,Middle Tier,"$140,900","$140,900","$140,700","$140,400","$140,100","$139,700","$139,100","$138,400","$137,900","$137,400","$136,300","$135,300","$134,200","$133,500","$133,000","$132,300","$131,800","$131,100","$130,600","$130,000","$129,500","$128,900","$128,500","$128,300","$128,100","$128,200","$128,200","$128,900","$129,200","$129,800","$130,200","$130,900","$131,200","$131,800","$132,700","$133,300","$133,800","$133,700","$134,000","$134,000","$134,800","$135,200","$135,800","$136,000","$136,500","$136,200","$135,600","$135,300","$135,400","$136,000","$136,600","$136,700","$136,600","$136,700","$137,000","$137,500","$137,900","$139,100","$140,500","$141,900","$142,800","$143,100","$143,000","$142,900","$142,700","$142,400","$142,200","$142,100","$142,600","$142,800","$143,100","$142,800","$143,000","$143,700","$144,400","$145,500","$146,600","$148,000","$149,500","$150,800","$151,200","$151,500","$151,900","$152,900","$153,900","$154,700","$156,300","$157,800","$159,100","$159,300","$159,000","$159,100","$160,100","$161,600","$163,200","$164,700","$165,700","$166,700","$167,100","$167,600","$168,100","$169,700","$171,400","$172,800","$173,300","$173,800","$173,900","$174,500","$175,400","$176,500","$177,500","$178,300","$179,200","$179,800","$180,600","$181,400","$182,600","$183,700","$185,100","$185,900"
Asheville Metro,metro,Middle Tier,"$201,900","$201,400","$200,600","$200,100","$199,300","$198,500","$197,700","$197,300","$196,900","$196,100","$195,500","$194,800","$194,200","$193,400","$192,800","$192,000","$191,300","$190,600","$190,000","$189,100","$188,200","$187,700","$187,200","$187,000","$186,700","$186,400","$186,100","$186,100","$186,400","$186,900","$187,300","$187,700","$187,900","$188,100","$188,400","$188,500","$188,700","$188,800","$189,300","$189,800","$190,300","$190,700","$191,300","$191,700","$192,500","$193,200","$194,000","$194,800","$196,100","$197,400","$198,300","$198,800","$199,300","$200,100","$201,100","$202,100","$202,700","$203,900","$205,000","$206,100","$206,400","$207,000","$208,000","$209,200","$210,100","$210,400","$210,700","$211,200","$212,200","$212,900","$213,900","$215,100","$216,800","$218,400","$220,000","$221,700","$223,500","$225,700","$227,800","$230,000","$231,900","$233,600","$235,100","$236,400","$237,700","$239,200","$240,400","$241,900","$243,600","$245,400","$247,400","$249,200","$251,300","$252,900","$254,700","$256,200","$258,000","$259,600","$261,100","$262,500","$263,600","$264,300","$265,100","$266,000","$266,900","$267,700","$268,600","$269,400","$270,100","$270,600","$271,400","$272,200","$273,000","$274,000","$274,800","$275,600","$276,300","$277,400","$278,300","$279,400"
