United States Zillow Home Value Index - One Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,One Bed,"$126,100","$125,700","$125,100","$124,300","$123,400","$122,400","$121,400","$120,300","$119,300","$118,400","$117,600","$116,700","$115,800","$114,900","$114,100","$113,500","$113,100","$112,700","$112,400","$112,100","$111,800","$111,600","$111,400","$111,400","$111,500","$111,800","$112,200","$112,600","$113,100","$113,600","$114,300","$114,900","$115,800","$116,700","$117,600","$118,700","$119,800","$121,000","$122,100","$123,300","$124,500","$125,700","$126,700","$127,700","$128,600","$129,500","$130,300","$131,000","$131,500","$132,000","$132,500","$133,000","$133,500","$133,900","$134,500","$135,100","$135,800","$136,300","$137,000","$137,700","$138,400","$139,200","$139,900","$140,500","$141,200","$141,900","$142,700","$143,300","$144,100","$144,900","$145,600","$146,300","$147,100","$147,800","$148,600","$149,400","$150,200","$151,000","$151,900","$152,800","$153,600","$154,400","$155,200","$156,000","$156,900","$157,900","$158,800","$159,800","$160,700","$161,700","$162,700","$163,700","$164,800","$165,800","$166,900","$168,000","$169,000","$170,000","$170,900","$171,700","$172,500","$173,300","$174,100","$174,800","$175,400","$175,900","$176,400","$176,700","$177,200","$177,700","$178,200","$178,700","$179,200","$179,700","$180,300","$180,800","$181,400","$182,100","$182,800","$183,600"
Akron Metro,metro,One Bed,"$59,700","$59,900","$60,000","$59,800","$59,100","$58,200","$57,500","$56,700","$55,900","$55,400","$54,900","$55,000","$54,700","$54,100","$53,500","$53,100","$52,900","$52,300","$51,500","$51,200","$51,300","$51,600","$51,700","$51,200","$51,000","$50,200","$49,700","$49,000","$48,800","$48,800","$48,900","$48,900","$48,400","$48,000","$47,800","$47,900","$47,900","$48,400","$48,700","$49,300","$49,400","$49,700","$50,000","$50,300","$50,800","$50,800","$50,800","$50,600","$50,600","$50,700","$50,900","$50,900","$51,000","$50,700","$50,500","$50,100","$49,800","$49,500","$49,400","$49,200","$48,900","$48,700","$48,400","$48,500","$48,600","$48,900","$48,800","$49,100","$49,000","$49,400","$49,400","$49,800","$50,000","$50,200","$50,300","$50,100","$49,900","$50,000","$50,300","$50,500","$50,900","$51,400","$51,900","$52,300","$52,600","$53,100","$53,700","$54,200","$54,800","$55,100","$55,700","$56,300","$56,900","$56,800","$56,900","$57,100","$57,600","$57,900","$58,000","$58,200","$58,500","$59,000","$59,500","$59,900","$60,400","$60,900","$61,300","$61,500","$61,400","$61,400","$61,800","$62,100","$62,400","$62,700","$62,700","$62,900","$63,100","$63,500","$64,000","$64,700"
Albany-Schenectady-Troy Metro,metro,One Bed,"$131,300","$131,400","$131,800","$131,900","$131,700","$131,000","$130,100","$129,300","$128,400","$127,700","$127,300","$126,800","$126,500","$126,100","$125,000","$123,600","$122,600","$122,600","$122,800","$122,500","$122,200","$122,000","$122,000","$121,800","$121,400","$121,100","$120,700","$120,900","$120,900","$120,800","$120,600","$120,800","$121,300","$121,600","$121,700","$121,700","$122,000","$122,100","$122,300","$122,500","$122,600","$122,700","$122,400","$122,300","$121,900","$122,000","$122,200","$122,600","$122,700","$122,600","$122,900","$122,700","$122,600","$122,100","$122,000","$121,600","$121,500","$121,100","$120,700","$120,300","$120,000","$120,000","$119,900","$119,900","$120,100","$120,400","$120,600","$120,700","$120,800","$120,900","$121,000","$120,800","$120,500","$120,200","$120,000","$120,100","$119,900","$120,300","$120,500","$121,200","$121,400","$121,000","$120,400","$120,300","$120,600","$121,100","$121,900","$122,500","$122,900","$122,800","$122,600","$122,300","$122,300","$123,000","$124,200","$124,900","$125,700","$126,300","$127,000","$127,200","$127,700","$128,500","$129,400","$130,100","$131,000","$132,000","$132,800","$133,500","$134,000","$134,300","$134,500","$135,100","$135,400","$135,700","$136,000","$136,200","$136,100","$135,700","$135,100","$134,600"
Albuquerque Metro,metro,One Bed,"$126,300","$126,100","$125,100","$124,500","$124,100","$123,600","$122,700","$121,400","$120,700","$120,900","$121,800","$122,000","$121,600","$120,800","$120,500","$120,200","$119,400","$118,600","$118,400","$118,500","$118,100","$117,100","$115,700","$115,000","$115,000","$115,500","$115,600","$115,700","$116,100","$116,800","$117,000","$117,400","$117,800","$119,500","$121,000","$122,400","$122,700","$122,600","$122,800","$122,800","$123,100","$122,500","$122,500","$122,400","$122,500","$121,000","$119,200","$117,600","$117,200","$117,400","$117,500","$117,700","$117,500","$117,800","$118,500","$119,300","$119,600","$119,800","$119,900","$120,200","$120,300","$120,100","$120,000","$120,000","$120,700","$121,400","$120,800","$119,500","$118,500","$118,800","$119,600","$120,200","$120,200","$120,100","$119,900","$120,100","$119,500","$119,100","$119,300","$120,400","$121,700","$122,000","$122,300","$122,000","$122,400","$122,800","$123,700","$124,300","$125,100","$125,400","$125,700","$125,800","$125,600","$125,500","$125,500","$126,300","$126,800","$127,300","$126,900","$126,100","$125,700","$126,100","$127,900","$129,600","$131,300","$132,600","$133,700","$134,000","$134,200","$134,700","$135,900","$137,600","$139,100","$140,200","$140,100","$140,100","$140,300","$141,000","$142,000","$143,300"
Allentown-Bethlehem-Easton Metro,metro,One Bed,"$131,500","$131,700","$131,700","$131,500","$130,500","$129,200","$128,100","$127,400","$126,600","$125,900","$124,800","$123,800","$122,500","$121,600","$120,700","$119,800","$118,900","$118,100","$117,400","$116,500","$115,700","$115,000","$114,400","$113,700","$113,200","$112,400","$111,700","$111,300","$111,400","$111,700","$111,800","$111,800","$111,800","$111,600","$111,800","$112,000","$112,200","$112,600","$112,700","$112,800","$112,700","$112,800","$112,900","$113,100","$113,400","$113,800","$114,100","$114,300","$114,100","$113,800","$114,300","$114,900","$115,400","$115,100","$115,100","$115,000","$114,800","$114,500","$114,000","$113,800","$114,500","$115,200","$115,300","$114,900","$114,400","$114,600","$114,600","$114,800","$115,200","$115,700","$116,200","$116,300","$116,300","$116,400","$116,700","$117,200","$118,000","$118,600","$119,000","$119,200","$119,300","$119,400","$119,400","$119,700","$119,800","$119,900","$120,100","$120,500","$120,900","$121,300","$122,100","$122,600","$123,400","$124,100","$125,200","$126,100","$127,100","$127,900","$128,700","$129,100","$129,300","$129,600","$129,800","$130,200","$130,600","$131,100","$131,500","$131,900","$132,200","$132,600","$133,100","$133,700","$134,300","$135,000","$135,600","$136,100","$136,500","$136,900","$137,200","$137,600"
Amarillo Metro,metro,One Bed,"$47,800","$48,500","$48,800","$48,700","$48,600","$48,700","$48,900","$48,900","$48,900","$48,800","$48,700","$48,300","$48,000","$47,700","$47,600","$47,600","$47,600","$47,700","$47,600","$47,600","$47,300","$46,900","$46,700","$46,700","$46,800","$47,000","$47,200","$47,400","$47,700","$47,900","$48,000","$48,100","$48,300","$48,500","$48,700","$48,800","$48,700","$48,900","$48,800","$48,800","$48,800","$48,900","$49,200","$49,600","$49,800","$50,100","$50,400","$50,700","$50,900","$50,700","$51,100","$51,500","$51,900","$51,900","$51,500","$51,400","$51,400","$51,200","$50,700","$50,200","$50,200","$50,600","$50,600","$50,400","$49,800","$49,300","$49,200","$49,200","$49,200","$49,000","$49,200","$49,600","$50,100","$50,200","$49,900","$49,600","$49,800","$50,600","$51,000","$50,900","$50,700","$51,100","$51,600","$51,900","$51,400","$50,800","$50,500","$50,900","$51,200","$51,300","$51,400","$51,900","$52,100","$51,900","$51,500","$51,100","$51,300","$51,800","$52,500","$52,500","$52,500","$52,200","$52,800","$53,200","$54,300","$54,900","$55,000","$54,500","$53,800","$53,400","$53,100","$53,000","$52,900","$53,100","$52,800","$52,600","$52,200","$52,200","$52,800","$54,000"
Anchorage Metro,metro,One Bed,"$134,300","$134,800","$135,100","$135,400","$136,600","$136,800","$136,500","$135,400","$135,500","$135,700","$136,100","$135,400","$134,400","$133,500","$133,400","$133,800","$133,700","$133,900","$134,200","$134,700","$134,900","$134,900","$135,200","$135,500","$136,200","$136,500","$135,900","$134,800","$133,700","$132,900","$132,100","$131,900","$131,200","$131,100","$130,500","$130,700","$130,700","$131,000","$131,800","$132,900","$133,900","$134,900","$136,400","$137,700","$139,000","$139,200","$139,600","$139,800","$139,900","$140,200","$140,200","$141,100","$142,100","$142,700","$142,500","$141,600","$141,300","$141,600","$142,200","$142,300","$142,800","$143,400","$144,300","$144,100","$143,700","$143,000","$142,700","$142,500","$142,500","$142,200","$142,200","$142,400","$142,600","$142,300","$141,700","$141,300","$141,000","$141,200","$141,200","$141,700","$141,700","$141,800","$141,300","$141,100","$140,700","$140,800","$140,600","$140,600","$140,600","$140,900","$141,100","$141,000","$141,000","$141,000","$141,100","$140,500","$139,600","$139,100","$139,100","$139,700","$139,900","$139,800","$139,600","$139,000","$138,500","$137,600","$138,500","$139,900","$142,500","$143,400","$144,200","$144,600","$145,100","$145,500","$146,000","$146,700","$147,300","$148,200","$147,500","$146,500"
Ann Arbor Metro,metro,One Bed,"$106,800","$108,300","$108,400","$107,600","$106,300","$105,000","$104,200","$103,600","$103,300","$103,200","$104,000","$104,400","$105,000","$105,100","$104,900","$105,000","$105,500","$106,900","$108,600","$110,400","$112,400","$114,800","$116,600","$117,300","$116,900","$115,900","$115,700","$115,700","$115,700","$115,500","$114,900","$114,900","$115,200","$115,300","$115,700","$117,200","$119,700","$123,100","$125,800","$128,200","$129,000","$129,800","$131,100","$132,900","$134,500","$135,700","$136,900","$137,600","$138,700","$138,900","$139,800","$140,400","$142,400","$144,400","$145,500","$145,300","$144,200","$144,500","$145,000","$146,400","$146,400","$147,100","$148,400","$150,400","$151,500","$151,200","$151,500","$152,400","$154,600","$156,500","$158,500","$159,200","$159,600","$159,900","$160,100","$159,700","$160,200","$161,000","$163,000","$164,700","$167,000","$168,800","$170,100","$171,100","$172,000","$174,100","$174,700","$176,100","$177,000","$179,400","$180,600","$182,400","$182,800","$182,700","$182,400","$183,400","$186,100","$186,900","$187,600","$188,200","$189,800","$192,500","$195,200","$196,800","$197,900","$199,000","$200,100","$200,500","$200,000","$200,600","$202,000","$203,100","$203,500","$202,300","$201,500","$201,300","$202,000","$203,100","$204,400","$205,700"
Appleton Metro,metro,One Bed,"$76,900","$76,100","$75,300","$73,800","$72,500","$71,700","$71,100","$70,500","$69,000","$67,600","$66,000","$65,300","$64,400","$63,800","$62,700","$62,200","$61,700","$61,700","$61,400","$61,100","$61,500","$62,100","$62,600","$62,200","$61,900","$62,200","$62,600","$63,700","$65,100","$66,300","$67,000","$67,000","$66,800","$66,400","$66,600","$67,500","$68,400","$68,900","$69,500","$69,400","$68,300","$66,800","$65,600","$66,000","$66,300","$66,600","$66,200","$65,400","$64,800","$64,000","$63,400","$63,100","$63,800","$65,100","$66,500","$67,100","$67,500","$68,300","$69,600","$71,100","$71,800","$72,800","$73,600","$74,300","$74,100","$73,600","$73,600","$73,700","$73,900","$73,200","$72,500","$71,600","$71,800","$71,900","$71,700","$71,500","$71,500","$71,900","$72,000","$71,900","$71,700","$72,100","$72,600","$73,800","$74,700","$75,500","$76,200","$77,000","$78,100","$78,300","$78,400","$78,800","$80,200","$81,800","$83,200","$83,800","$84,200","$84,600","$85,400","$86,100","$86,300","$86,700","$87,700","$89,200","$89,600","$89,800","$89,400","$89,700","$90,000","$90,700","$91,100","$91,500","$92,200","$93,100","$93,800","$93,900","$94,500","$95,000","$96,300","$97,300"
Asheville Metro,metro,One Bed,"$144,200","$143,200","$142,000","$141,300","$140,900","$140,200","$139,200","$138,100","$137,200","$136,900","$137,000","$137,000","$136,500","$136,200","$136,300","$136,000","$134,900","$133,800","$133,000","$132,200","$131,200","$130,500","$129,600","$128,900","$128,400","$128,000","$127,300","$127,500","$128,100","$128,800","$128,900","$129,100","$129,200","$129,300","$129,300","$129,500","$129,600","$130,000","$130,500","$130,300","$130,000","$129,800","$130,400","$130,700","$131,400","$131,700","$132,200","$132,600","$133,300","$133,800","$134,000","$134,000","$134,100","$134,400","$134,600","$135,100","$135,300","$136,700","$137,900","$138,900","$139,200","$139,700","$140,800","$141,700","$142,600","$142,600","$142,800","$143,100","$143,700","$143,800","$144,300","$145,700","$147,500","$149,400","$150,700","$152,400","$153,600","$155,100","$156,600","$158,700","$160,800","$162,300","$162,800","$162,300","$162,200","$162,100","$162,200","$163,400","$165,500","$168,100","$169,900","$170,800","$171,800","$172,400","$174,000","$175,600","$177,500","$179,000","$180,500","$180,900","$181,200","$181,200","$182,100","$182,700","$183,100","$183,300","$183,900","$184,800","$185,800","$186,800","$187,700","$188,900","$189,900","$190,800","$191,400","$192,800","$194,200","$196,300","$197,700","$199,200"
