United States Zillow Home Value Index - Single Fam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Single Fam,"$174,200","$174,200","$173,900","$173,300","$172,500","$171,600","$170,700","$169,700","$168,700","$167,800","$166,900","$165,900","$164,900","$163,900","$163,000","$162,500","$162,000","$161,700","$161,400","$161,100","$160,800","$160,600","$160,400","$160,500","$160,800","$161,100","$161,500","$162,000","$162,500","$163,100","$163,800","$164,500","$165,400","$166,300","$167,300","$168,400","$169,500","$170,700","$172,000","$173,300","$174,500","$175,800","$177,000","$178,000","$179,000","$180,000","$180,900","$181,600","$182,200","$182,700","$183,300","$183,900","$184,400","$184,900","$185,400","$186,100","$186,900","$187,600","$188,300","$189,100","$190,000","$190,900","$191,700","$192,500","$193,300","$194,200","$195,000","$195,800","$196,600","$197,600","$198,500","$199,300","$200,200","$201,100","$202,100","$203,100","$204,100","$205,100","$206,100","$207,200","$208,300","$209,300","$210,400","$211,500","$212,600","$213,800","$214,900","$216,000","$217,100","$218,300","$219,500","$220,800","$222,100","$223,300","$224,500","$225,700","$226,900","$228,100","$229,200","$230,300","$231,300","$232,300","$233,300","$234,200","$235,100","$235,900","$236,700","$237,400","$238,000","$238,600","$239,300","$240,100","$240,900","$241,700","$242,500","$243,400","$244,200","$245,100","$246,100","$247,200"
Akron Metro,metro,Single Fam,"$127,100","$127,300","$127,600","$127,800","$127,200","$126,300","$125,400","$124,500","$123,700","$123,100","$122,700","$122,300","$121,900","$120,800","$119,700","$118,600","$118,300","$117,800","$117,300","$116,800","$116,200","$115,500","$114,700","$114,500","$114,500","$114,500","$114,400","$114,300","$114,300","$114,400","$114,500","$114,800","$115,300","$116,100","$116,700","$117,000","$117,000","$117,500","$118,100","$118,800","$119,300","$119,700","$120,300","$120,700","$121,000","$120,900","$120,700","$120,500","$120,300","$119,900","$120,000","$119,900","$120,000","$120,000","$119,900","$119,800","$120,000","$119,900","$120,200","$120,600","$121,300","$122,100","$122,500","$123,000","$123,400","$124,000","$124,100","$124,300","$124,300","$125,000","$125,300","$125,900","$126,000","$126,400","$126,600","$127,000","$127,100","$127,500","$127,900","$128,600","$129,400","$130,500","$131,400","$131,900","$132,400","$132,800","$133,800","$134,200","$135,200","$135,800","$137,200","$138,200","$139,100","$138,800","$139,000","$139,500","$140,900","$141,600","$141,300","$141,500","$142,000","$142,900","$143,500","$144,200","$144,900","$145,900","$146,600","$147,100","$147,200","$147,500","$148,600","$149,600","$150,300","$150,700","$151,200","$151,600","$152,200","$153,100","$154,200","$155,300"
Albany-Schenectady-Troy Metro,metro,Single Fam,"$190,500","$191,000","$191,600","$191,800","$191,300","$190,700","$189,800","$189,000","$188,000","$187,200","$186,700","$186,200","$185,500","$184,500","$183,400","$182,200","$181,600","$181,200","$180,900","$180,300","$180,000","$179,900","$179,600","$179,100","$178,700","$178,700","$178,700","$178,900","$179,000","$179,300","$179,700","$180,200","$180,600","$181,100","$181,800","$182,600","$183,400","$183,500","$183,300","$183,200","$183,400","$183,600","$183,700","$183,700","$183,300","$182,900","$182,300","$182,100","$181,700","$181,800","$182,000","$182,100","$181,900","$181,200","$180,600","$180,000","$180,100","$180,400","$180,700","$180,700","$180,700","$180,900","$181,100","$181,400","$181,900","$182,200","$182,500","$183,000","$183,200","$183,100","$182,900","$182,900","$183,400","$183,800","$184,000","$184,400","$184,500","$185,200","$185,900","$186,800","$187,300","$187,800","$188,100","$188,400","$188,600","$188,700","$189,300","$189,900","$190,500","$190,800","$191,500","$192,200","$193,000","$193,900","$195,100","$196,300","$197,500","$198,800","$199,900","$200,800","$201,900","$202,900","$203,600","$203,300","$203,100","$203,300","$204,000","$204,800","$205,200","$205,400","$205,500","$205,900","$206,000","$206,200","$206,500","$207,300","$208,100","$208,500","$208,400","$208,100"
Albuquerque Metro,metro,Single Fam,"$184,200","$183,700","$182,900","$182,100","$181,400","$180,100","$178,500","$176,700","$175,400","$174,800","$174,400","$173,900","$172,900","$171,900","$171,100","$170,900","$170,000","$169,500","$169,100","$169,000","$168,600","$168,200","$167,700","$167,200","$167,000","$167,000","$167,000","$166,700","$167,100","$167,900","$168,400","$168,700","$168,500","$168,500","$168,600","$169,100","$170,100","$170,800","$171,600","$172,300","$173,000","$173,000","$173,500","$173,600","$174,500","$175,400","$176,100","$176,100","$175,700","$175,400","$175,100","$175,000","$174,600","$174,700","$175,000","$175,900","$176,400","$176,300","$175,900","$175,700","$175,900","$176,000","$176,400","$177,100","$177,900","$178,300","$178,100","$177,200","$176,800","$177,200","$178,300","$179,800","$180,600","$181,400","$181,700","$182,100","$182,000","$182,200","$183,000","$184,300","$185,600","$185,900","$186,100","$185,600","$186,000","$186,400","$187,200","$188,000","$188,900","$189,800","$190,000","$190,500","$190,600","$191,200","$191,900","$193,100","$194,100","$194,900","$195,300","$195,300","$195,600","$195,900","$197,300","$198,200","$199,400","$200,300","$201,100","$201,800","$202,300","$203,100","$204,200","$205,700","$207,000","$208,400","$209,300","$210,400","$211,500","$212,900","$214,500","$216,200"
Allentown-Bethlehem-Easton Metro,metro,Single Fam,"$199,300","$200,100","$199,900","$199,500","$198,100","$196,600","$195,100","$194,100","$193,200","$192,200","$190,800","$189,000","$187,300","$185,800","$184,800","$183,500","$182,800","$182,000","$181,400","$180,400","$179,400","$178,700","$178,000","$177,100","$176,300","$175,500","$175,100","$175,100","$175,200","$175,400","$175,400","$175,800","$175,700","$175,500","$175,700","$176,500","$177,400","$178,100","$178,300","$178,300","$178,500","$179,000","$179,300","$179,400","$180,000","$180,600","$181,100","$181,200","$180,900","$180,600","$181,000","$181,400","$181,700","$181,200","$181,100","$181,000","$180,900","$180,700","$180,200","$180,100","$180,400","$181,300","$181,600","$181,700","$181,700","$182,200","$182,600","$182,900","$183,100","$183,400","$184,100","$184,600","$185,100","$185,200","$185,600","$186,000","$186,500","$186,800","$186,900","$187,400","$188,000","$188,800","$189,300","$189,900","$190,200","$190,400","$190,700","$191,200","$192,000","$192,900","$194,100","$195,000","$196,000","$196,700","$197,900","$198,800","$200,200","$201,300","$202,300","$203,200","$204,100","$204,900","$205,700","$206,300","$207,100","$207,700","$207,900","$208,100","$208,300","$208,900","$209,400","$210,000","$210,400","$210,900","$211,300","$211,900","$212,300","$213,100","$213,900","$214,900"
Amarillo Metro,metro,Single Fam,"$115,300","$115,500","$115,400","$115,400","$115,500","$115,800","$115,400","$114,800","$114,200","$114,000","$113,800","$113,500","$113,100","$112,700","$112,600","$112,500","$112,300","$112,000","$111,900","$112,000","$111,700","$111,500","$111,400","$111,600","$111,700","$111,800","$111,900","$112,000","$112,500","$112,900","$113,500","$113,700","$114,200","$114,400","$114,600","$114,700","$114,800","$115,200","$115,400","$115,900","$116,300","$116,600","$116,800","$117,100","$117,400","$117,800","$118,200","$118,600","$119,000","$119,100","$119,500","$119,800","$120,000","$120,200","$120,400","$120,900","$121,300","$121,600","$121,700","$121,900","$122,200","$122,700","$123,100","$123,400","$123,600","$123,900","$124,200","$124,300","$124,500","$124,900","$125,700","$126,500","$127,300","$127,900","$128,300","$128,700","$129,200","$129,700","$130,300","$130,800","$131,200","$131,700","$131,900","$131,900","$131,800","$131,700","$131,800","$131,900","$132,100","$132,300","$132,600","$133,100","$133,400","$133,700","$133,900","$134,400","$135,100","$135,900","$136,500","$136,900","$137,300","$137,500","$137,900","$138,100","$138,400","$138,700","$139,100","$139,400","$139,600","$139,800","$140,000","$140,300","$140,600","$141,000","$141,300","$141,600","$141,900","$142,200","$142,500","$142,800"
Anchorage Metro,metro,Single Fam,"$277,100","$277,700","$277,800","$278,000","$278,300","$278,600","$278,500","$277,800","$277,400","$276,400","$275,700","$274,200","$272,800","$271,800","$272,000","$272,400","$272,800","$272,800","$273,100","$273,400","$273,900","$274,800","$275,900","$277,300","$278,600","$279,800","$279,800","$279,500","$278,900","$279,100","$279,700","$280,400","$280,300","$280,600","$280,900","$282,100","$283,000","$284,200","$286,400","$288,500","$290,600","$291,900","$292,900","$294,000","$295,200","$295,700","$296,500","$297,000","$297,400","$296,800","$296,000","$296,400","$297,800","$299,300","$300,800","$301,300","$302,500","$303,500","$304,200","$304,800","$306,200","$308,600","$310,700","$311,300","$311,100","$310,600","$310,400","$311,000","$312,000","$313,400","$314,800","$315,500","$315,300","$314,300","$313,300","$312,800","$312,300","$312,400","$312,400","$313,000","$312,900","$312,600","$311,800","$311,300","$310,700","$311,200","$311,900","$312,600","$313,200","$313,900","$314,800","$314,600","$314,400","$314,000","$314,000","$313,700","$312,400","$312,700","$313,400","$315,400","$316,200","$315,900","$315,300","$314,700","$314,400","$314,600","$319,000","$323,300","$329,400","$330,800","$332,700","$333,300","$334,800","$336,600","$338,300","$340,100","$341,200","$341,800","$338,500","$334,800"
Ann Arbor Metro,metro,Single Fam,"$181,500","$181,800","$181,900","$182,000","$182,000","$182,200","$183,100","$182,900","$182,900","$181,600","$181,100","$180,300","$179,600","$178,700","$178,400","$178,300","$178,100","$176,800","$175,800","$175,700","$176,700","$178,400","$179,600","$180,800","$181,200","$181,300","$181,300","$181,700","$182,400","$184,100","$185,700","$188,100","$189,500","$189,500","$189,500","$190,400","$193,400","$197,200","$200,400","$203,200","$204,900","$206,800","$208,800","$210,600","$212,500","$215,100","$218,100","$220,700","$222,700","$222,900","$223,000","$223,000","$224,800","$226,400","$227,400","$227,800","$227,700","$228,400","$228,100","$228,300","$227,800","$229,500","$231,800","$234,400","$235,600","$236,100","$237,100","$238,000","$239,400","$241,100","$243,700","$245,400","$246,200","$246,400","$246,700","$246,900","$247,700","$248,200","$249,000","$250,200","$252,900","$255,100","$256,500","$257,100","$258,600","$260,900","$262,200","$264,000","$265,100","$267,900","$270,100","$272,900","$273,400","$273,400","$274,100","$275,900","$278,800","$279,700","$281,400","$282,600","$285,000","$288,100","$291,100","$292,600","$293,000","$294,100","$295,200","$296,400","$296,300","$297,400","$298,100","$298,800","$298,900","$297,500","$296,300","$295,800","$296,700","$297,400","$297,600","$297,200"
Appleton Metro,metro,Single Fam,"$140,900","$140,900","$140,700","$140,400","$140,100","$139,700","$139,100","$138,500","$137,900","$137,400","$136,400","$135,400","$134,200","$133,600","$133,000","$132,300","$131,800","$131,200","$130,700","$130,100","$129,600","$129,000","$128,600","$128,300","$128,100","$128,200","$128,200","$129,000","$129,200","$129,900","$130,300","$130,900","$131,300","$131,900","$132,800","$133,400","$133,800","$133,700","$134,000","$134,100","$134,800","$135,200","$135,800","$136,100","$136,500","$136,300","$135,600","$135,300","$135,400","$136,000","$136,600","$136,700","$136,600","$136,700","$137,000","$137,600","$138,000","$139,100","$140,500","$142,000","$142,800","$143,200","$143,000","$142,900","$142,800","$142,500","$142,200","$142,100","$142,600","$142,800","$143,100","$142,800","$143,000","$143,700","$144,400","$145,500","$146,600","$148,100","$149,500","$150,900","$151,300","$151,600","$152,000","$153,000","$154,000","$154,800","$156,400","$157,900","$159,200","$159,400","$159,100","$159,200","$160,200","$161,700","$163,200","$164,700","$165,700","$166,800","$167,200","$167,700","$168,200","$169,800","$171,500","$172,900","$173,400","$173,900","$174,000","$174,600","$175,500","$176,600","$177,600","$178,400","$179,300","$179,900","$180,700","$181,500","$182,700","$183,800","$185,100","$186,000"
Asheville Metro,metro,Single Fam,"$204,000","$203,600","$202,700","$202,200","$201,300","$200,600","$199,800","$199,300","$198,900","$198,100","$197,500","$196,800","$196,200","$195,300","$194,700","$193,900","$193,200","$192,500","$191,800","$191,000","$190,000","$189,500","$189,100","$188,900","$188,500","$188,300","$188,000","$188,000","$188,300","$188,700","$189,100","$189,500","$189,800","$190,000","$190,400","$190,500","$190,600","$190,800","$191,300","$191,800","$192,300","$192,800","$193,400","$193,900","$194,700","$195,500","$196,200","$197,100","$198,400","$199,700","$200,600","$201,100","$201,600","$202,500","$203,400","$204,400","$205,000","$206,200","$207,300","$208,400","$208,700","$209,300","$210,300","$211,600","$212,500","$212,800","$213,100","$213,500","$214,600","$215,300","$216,200","$217,400","$219,100","$220,700","$222,300","$224,000","$225,900","$228,000","$230,200","$232,400","$234,300","$236,100","$237,600","$239,000","$240,300","$241,800","$243,000","$244,500","$246,200","$248,000","$250,000","$251,800","$253,900","$255,500","$257,300","$258,800","$260,500","$262,100","$263,700","$265,100","$266,100","$266,900","$267,700","$268,500","$269,400","$270,200","$271,100","$271,900","$272,600","$273,100","$273,900","$274,700","$275,500","$276,500","$277,300","$278,100","$278,900","$279,900","$280,900","$282,000"
