United States Zillow Home Value Index - Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Studio,"$160,900","$160,700","$160,300","$159,800","$159,200","$158,600","$158,000","$157,300","$156,500","$155,700","$154,900","$154,200","$153,500","$152,900","$152,400","$152,200","$152,100","$152,100","$151,900","$151,800","$151,700","$151,700","$151,700","$151,800","$151,900","$152,300","$152,700","$153,200","$153,500","$153,700","$154,000","$154,500","$154,900","$155,500","$156,100","$156,700","$157,300","$157,900","$158,500","$159,000","$159,800","$160,600","$161,400","$162,100","$162,800","$163,400","$164,100","$164,700","$165,300","$165,800","$166,400","$166,900","$167,400","$167,900","$168,400","$169,000","$169,600","$170,100","$170,700","$171,300","$171,900","$172,500","$173,100","$173,700","$174,300","$174,900","$175,500","$176,000","$176,600","$177,300","$178,000","$178,600","$179,300","$180,100","$180,800","$181,600","$182,300","$183,100","$183,900","$184,800","$185,600","$186,500","$187,300","$188,100","$189,000","$189,900","$190,800","$191,700","$192,600","$193,600","$194,600","$195,700","$196,700","$197,600","$198,500","$199,500","$200,600","$201,600","$202,500","$203,400","$204,300","$205,100","$206,000","$206,700","$207,500","$208,200","$208,900","$209,600","$210,200","$210,900","$211,500","$212,300","$213,000","$213,700","$214,300","$215,100","$215,800","$216,700","$217,500","$218,300"
Akron Metro,metro,Studio,"$59,200","$58,900","$59,100","$58,900","$58,300","$57,100","$57,000","$56,200","$56,200","$56,000","$56,500","$56,800","$57,200","$56,800","$56,400","$56,100","$56,000","$56,000","$55,800","$56,200","$56,300","$56,400","$56,100","$56,400","$57,000","$57,600","$57,900","$58,000","$58,300","$58,700","$58,700","$59,000","$59,100","$59,900","$60,700","$61,600","$61,700","$62,400","$62,700","$63,700","$64,300","$64,700","$65,400","$65,700","$66,100","$65,800","$65,700","$65,400","$65,800","$65,800","$65,800","$65,500","$65,300","$65,300","$64,900","$64,700","$64,700","$65,200","$65,900","$66,500","$66,400","$66,400","$67,100","$68,100","$69,800","$71,300","$72,600","$73,800","$74,300","$74,600","$74,100","$73,400","$73,500","$74,000","$74,300","$74,200","$73,100","$72,400","$72,100","$72,500","$73,200","$73,800","$74,700","$75,700","$76,300","$77,000","$77,500","$78,300","$79,500","$80,500","$81,900","$83,000","$84,000","$85,100","$85,700","$86,200","$86,900","$87,700","$88,300","$88,200","$88,300","$88,800","$90,000","$90,100","$90,200","$89,500","$90,200","$91,300","$92,500","$93,000","$93,700","$94,800","$95,700","$96,300","$95,900","$96,300","$96,600","$97,500","$97,400","$96,900"
Albany-Schenectady-Troy Metro,metro,Studio,"$143,100","$143,600","$144,200","$144,800","$144,600","$144,300","$144,300","$143,800","$143,300","$142,400","$141,800","$141,200","$140,700","$139,900","$138,800","$137,400","$136,900","$137,000","$136,900","$136,400","$135,900","$136,200","$136,100","$135,800","$135,300","$135,100","$134,800","$135,000","$134,900","$135,000","$135,300","$135,800","$136,200","$136,100","$136,600","$137,000","$137,900","$138,400","$138,900","$139,100","$138,900","$138,400","$137,800","$138,000","$138,000","$137,800","$137,200","$136,800","$136,400","$136,200","$136,300","$136,300","$136,700","$136,500","$136,100","$135,300","$135,200","$135,600","$136,300","$136,800","$137,000","$137,100","$137,000","$137,200","$137,700","$138,300","$138,900","$139,000","$139,100","$138,900","$138,600","$138,200","$138,200","$138,900","$139,100","$139,500","$139,300","$139,700","$140,200","$141,300","$141,700","$141,400","$140,800","$140,700","$140,700","$140,400","$140,500","$140,700","$140,800","$140,800","$140,900","$141,200","$141,700","$142,900","$144,700","$146,000","$146,800","$147,400","$148,200","$148,800","$150,100","$151,300","$152,100","$152,300","$152,600","$153,300","$154,200","$155,100","$155,900","$156,700","$157,500","$158,300","$158,800","$159,100","$159,700","$160,500","$161,200","$161,400","$161,100","$160,900"
Albuquerque Metro,metro,Studio,"$146,500","$145,900","$144,800","$144,100","$144,000","$143,200","$141,800","$140,300","$139,200","$138,600","$137,800","$137,100","$136,700","$136,200","$136,500","$136,700","$136,200","$135,800","$135,800","$136,100","$135,800","$135,000","$134,100","$133,700","$133,600","$133,900","$133,600","$133,200","$133,100","$133,300","$133,500","$133,700","$134,300","$135,600","$137,500","$139,000","$139,800","$140,300","$141,000","$141,700","$142,700","$143,300","$143,900","$144,200","$144,900","$145,100","$145,100","$144,500","$144,200","$144,100","$144,100","$144,000","$143,700","$143,700","$143,800","$144,500","$144,800","$144,800","$144,600","$144,700","$145,100","$145,200","$145,300","$145,500","$145,700","$146,000","$145,900","$145,500","$145,100","$145,400","$145,800","$147,100","$147,400","$147,800","$148,300","$149,400","$150,800","$151,700","$153,200","$154,100","$155,200","$155,400","$155,900","$155,300","$155,700","$156,500","$157,600","$158,100","$158,200","$158,700","$158,500","$159,600","$160,500","$161,700","$162,300","$164,100","$165,600","$167,400","$167,800","$168,100","$168,400","$169,100","$170,400","$171,000","$171,500","$172,100","$173,100","$173,500","$173,500","$173,100","$173,700","$174,800","$175,900","$176,800","$177,500","$178,300","$179,200","$180,200","$181,200","$182,400"
Allentown-Bethlehem-Easton Metro,metro,Studio,"$244,500","$246,200","$245,400","$244,700","$242,300","$240,700","$238,400","$236,500","$234,900","$235,200","$233,800","$232,100","$228,300","$225,900","$224,000","$222,000","$220,400","$218,600","$217,500","$216,500","$215,100","$212,600","$210,800","$208,900","$208,500","$207,500","$206,700","$206,700","$206,500","$206,800","$206,500","$206,500","$206,500","$205,600","$205,000","$204,300","$205,000","$205,900","$206,800","$207,200","$207,900","$208,600","$209,600","$210,100","$210,600","$213,100","$215,600","$218,700","$218,900","$219,500","$220,000","$220,900","$221,800","$221,900","$222,500","$222,800","$223,300","$222,700","$221,800","$220,600","$220,300","$219,900","$220,200","$220,600","$220,900","$221,000","$220,000","$219,200","$218,900","$219,100","$219,400","$219,200","$220,100","$220,500","$220,300","$219,100","$218,400","$218,800","$220,100","$221,400","$222,100","$221,800","$221,900","$222,400","$222,700","$223,600","$224,200","$225,200","$225,300","$225,200","$225,100","$225,500","$226,200","$227,200","$228,900","$229,800","$230,900","$231,000","$231,700","$232,800","$234,500","$236,700","$237,800","$238,000","$237,600","$237,300","$236,400","$236,200","$236,300","$237,300","$237,500","$237,600","$237,500","$237,100","$237,300","$238,200","$239,400","$240,700","$242,100","$243,300"
Amarillo Metro,metro,Studio,"$87,500","$87,600","$87,700","$87,800","$88,000","$88,300","$88,100","$87,700","$87,200","$87,200","$87,200","$87,200","$86,900","$86,500","$86,200","$85,900","$85,700","$85,500","$85,200","$84,900","$84,600","$84,200","$84,300","$84,500","$84,900","$85,000","$85,300","$85,400","$85,900","$86,400","$87,000","$87,200","$87,400","$87,200","$87,100","$86,800","$86,500","$86,700","$86,800","$87,400","$87,500","$87,600","$87,600","$87,900","$88,200","$88,600","$88,900","$89,400","$89,900","$90,200","$90,500","$90,700","$91,000","$91,300","$91,700","$92,100","$92,500","$92,900","$93,200","$93,400","$93,600","$94,000","$94,200","$94,300","$94,600","$94,800","$95,100","$95,400","$95,700","$96,300","$97,000","$97,700","$98,300","$98,700","$99,300","$99,700","$100,200","$100,600","$101,100","$101,500","$101,900","$102,300","$102,600","$102,900","$103,200","$103,400","$103,600","$103,900","$104,200","$104,700","$105,100","$105,500","$105,800","$105,900","$106,000","$106,300","$106,900","$107,400","$107,700","$107,900","$108,200","$108,500","$109,300","$109,700","$110,500","$111,100","$111,600","$111,700","$111,500","$111,600","$111,900","$112,200","$112,400","$112,600","$112,400","$112,400","$112,300","$112,400","$112,600","$113,000"
Anchorage Metro,metro,Studio,"$185,900","$187,200","$188,500","$189,700","$191,100","$190,400","$189,600","$188,000","$187,500","$187,100","$187,100","$187,000","$185,900","$185,600","$185,800","$187,500","$188,800","$190,700","$191,500","$191,600","$191,600","$192,300","$193,700","$194,900","$196,500","$197,400","$196,800","$194,700","$192,800","$191,900","$191,500","$192,000","$192,200","$192,600","$192,100","$192,400","$193,300","$195,200","$197,800","$200,700","$203,800","$206,000","$209,500","$213,100","$216,900","$219,100","$220,200","$220,800","$220,100","$219,700","$219,400","$220,400","$221,600","$223,200","$224,100","$224,900","$225,600","$227,500","$230,400","$233,100","$235,800","$237,600","$239,400","$239,500","$239,700","$239,400","$240,100","$240,100","$240,300","$240,300","$240,700","$240,500","$241,700","$242,600","$243,200","$244,000","$243,900","$244,800","$244,400","$245,600","$246,300","$247,100","$247,700","$248,400","$248,500","$248,500","$248,800","$249,400","$249,900","$250,800","$251,900","$251,700","$250,700","$248,800","$247,100","$245,900","$245,600","$245,600","$245,700","$246,200","$247,900","$248,800","$249,200","$249,600","$250,100","$251,800","$253,500","$256,100","$258,200","$260,200","$261,800","$263,100","$263,700","$264,600","$266,100","$268,000","$270,300","$272,100","$273,800","$274,600"
Ann Arbor Metro,metro,Studio,"$153,600","$154,300","$153,100","$151,800","$150,800","$150,000","$149,800","$148,600","$148,700","$148,400","$148,800","$149,200","$149,300","$149,600","$149,200","$149,200","$147,500","$146,600","$146,600","$148,700","$152,000","$154,600","$156,400","$155,500","$154,500","$152,500","$151,900","$152,000","$152,000","$152,300","$151,700","$152,300","$151,800","$151,400","$151,500","$153,200","$155,800","$159,000","$161,700","$163,900","$165,900","$167,800","$170,200","$171,600","$173,000","$174,500","$176,400","$178,400","$180,000","$180,300","$180,500","$180,400","$182,100","$183,400","$184,500","$184,700","$184,500","$184,700","$183,900","$183,700","$183,200","$184,600","$186,600","$188,700","$189,700","$190,300","$191,300","$192,200","$193,200","$194,500","$196,400","$197,600","$198,000","$197,900","$197,800","$197,900","$198,300","$198,300","$198,600","$199,200","$201,200","$202,800","$203,800","$204,000","$204,900","$206,300","$206,800","$207,500","$207,800","$209,600","$210,900","$212,500","$212,600","$212,800","$213,500","$215,600","$217,800","$218,600","$219,300","$220,200","$221,200","$222,800","$224,100","$225,200","$226,100","$227,100","$227,400","$227,200","$227,000","$227,900","$229,100","$230,000","$230,900","$230,800","$231,200","$231,400","$232,300","$233,200","$234,500","$235,700"
Appleton Metro,metro,Studio,"$150,000","$148,900","$148,200","$148,100","$148,000","$147,600","$146,600","$145,100","$144,000","$143,300","$142,400","$141,400","$140,300","$139,700","$139,800","$138,900","$138,400","$137,800","$138,200","$138,400","$138,500","$138,300","$138,000","$138,300","$138,500","$139,000","$138,500","$139,100","$139,200","$139,700","$140,300","$141,400","$142,200","$142,300","$142,200","$141,700","$142,100","$141,900","$142,200","$142,000","$142,900","$143,600","$144,100","$144,000","$143,900","$144,100","$144,100","$144,300","$144,300","$144,600","$144,900","$145,200","$145,100","$145,400","$145,600","$145,700","$145,900","$146,500","$147,900","$149,100","$150,100","$150,600","$151,000","$150,900","$150,500","$149,800","$149,600","$150,000","$150,900","$151,800","$152,000","$152,200","$152,700","$153,600","$154,300","$155,500","$156,800","$158,300","$159,800","$160,800","$161,200","$161,200","$161,600","$162,600","$163,800","$164,800","$166,100","$167,400","$168,600","$169,000","$168,900","$168,800","$169,800","$171,200","$173,100","$174,200","$174,800","$175,300","$175,800","$176,500","$177,000","$178,100","$179,300","$180,600","$181,300","$182,200","$182,300","$182,600","$183,300","$184,500","$185,100","$185,500","$186,100","$186,500","$187,100","$187,700","$188,200","$188,400","$188,900","$189,400"
Asheville Metro,metro,Studio,"$176,700","$174,600","$173,100","$172,100","$171,700","$170,500","$169,700","$169,900","$169,900","$171,000","$171,900","$173,400","$173,200","$173,800","$174,100","$174,000","$172,900","$172,100","$171,100","$169,900","$168,300","$167,100","$165,500","$164,300","$163,600","$163,500","$163,700","$163,300","$163,800","$164,100","$164,500","$164,600","$165,000","$165,700","$166,400","$166,900","$166,900","$166,600","$166,000","$165,900","$165,700","$165,800","$165,800","$166,000","$166,600","$166,500","$166,400","$166,200","$166,800","$167,400","$167,900","$168,500","$169,000","$169,700","$170,300","$171,100","$171,600","$172,200","$173,000","$174,200","$175,300","$176,500","$177,500","$178,100","$178,600","$178,600","$178,800","$179,200","$179,700","$180,200","$180,800","$179,900","$179,200","$178,500","$179,200","$180,900","$182,700","$184,500","$185,400","$186,000","$186,100","$186,600","$187,400","$189,300","$191,000","$193,000","$193,000","$192,700","$192,600","$193,800","$195,600","$197,400","$199,300","$201,200","$202,500","$203,700","$204,600","$205,400","$206,800","$208,100","$209,400","$209,600","$210,300","$210,800","$211,900","$212,500","$213,500","$214,300","$215,500","$216,600","$217,700","$219,000","$220,100","$221,300","$222,000","$222,800","$223,300","$224,000","$224,500","$225,000"
