United States Zillow Home Value Index - Three Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Three Bed,"$159,900","$159,800","$159,600","$159,000","$158,200","$157,400","$156,500","$155,600","$154,700","$153,900","$153,000","$152,100","$151,200","$150,200","$149,400","$148,800","$148,400","$148,100","$147,800","$147,500","$147,200","$147,000","$146,800","$146,900","$147,100","$147,400","$147,700","$148,100","$148,500","$149,000","$149,600","$150,300","$151,000","$151,800","$152,700","$153,700","$154,700","$155,800","$157,000","$158,100","$159,300","$160,400","$161,500","$162,500","$163,400","$164,200","$165,000","$165,700","$166,200","$166,700","$167,200","$167,700","$168,200","$168,600","$169,200","$169,800","$170,500","$171,200","$171,800","$172,600","$173,500","$174,300","$175,100","$175,800","$176,600","$177,400","$178,200","$179,000","$179,800","$180,700","$181,600","$182,400","$183,200","$184,100","$185,000","$186,000","$187,000","$188,000","$188,900","$190,000","$191,000","$192,000","$193,000","$194,000","$195,200","$196,300","$197,400","$198,500","$199,600","$200,700","$201,900","$203,100","$204,300","$205,500","$206,700","$207,800","$209,000","$210,200","$211,300","$212,300","$213,300","$214,300","$215,200","$216,100","$217,000","$217,900","$218,600","$219,300","$219,900","$220,500","$221,200","$222,000","$222,700","$223,500","$224,300","$225,200","$226,000","$226,800","$227,800","$228,900"
Akron Metro,metro,Three Bed,"$120,400","$120,600","$120,900","$121,100","$120,600","$119,700","$118,900","$117,900","$117,200","$116,600","$116,300","$115,900","$115,500","$114,400","$113,300","$112,200","$111,900","$111,600","$111,100","$110,600","$110,000","$109,300","$108,600","$108,300","$108,300","$108,300","$108,200","$108,200","$108,100","$108,200","$108,300","$108,600","$109,100","$109,800","$110,400","$110,600","$110,600","$111,100","$111,600","$112,300","$112,800","$113,100","$113,700","$114,100","$114,300","$114,200","$114,100","$113,800","$113,600","$113,200","$113,300","$113,200","$113,300","$113,200","$113,100","$113,100","$113,300","$113,200","$113,500","$113,900","$114,700","$115,500","$115,900","$116,400","$116,900","$117,500","$117,700","$117,900","$117,800","$118,500","$118,800","$119,400","$119,500","$119,800","$120,100","$120,400","$120,400","$120,800","$121,200","$121,900","$122,700","$123,700","$124,600","$125,100","$125,600","$126,000","$126,900","$127,300","$128,300","$128,900","$130,100","$131,100","$131,900","$131,700","$131,800","$132,400","$133,700","$134,400","$134,200","$134,400","$134,900","$135,800","$136,400","$137,100","$137,800","$138,800","$139,500","$140,000","$140,000","$140,400","$141,500","$142,500","$143,100","$143,600","$144,100","$144,600","$145,100","$146,100","$147,200","$148,300"
Albany-Schenectady-Troy Metro,metro,Three Bed,"$184,000","$184,500","$185,100","$185,300","$185,000","$184,400","$183,600","$182,800","$181,900","$181,100","$180,500","$180,100","$179,400","$178,500","$177,400","$176,200","$175,600","$175,200","$174,900","$174,200","$174,000","$173,900","$173,600","$173,100","$172,700","$172,800","$172,900","$173,100","$173,200","$173,500","$173,800","$174,300","$174,700","$175,100","$175,800","$176,500","$177,300","$177,300","$177,200","$177,000","$177,200","$177,500","$177,600","$177,700","$177,300","$177,000","$176,500","$176,300","$175,900","$176,000","$176,200","$176,300","$176,000","$175,400","$174,800","$174,100","$174,100","$174,500","$174,800","$174,800","$174,800","$175,000","$175,200","$175,500","$176,000","$176,300","$176,700","$177,100","$177,400","$177,200","$177,100","$177,100","$177,600","$178,000","$178,200","$178,600","$178,700","$179,400","$180,000","$180,900","$181,300","$181,800","$182,100","$182,400","$182,600","$182,600","$183,100","$183,700","$184,300","$184,600","$185,300","$186,000","$186,700","$187,700","$188,800","$190,100","$191,200","$192,400","$193,600","$194,400","$195,600","$196,500","$197,200","$197,000","$196,800","$197,100","$197,800","$198,600","$199,000","$199,300","$199,500","$199,900","$200,000","$200,300","$200,600","$201,400","$202,300","$202,700","$202,600","$202,400"
Albuquerque Metro,metro,Three Bed,"$180,700","$180,300","$179,500","$178,700","$178,000","$176,800","$175,100","$173,500","$172,200","$171,400","$170,900","$170,200","$169,200","$168,100","$167,400","$167,100","$166,300","$165,900","$165,400","$165,200","$164,800","$164,500","$164,000","$163,500","$163,400","$163,500","$163,400","$163,100","$163,400","$164,100","$164,600","$165,000","$164,900","$164,800","$164,900","$165,500","$166,400","$167,100","$167,800","$168,400","$169,100","$169,000","$169,300","$169,300","$170,100","$171,000","$171,600","$171,600","$171,100","$170,800","$170,500","$170,400","$170,100","$170,300","$170,800","$171,700","$172,100","$172,000","$171,600","$171,300","$171,500","$171,600","$172,100","$172,700","$173,500","$173,900","$173,700","$172,800","$172,400","$172,900","$174,000","$175,400","$176,300","$177,100","$177,400","$177,700","$177,500","$177,600","$178,400","$179,600","$180,900","$181,300","$181,500","$181,100","$181,500","$181,900","$182,700","$183,400","$184,400","$185,200","$185,500","$186,000","$186,100","$186,600","$187,300","$188,500","$189,400","$190,100","$190,500","$190,600","$190,800","$191,100","$192,500","$193,400","$194,500","$195,500","$196,300","$197,000","$197,500","$198,400","$199,500","$200,900","$202,300","$203,700","$204,600","$205,700","$206,900","$208,300","$209,900","$211,600"
Allentown-Bethlehem-Easton Metro,metro,Three Bed,"$181,800","$182,500","$182,500","$182,200","$181,000","$179,600","$178,300","$177,300","$176,400","$175,500","$174,300","$172,700","$171,100","$169,800","$168,900","$167,700","$167,100","$166,300","$165,800","$164,800","$164,000","$163,400","$162,800","$162,000","$161,200","$160,500","$160,100","$160,100","$160,100","$160,300","$160,400","$160,800","$160,600","$160,500","$160,600","$161,400","$162,200","$162,900","$162,900","$163,000","$163,200","$163,600","$163,800","$163,900","$164,400","$164,900","$165,300","$165,200","$165,000","$164,700","$165,100","$165,400","$165,500","$165,100","$164,900","$164,800","$164,800","$164,600","$164,100","$164,200","$164,600","$165,500","$165,800","$165,800","$165,800","$166,300","$166,800","$167,200","$167,400","$167,600","$168,400","$168,800","$169,300","$169,400","$169,800","$170,300","$170,800","$171,100","$171,200","$171,700","$172,200","$173,100","$173,600","$174,200","$174,400","$174,500","$174,800","$175,300","$176,000","$176,900","$178,100","$179,000","$180,000","$180,600","$181,800","$182,700","$184,100","$185,300","$186,400","$187,400","$188,300","$189,000","$189,800","$190,400","$191,300","$192,000","$192,300","$192,700","$192,900","$193,500","$194,000","$194,600","$195,000","$195,600","$196,100","$196,800","$197,200","$197,900","$198,700","$199,600"
Amarillo Metro,metro,Three Bed,"$120,100","$120,300","$120,200","$120,200","$120,300","$120,500","$120,300","$119,700","$119,200","$119,100","$118,900","$118,600","$118,200","$117,800","$117,800","$117,700","$117,500","$117,100","$116,900","$117,000","$116,700","$116,600","$116,400","$116,700","$116,800","$116,900","$117,000","$117,100","$117,600","$118,000","$118,700","$119,000","$119,500","$119,600","$119,800","$119,900","$120,000","$120,400","$120,700","$121,300","$121,700","$122,100","$122,200","$122,500","$122,700","$123,100","$123,500","$123,800","$124,200","$124,200","$124,500","$124,700","$124,800","$124,900","$125,100","$125,500","$126,000","$126,300","$126,500","$126,700","$127,000","$127,500","$127,900","$128,200","$128,600","$128,900","$129,100","$129,200","$129,400","$129,800","$130,600","$131,500","$132,300","$132,900","$133,300","$133,700","$134,100","$134,600","$135,200","$135,800","$136,300","$136,700","$136,900","$136,800","$136,700","$136,500","$136,700","$136,800","$137,000","$137,100","$137,400","$137,800","$138,100","$138,500","$138,700","$139,300","$140,000","$140,800","$141,500","$142,000","$142,500","$142,700","$143,000","$143,200","$143,400","$143,600","$144,000","$144,300","$144,600","$144,800","$145,000","$145,300","$145,600","$146,000","$146,400","$146,800","$147,100","$147,500","$147,800","$148,100"
Anchorage Metro,metro,Three Bed,"$267,000","$267,700","$267,900","$268,000","$268,300","$268,500","$268,400","$267,600","$267,300","$266,300","$265,500","$263,900","$262,500","$261,500","$261,500","$261,900","$262,200","$262,400","$262,800","$263,200","$263,900","$264,800","$265,700","$266,800","$268,000","$269,300","$269,300","$268,700","$268,200","$268,400","$269,000","$269,700","$269,300","$269,800","$270,500","$271,900","$272,700","$273,500","$275,500","$277,500","$279,400","$280,200","$280,600","$281,300","$282,300","$282,700","$283,400","$284,000","$284,700","$284,500","$283,800","$284,100","$285,400","$286,900","$288,300","$288,900","$289,800","$290,400","$290,400","$290,300","$291,200","$293,500","$295,400","$296,100","$295,800","$295,400","$295,100","$295,700","$296,700","$298,300","$299,900","$300,800","$300,500","$299,100","$297,900","$297,100","$296,500","$296,400","$296,600","$296,900","$296,500","$296,000","$294,700","$293,900","$293,100","$293,500","$294,100","$294,700","$295,400","$296,100","$296,900","$297,000","$297,100","$297,200","$297,600","$297,700","$296,200","$296,100","$296,400","$298,500","$299,000","$298,600","$298,000","$297,500","$297,300","$297,200","$301,900","$306,600","$313,600","$315,500","$317,900","$318,700","$320,400","$322,200","$323,700","$325,100","$325,800","$326,000","$321,500","$316,700"
Ann Arbor Metro,metro,Three Bed,"$151,600","$151,500","$151,400","$151,100","$151,000","$151,000","$151,500","$150,800","$150,400","$149,000","$148,400","$147,400","$146,500","$145,500","$144,900","$144,700","$144,300","$143,100","$142,200","$142,200","$143,200","$144,700","$145,900","$147,100","$147,600","$147,900","$148,100","$148,600","$149,200","$150,500","$151,800","$153,900","$155,100","$155,200","$155,100","$155,900","$158,400","$161,600","$164,400","$166,900","$168,700","$170,800","$172,800","$174,400","$176,000","$178,200","$181,000","$183,400","$185,200","$185,400","$185,700","$185,700","$187,100","$188,400","$189,100","$189,400","$189,500","$190,000","$189,700","$189,700","$189,300","$190,800","$192,700","$194,700","$195,700","$196,200","$197,200","$198,100","$199,400","$201,000","$203,300","$204,900","$205,700","$205,900","$206,300","$206,500","$207,400","$207,900","$208,800","$209,800","$212,300","$214,200","$215,500","$216,200","$217,600","$219,600","$220,900","$222,700","$223,900","$226,600","$228,500","$231,000","$231,600","$231,700","$232,400","$234,000","$236,600","$237,700","$239,400","$240,700","$242,900","$245,700","$248,400","$249,800","$250,400","$251,500","$252,700","$254,100","$254,100","$255,100","$255,800","$256,400","$256,600","$255,500","$254,600","$254,300","$255,200","$255,900","$256,100","$255,700"
Appleton Metro,metro,Three Bed,"$137,300","$137,300","$137,200","$136,900","$136,600","$136,200","$135,600","$135,000","$134,300","$133,900","$132,900","$131,900","$130,800","$130,100","$129,500","$128,800","$128,300","$127,700","$127,200","$126,600","$126,100","$125,500","$125,000","$124,800","$124,500","$124,600","$124,700","$125,500","$125,800","$126,300","$126,700","$127,400","$127,700","$128,300","$129,200","$129,700","$130,200","$130,100","$130,400","$130,400","$131,100","$131,500","$132,100","$132,400","$132,800","$132,700","$132,100","$131,800","$131,800","$132,500","$133,000","$133,000","$132,900","$133,000","$133,300","$133,800","$134,100","$135,200","$136,700","$138,200","$139,000","$139,300","$139,200","$139,200","$139,000","$138,700","$138,500","$138,400","$138,900","$139,000","$139,300","$138,900","$139,200","$139,800","$140,500","$141,500","$142,500","$144,000","$145,500","$146,900","$147,300","$147,700","$148,100","$149,100","$150,100","$150,900","$152,500","$154,000","$155,400","$155,500","$155,300","$155,300","$156,300","$157,700","$159,200","$160,700","$161,700","$162,800","$163,200","$163,700","$164,200","$165,700","$167,300","$168,600","$169,200","$169,600","$169,700","$170,400","$171,300","$172,400","$173,300","$174,100","$175,000","$175,600","$176,400","$177,200","$178,400","$179,500","$180,700","$181,500"
Asheville Metro,metro,Three Bed,"$212,300","$211,900","$210,900","$210,300","$209,500","$208,800","$208,000","$207,500","$207,100","$206,400","$205,700","$205,100","$204,400","$203,600","$202,800","$202,000","$201,200","$200,400","$199,800","$198,900","$198,000","$197,400","$197,000","$196,800","$196,400","$196,100","$195,800","$195,800","$196,100","$196,500","$196,900","$197,400","$197,700","$197,900","$198,300","$198,300","$198,500","$198,600","$199,200","$199,900","$200,500","$201,100","$201,700","$202,200","$203,100","$203,900","$204,800","$205,800","$207,300","$208,700","$209,600","$210,100","$210,700","$211,600","$212,600","$213,600","$214,200","$215,300","$216,400","$217,400","$217,700","$218,300","$219,400","$220,700","$221,700","$222,100","$222,300","$222,800","$224,000","$224,800","$225,800","$227,100","$228,900","$230,700","$232,400","$234,100","$235,900","$238,100","$240,400","$242,900","$244,900","$246,900","$248,600","$250,000","$251,400","$252,800","$254,100","$255,800","$257,700","$259,500","$261,500","$263,300","$265,400","$266,800","$268,500","$270,000","$271,900","$273,600","$275,300","$276,800","$278,000","$278,900","$279,700","$280,600","$281,400","$282,300","$283,200","$284,100","$284,800","$285,300","$286,000","$286,700","$287,500","$288,500","$289,300","$290,300","$291,200","$292,400","$293,500","$294,800"
