United States Zillow Home Value Index - Top Tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Top Tier,"$356,800","$356,800","$356,300","$354,900","$353,200","$351,400","$349,600","$347,500","$345,600","$343,800","$342,200","$340,300","$338,400","$336,200","$334,600","$333,400","$332,500","$331,700","$330,800","$330,100","$329,400","$328,800","$328,400","$328,500","$329,000","$329,900","$330,900","$332,000","$333,200","$334,500","$336,200","$338,100","$340,100","$342,400","$344,800","$347,500","$350,400","$353,400","$356,400","$359,400","$362,500","$365,400","$368,100","$370,500","$372,600","$374,700","$376,700","$378,100","$379,100","$380,000","$381,000","$382,100","$382,900","$383,800","$384,900","$386,300","$387,700","$389,100","$390,600","$392,300","$394,000","$395,800","$397,300","$398,800","$400,500","$402,300","$404,000","$405,500","$407,300","$409,000","$410,800","$412,200","$413,900","$415,600","$417,500","$419,300","$421,100","$423,000","$424,900","$426,900","$428,800","$430,700","$432,600","$434,700","$436,800","$438,900","$441,100","$443,200","$445,300","$447,500","$449,800","$452,200","$454,600","$456,900","$459,400","$461,800","$464,000","$466,000","$467,900","$469,700","$471,400","$472,900","$474,300","$475,600","$476,800","$477,800","$478,600","$479,300","$479,900","$480,700","$481,700","$482,800","$483,900","$485,200","$486,600","$487,900","$489,500","$491,200","$493,100","$495,300"
Akron Metro,metro,Top Tier,"$222,200","$222,300","$222,800","$223,300","$222,600","$221,400","$220,100","$218,500","$217,400","$216,300","$215,700","$215,300","$215,000","$213,500","$211,800","$210,200","$209,600","$208,900","$208,100","$207,400","$206,400","$205,400","$204,200","$203,800","$203,900","$203,800","$203,600","$203,400","$203,100","$203,100","$203,100","$203,700","$204,700","$206,200","$207,500","$208,100","$208,200","$209,000","$210,200","$211,600","$212,800","$213,600","$214,700","$215,400","$215,800","$215,600","$215,300","$214,900","$215,000","$214,800","$215,200","$215,300","$215,600","$215,900","$216,100","$216,300","$217,000","$216,900","$217,500","$218,000","$219,000","$219,900","$220,400","$221,000","$221,600","$222,500","$222,600","$223,000","$222,800","$224,000","$224,400","$225,500","$225,600","$226,100","$226,300","$226,900","$227,100","$227,800","$228,500","$229,400","$230,700","$232,300","$233,800","$234,500","$235,300","$236,000","$237,900","$238,400","$239,800","$240,300","$242,200","$243,500","$244,800","$244,400","$244,900","$246,000","$248,200","$249,400","$248,800","$248,800","$249,200","$250,500","$251,300","$252,500","$253,600","$255,100","$255,800","$256,100","$255,600","$255,800","$257,300","$258,900","$260,100","$260,800","$261,400","$262,000","$262,800","$264,200","$265,900","$267,800"
Albany-Schenectady-Troy Metro,metro,Top Tier,"$284,100","$284,800","$285,600","$285,500","$284,700","$283,800","$282,600","$281,500","$280,100","$279,100","$278,400","$277,800","$276,700","$275,200","$273,600","$272,000","$271,300","$270,700","$270,300","$269,300","$269,000","$268,500","$267,800","$266,700","$265,900","$265,700","$265,500","$265,900","$266,100","$266,500","$267,000","$267,600","$268,100","$268,700","$270,000","$271,500","$272,900","$273,000","$272,800","$272,600","$272,800","$273,000","$273,000","$272,800","$272,200","$271,600","$270,500","$269,900","$269,000","$269,000","$269,300","$269,500","$268,900","$267,900","$266,900","$265,900","$265,800","$266,000","$266,400","$266,500","$266,600","$266,800","$266,900","$267,100","$267,400","$267,800","$268,200","$268,800","$269,400","$269,300","$269,200","$269,100","$269,700","$270,200","$270,600","$271,100","$271,400","$272,300","$273,200","$274,500","$275,200","$275,800","$276,100","$276,500","$276,700","$276,600","$277,500","$278,400","$279,500","$279,900","$280,800","$281,700","$282,700","$284,000","$285,600","$287,200","$288,700","$290,600","$292,200","$293,500","$295,100","$296,600","$297,500","$296,900","$296,300","$296,300","$297,300","$298,200","$298,600","$298,700","$298,500","$298,500","$298,100","$298,000","$298,000","$298,900","$299,800","$300,000","$299,300","$298,500"
Albuquerque Metro,metro,Top Tier,"$290,100","$289,300","$288,000","$286,800","$285,500","$283,600","$281,100","$278,500","$276,800","$276,600","$276,500","$276,100","$274,400","$272,700","$271,500","$271,100","$269,900","$269,200","$268,600","$268,400","$267,800","$266,900","$265,800","$264,800","$264,800","$265,000","$265,100","$264,800","$265,400","$266,500","$267,200","$267,600","$267,300","$267,300","$267,500","$268,400","$269,900","$271,100","$272,300","$273,200","$274,200","$274,100","$274,900","$275,200","$276,700","$278,000","$279,000","$278,800","$277,800","$277,200","$276,600","$276,500","$276,000","$276,200","$276,500","$278,000","$278,400","$278,100","$277,400","$277,000","$277,300","$277,500","$278,000","$278,700","$279,700","$280,200","$279,700","$278,200","$277,300","$277,900","$279,600","$281,600","$282,800","$283,800","$284,200","$284,600","$284,500","$284,700","$285,800","$287,500","$289,200","$289,600","$289,500","$288,700","$289,100","$289,600","$290,800","$292,000","$293,500","$294,700","$295,100","$295,700","$295,800","$296,500","$297,500","$299,500","$300,700","$301,800","$302,100","$301,700","$301,800","$302,000","$304,200","$305,600","$307,400","$308,700","$309,700","$310,500","$311,200","$312,300","$313,800","$316,100","$318,000","$320,000","$320,800","$322,100","$323,600","$325,500","$327,600","$329,800"
Allentown-Bethlehem-Easton Metro,metro,Top Tier,"$307,100","$308,300","$308,100","$307,700","$305,700","$303,600","$301,600","$300,100","$298,800","$297,200","$295,200","$292,600","$290,200","$287,900","$286,500","$284,700","$283,800","$282,700","$281,800","$280,100","$278,700","$277,700","$276,700","$275,500","$274,300","$273,300","$272,800","$272,900","$273,000","$273,300","$273,600","$274,400","$274,400","$274,200","$274,600","$275,800","$277,200","$278,300","$278,600","$278,700","$278,800","$279,600","$280,000","$280,300","$281,300","$282,400","$283,300","$283,600","$283,400","$283,100","$283,700","$284,400","$285,000","$284,500","$284,500","$284,400","$284,300","$284,000","$283,200","$283,200","$283,600","$284,800","$285,100","$285,300","$285,300","$286,100","$286,500","$287,000","$287,200","$287,400","$288,200","$288,600","$289,100","$289,000","$289,400","$289,900","$290,300","$290,500","$290,700","$291,200","$291,900","$293,000","$293,800","$294,700","$295,200","$295,600","$296,200","$297,000","$298,200","$299,300","$300,700","$301,700","$303,200","$304,100","$305,800","$307,200","$309,100","$310,400","$311,600","$312,600","$313,500","$314,600","$315,600","$316,500","$317,400","$318,000","$318,100","$318,300","$318,500","$319,200","$319,900","$320,700","$321,300","$321,900","$322,300","$323,100","$323,600","$324,500","$325,500","$326,700"
Amarillo Metro,metro,Top Tier,"$199,000","$199,400","$199,400","$199,500","$199,900","$200,400","$200,200","$199,500","$198,800","$198,600","$198,400","$197,800","$197,100","$196,500","$196,600","$196,500","$196,000","$195,500","$195,100","$195,200","$194,900","$194,800","$194,700","$195,000","$195,100","$195,100","$195,300","$195,500","$196,300","$197,000","$198,100","$198,400","$199,000","$199,300","$199,600","$199,900","$200,200","$200,900","$201,300","$202,000","$202,500","$202,900","$203,300","$203,900","$204,500","$205,100","$205,800","$206,300","$206,900","$207,100","$207,600","$208,000","$208,500","$208,900","$209,300","$209,900","$210,600","$211,000","$211,200","$211,500","$212,000","$212,700","$213,500","$214,000","$214,500","$214,800","$215,200","$215,500","$215,900","$216,500","$217,800","$219,300","$220,600","$221,400","$221,900","$222,600","$223,300","$224,300","$225,200","$226,000","$226,600","$227,300","$227,500","$227,300","$227,000","$226,800","$226,700","$226,700","$226,700","$226,800","$226,900","$227,300","$227,700","$228,200","$228,400","$229,200","$230,000","$231,200","$232,300","$233,100","$233,600","$233,700","$234,100","$234,400","$234,800","$235,000","$235,700","$236,100","$236,400","$236,400","$236,500","$236,900","$237,300","$238,000","$238,500","$239,000","$239,400","$239,900","$240,200","$240,600"
Anchorage Metro,metro,Top Tier,"$390,600","$391,600","$391,700","$391,800","$392,200","$392,600","$392,200","$390,900","$390,300","$388,800","$387,500","$384,700","$382,400","$380,700","$380,800","$381,200","$381,500","$381,300","$381,500","$381,900","$382,800","$384,000","$385,500","$387,500","$389,300","$391,100","$390,800","$390,200","$389,400","$390,000","$390,800","$391,700","$391,100","$391,300","$391,800","$393,400","$394,300","$395,600","$398,500","$401,300","$403,800","$405,000","$405,800","$407,000","$408,500","$409,200","$410,100","$410,800","$411,400","$410,600","$409,400","$409,700","$411,500","$413,500","$415,600","$416,300","$417,700","$418,800","$419,200","$419,500","$421,200","$424,500","$427,400","$428,400","$428,100","$427,300","$426,800","$427,300","$428,500","$430,400","$432,500","$433,400","$432,900","$431,100","$429,300","$428,200","$427,000","$426,800","$426,700","$427,400","$427,100","$426,600","$425,100","$424,100","$423,400","$423,900","$425,000","$425,900","$426,900","$428,000","$429,100","$428,800","$428,400","$427,900","$427,900","$427,700","$426,300","$426,800","$427,600","$430,000","$430,600","$430,200","$429,500","$429,100","$428,900","$428,600","$434,600","$440,400","$448,500","$450,100","$452,400","$453,300","$455,100","$457,100","$458,700","$460,200","$461,000","$461,400","$456,000","$450,000"
Ann Arbor Metro,metro,Top Tier,"$300,900","$302,100","$303,000","$303,500","$303,200","$303,700","$305,100","$305,300","$305,600","$303,900","$303,100","$301,600","$300,800","$299,100","$298,200","$297,900","$297,900","$295,900","$294,400","$294,000","$295,900","$298,900","$301,100","$303,200","$303,400","$303,000","$302,400","$302,500","$303,500","$305,900","$308,600","$312,600","$314,600","$314,100","$313,800","$315,000","$320,000","$326,200","$331,800","$336,200","$338,500","$341,100","$343,700","$346,200","$349,100","$353,300","$358,400","$362,600","$365,400","$365,400","$365,100","$365,000","$368,100","$371,000","$372,800","$373,500","$373,400","$374,500","$373,400","$373,500","$372,500","$375,500","$379,600","$384,000","$385,900","$386,600","$388,100","$389,400","$391,500","$393,900","$397,900","$400,500","$401,800","$401,700","$401,900","$401,800","$402,700","$403,200","$404,200","$405,800","$410,000","$413,200","$415,000","$415,300","$417,200","$420,300","$421,600","$423,400","$424,200","$427,900","$430,700","$434,300","$434,400","$434,100","$435,000","$437,900","$442,200","$443,100","$445,400","$447,000","$450,400","$454,700","$458,900","$461,000","$461,300","$462,400","$463,400","$464,600","$463,700","$465,000","$465,800","$466,700","$466,400","$464,100","$462,000","$460,700","$461,700","$462,500","$462,600","$461,700"
Appleton Metro,metro,Top Tier,"$215,500","$215,500","$215,700","$215,300","$214,900","$214,000","$213,100","$212,200","$211,400","$210,800","$209,500","$208,200","$206,500","$205,600","$204,700","$203,800","$203,200","$202,600","$202,200","$201,400","$200,700","$199,900","$199,300","$199,000","$198,600","$198,800","$198,800","$199,900","$200,300","$201,200","$201,900","$202,900","$203,500","$204,500","$206,000","$207,000","$207,900","$207,900","$208,400","$208,600","$209,600","$210,100","$210,800","$211,100","$211,500","$211,000","$209,900","$209,300","$209,200","$210,200","$211,100","$211,400","$211,300","$211,500","$212,100","$212,900","$213,600","$215,200","$217,200","$219,300","$220,600","$221,000","$220,600","$220,400","$220,000","$219,700","$219,300","$219,200","$220,000","$220,300","$220,700","$220,300","$220,600","$221,400","$222,500","$224,100","$225,700","$227,800","$229,800","$231,600","$232,100","$232,500","$233,100","$234,600","$236,100","$237,400","$239,800","$241,800","$243,500","$243,700","$243,400","$243,700","$245,500","$247,800","$250,300","$252,500","$254,000","$255,500","$256,000","$256,700","$257,500","$259,700","$262,000","$263,600","$264,100","$264,500","$264,400","$265,000","$266,200","$267,600","$268,800","$270,000","$271,300","$272,300","$273,400","$274,900","$276,800","$278,500","$280,600","$282,100"
Asheville Metro,metro,Top Tier,"$332,200","$331,100","$329,500","$328,500","$327,100","$325,800","$324,300","$323,200","$322,100","$320,800","$319,700","$318,800","$317,900","$316,800","$315,800","$314,600","$313,500","$312,500","$311,500","$310,100","$308,700","$307,700","$306,800","$306,100","$305,300","$304,700","$304,300","$304,300","$304,600","$305,200","$305,800","$306,600","$307,100","$307,500","$308,000","$308,300","$308,500","$308,700","$309,300","$310,100","$311,000","$311,900","$312,600","$313,100","$314,200","$315,400","$316,600","$317,900","$319,800","$321,600","$322,700","$323,200","$323,700","$324,700","$325,900","$327,100","$327,800","$329,300","$330,600","$332,100","$332,300","$333,000","$334,500","$336,200","$337,600","$338,000","$338,300","$338,800","$340,100","$340,900","$342,000","$343,400","$345,700","$347,900","$349,900","$352,100","$354,200","$356,900","$359,600","$362,800","$365,400","$368,000","$369,900","$371,700","$373,300","$375,100","$376,800","$378,700","$381,200","$383,800","$386,800","$389,200","$392,200","$394,300","$397,000","$399,200","$401,700","$403,600","$405,600","$407,200","$408,600","$409,600","$410,800","$412,000","$413,100","$414,100","$415,100","$415,900","$416,500","$417,200","$418,200","$419,300","$420,200","$421,200","$421,900","$422,800","$423,500","$424,700","$425,800","$427,300"
