United States Zillow Home Value Index - Two Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020
US,country,Two Bed,"$127,600","$127,400","$127,100","$126,500","$125,700","$124,900","$124,000","$123,100","$122,300","$121,400","$120,600","$119,800","$118,900","$117,900","$117,100","$116,500","$116,000","$115,700","$115,300","$114,900","$114,600","$114,400","$114,200","$114,100","$114,200","$114,400","$114,600","$114,900","$115,300","$115,700","$116,200","$116,800","$117,400","$118,200","$119,000","$119,800","$120,700","$121,600","$122,600","$123,600","$124,700","$125,700","$126,600","$127,500","$128,200","$129,000","$129,700","$130,300","$130,700","$131,200","$131,700","$132,200","$132,600","$133,000","$133,500","$134,000","$134,600","$135,200","$135,800","$136,500","$137,200","$137,900","$138,500","$139,200","$139,800","$140,500","$141,200","$141,900","$142,600","$143,300","$144,100","$144,800","$145,600","$146,300","$147,100","$147,900","$148,700","$149,500","$150,400","$151,200","$152,100","$152,900","$153,800","$154,600","$155,600","$156,600","$157,500","$158,500","$159,500","$160,500","$161,500","$162,600","$163,700","$164,600","$165,700","$166,700","$167,700","$168,800","$169,700","$170,700","$171,600","$172,400","$173,200","$174,000","$174,800","$175,500","$176,200","$176,700","$177,200","$177,800","$178,400","$179,000","$179,600","$180,300","$180,900","$181,600","$182,300","$183,100","$183,900","$184,800"
Akron Metro,metro,Two Bed,"$86,900","$87,000","$87,100","$87,300","$86,800","$86,000","$85,200","$84,200","$83,400","$82,900","$82,700","$82,400","$82,000","$80,900","$79,800","$78,800","$78,200","$77,700","$77,200","$76,800","$76,400","$75,800","$75,100","$74,600","$74,400","$74,200","$74,200","$74,200","$74,300","$74,400","$74,500","$74,800","$75,000","$75,400","$75,800","$76,100","$76,300","$76,800","$77,100","$77,500","$77,700","$77,800","$78,000","$78,200","$78,300","$78,300","$78,200","$78,000","$77,800","$77,500","$77,400","$77,200","$77,000","$76,800","$76,600","$76,300","$76,300","$76,000","$75,900","$75,700","$75,700","$75,700","$75,700","$75,900","$76,200","$76,500","$76,500","$76,400","$76,200","$76,500","$76,700","$77,200","$77,300","$77,700","$78,000","$78,300","$78,300","$78,500","$78,900","$79,400","$80,100","$80,800","$81,500","$81,800","$82,200","$82,500","$83,200","$83,600","$84,400","$84,900","$85,800","$86,600","$87,300","$87,300","$87,300","$87,700","$88,600","$89,200","$89,200","$89,300","$89,500","$90,100","$90,600","$91,200","$91,700","$92,500","$93,200","$93,700","$93,700","$93,900","$94,700","$95,500","$96,100","$96,500","$96,800","$97,100","$97,600","$98,200","$99,000","$99,800"
Albany-Schenectady-Troy Metro,metro,Two Bed,"$152,700","$152,900","$153,400","$153,800","$153,600","$153,000","$152,100","$151,400","$150,700","$150,000","$149,500","$149,100","$148,500","$147,700","$146,500","$145,000","$144,200","$143,900","$143,800","$143,200","$142,900","$142,800","$142,800","$142,500","$142,200","$142,100","$142,100","$142,300","$142,400","$142,500","$142,800","$143,200","$143,600","$143,900","$144,300","$144,700","$145,100","$145,000","$144,900","$144,900","$145,000","$145,000","$144,800","$144,600","$144,200","$144,000","$143,700","$143,700","$143,500","$143,600","$143,700","$143,800","$143,600","$143,100","$142,800","$142,400","$142,400","$142,300","$142,400","$142,200","$142,200","$142,300","$142,600","$142,800","$143,100","$143,100","$143,300","$143,500","$143,900","$143,900","$143,800","$143,700","$144,000","$144,300","$144,400","$144,600","$144,900","$145,700","$146,200","$146,900","$147,300","$147,500","$147,500","$147,600","$147,700","$147,700","$148,000","$148,400","$148,700","$148,900","$149,200","$149,600","$150,100","$151,000","$152,300","$153,500","$154,500","$155,400","$156,500","$157,100","$158,000","$158,800","$159,300","$159,400","$159,400","$159,700","$160,200","$160,800","$161,200","$161,500","$161,700","$162,200","$162,400","$162,800","$163,100","$163,800","$164,500","$164,800","$164,700","$164,600"
Albuquerque Metro,metro,Two Bed,"$142,200","$141,800","$141,100","$140,500","$139,900","$138,800","$137,300","$135,700","$134,700","$134,500","$134,500","$134,300","$133,400","$132,600","$132,000","$131,700","$130,900","$130,500","$130,200","$130,200","$129,800","$129,300","$128,600","$128,000","$127,900","$127,700","$127,500","$127,100","$127,400","$127,900","$128,200","$128,300","$128,200","$128,300","$128,600","$129,200","$129,900","$130,500","$131,200","$131,700","$132,300","$132,100","$132,400","$132,400","$133,100","$133,200","$133,000","$132,500","$132,100","$132,000","$131,700","$131,500","$131,000","$131,200","$131,500","$132,200","$132,400","$132,400","$132,200","$132,100","$132,200","$132,300","$132,500","$132,900","$133,500","$133,900","$133,400","$132,500","$132,000","$132,400","$133,200","$134,200","$134,700","$135,100","$135,400","$135,700","$135,600","$135,400","$135,900","$137,100","$138,200","$138,500","$138,700","$138,400","$138,500","$138,500","$139,000","$139,700","$140,600","$141,400","$141,600","$141,800","$141,700","$141,900","$142,300","$143,400","$144,300","$145,100","$145,400","$145,100","$145,100","$145,500","$146,900","$147,900","$149,100","$150,100","$150,900","$151,400","$151,800","$152,300","$153,300","$154,700","$155,800","$156,900","$157,300","$158,000","$158,700","$159,800","$160,900","$162,200"
Allentown-Bethlehem-Easton Metro,metro,Two Bed,"$152,100","$152,900","$152,900","$152,800","$151,700","$150,500","$149,300","$148,500","$147,800","$147,100","$146,100","$144,700","$143,300","$141,900","$140,800","$139,700","$139,000","$138,200","$137,700","$136,800","$135,900","$135,300","$134,700","$134,100","$133,500","$133,100","$132,900","$133,000","$133,000","$133,300","$133,400","$133,800","$133,600","$133,400","$133,400","$133,800","$134,200","$134,400","$134,300","$134,200","$134,100","$134,300","$134,300","$134,400","$134,800","$135,200","$135,600","$135,700","$135,700","$135,500","$136,100","$136,600","$137,000","$136,600","$136,500","$136,300","$136,300","$136,200","$135,900","$136,000","$136,300","$137,000","$137,000","$137,000","$136,900","$137,500","$137,900","$138,400","$138,600","$138,900","$139,400","$139,700","$140,100","$140,300","$140,700","$141,100","$141,600","$141,800","$141,900","$142,300","$142,700","$143,300","$143,600","$144,100","$144,400","$144,600","$144,900","$145,400","$146,100","$147,000","$147,900","$148,600","$149,500","$150,100","$151,100","$151,900","$152,900","$153,700","$154,700","$155,300","$156,000","$156,400","$157,000","$157,300","$157,900","$158,500","$158,800","$159,300","$159,500","$160,200","$160,600","$161,200","$161,600","$162,300","$162,800","$163,500","$164,000","$164,600","$165,200","$165,900"
Amarillo Metro,metro,Two Bed,"$61,100","$61,400","$61,500","$61,400","$61,400","$61,400","$60,800","$60,000","$59,300","$59,100","$59,000","$58,600","$58,300","$57,900","$57,700","$57,600","$57,500","$57,400","$57,500","$57,700","$57,600","$57,400","$57,200","$57,300","$57,300","$57,400","$57,400","$57,500","$57,800","$58,000","$58,200","$58,100","$58,400","$58,500","$58,700","$58,800","$58,700","$58,900","$58,900","$58,900","$58,800","$58,800","$58,900","$59,300","$59,600","$59,800","$60,100","$60,300","$60,800","$61,000","$61,600","$62,100","$62,700","$63,000","$63,300","$63,600","$63,800","$63,900","$63,900","$63,900","$63,800","$63,900","$63,800","$63,700","$63,400","$63,200","$63,100","$63,100","$63,300","$63,400","$63,800","$64,000","$64,500","$65,000","$65,200","$65,300","$65,600","$66,200","$66,500","$66,500","$66,500","$66,600","$66,800","$67,000","$67,000","$66,900","$67,000","$67,300","$67,600","$67,800","$68,000","$68,500","$68,800","$68,600","$68,300","$68,200","$68,500","$69,000","$69,400","$69,400","$69,500","$69,500","$69,900","$70,200","$70,900","$71,500","$71,900","$72,000","$71,800","$71,700","$71,800","$71,900","$72,000","$72,200","$72,100","$72,100","$71,800","$71,800","$72,000","$72,300"
Anchorage Metro,metro,Two Bed,"$169,200","$169,800","$169,900","$170,400","$170,900","$171,100","$170,900","$170,000","$169,700","$169,100","$168,800","$167,800","$167,000","$166,200","$166,100","$166,300","$166,600","$166,900","$167,100","$167,200","$167,600","$168,000","$168,300","$168,800","$169,500","$170,300","$170,000","$169,400","$168,900","$169,100","$169,500","$170,300","$170,200","$170,800","$171,200","$172,200","$172,600","$172,800","$174,000","$175,200","$176,300","$176,600","$177,100","$177,700","$178,200","$178,100","$178,800","$179,400","$180,100","$180,300","$180,000","$180,200","$180,800","$181,500","$182,100","$182,200","$182,700","$183,000","$182,700","$182,400","$182,800","$184,100","$185,300","$185,800","$185,800","$185,500","$185,200","$185,300","$185,900","$186,900","$187,800","$188,100","$187,700","$186,900","$186,000","$185,500","$185,000","$185,000","$185,000","$185,100","$184,600","$184,000","$183,200","$182,700","$182,200","$182,200","$182,500","$182,900","$183,500","$184,100","$184,400","$184,400","$184,600","$184,900","$184,900","$184,600","$183,400","$183,300","$183,400","$184,600","$184,900","$185,000","$184,700","$184,300","$184,000","$183,700","$185,400","$187,300","$190,400","$191,700","$193,000","$193,300","$194,300","$195,400","$197,000","$198,800","$200,500","$202,200","$202,300","$202,400"
Ann Arbor Metro,metro,Two Bed,"$122,400","$122,300","$121,900","$121,500","$121,400","$121,300","$121,800","$121,600","$121,700","$121,000","$120,600","$119,500","$118,800","$117,800","$117,100","$116,700","$116,000","$114,900","$114,100","$114,300","$115,300","$117,000","$118,400","$119,600","$119,800","$119,800","$119,900","$120,400","$120,900","$121,900","$123,000","$124,700","$125,700","$125,700","$125,700","$126,500","$128,800","$131,900","$134,500","$136,700","$138,300","$140,000","$141,900","$143,100","$144,400","$145,900","$148,000","$149,800","$151,500","$151,600","$151,800","$151,700","$153,000","$154,100","$154,700","$154,800","$154,700","$155,100","$154,800","$155,100","$154,800","$156,000","$157,600","$159,700","$160,800","$161,500","$162,400","$163,300","$164,800","$166,400","$168,600","$170,000","$170,700","$171,100","$171,400","$171,500","$172,000","$172,400","$173,300","$174,300","$176,500","$178,200","$179,300","$179,700","$180,800","$182,500","$183,500","$185,000","$186,000","$188,300","$189,900","$192,100","$192,600","$192,600","$193,200","$194,800","$197,200","$198,100","$199,400","$200,200","$201,800","$204,000","$206,200","$207,200","$207,500","$208,200","$209,000","$209,600","$209,200","$209,600","$210,000","$210,400","$210,500","$209,500","$208,600","$208,200","$208,900","$209,500","$209,800","$209,800"
Appleton Metro,metro,Two Bed,"$105,900","$105,600","$105,200","$104,500","$103,800","$103,100","$102,300","$101,600","$100,800","$100,200","$99,200","$98,200","$97,200","$96,600","$96,100","$95,500","$95,200","$94,800","$94,500","$93,800","$93,200","$92,600","$92,100","$91,800","$91,500","$91,400","$91,000","$91,500","$91,600","$92,100","$92,100","$92,300","$92,400","$92,700","$93,300","$93,900","$94,400","$94,600","$95,000","$95,200","$95,700","$95,700","$96,100","$96,300","$96,700","$96,600","$96,100","$95,700","$95,400","$95,600","$95,800","$95,800","$95,400","$95,400","$95,700","$96,100","$96,600","$97,400","$98,400","$99,400","$100,000","$100,200","$100,300","$100,200","$100,200","$100,200","$100,200","$100,100","$100,600","$100,600","$100,900","$100,900","$101,400","$102,000","$102,500","$103,200","$103,900","$104,900","$105,800","$106,700","$106,900","$107,200","$107,400","$108,200","$108,900","$109,600","$111,000","$112,100","$113,300","$113,700","$113,800","$113,900","$114,900","$116,200","$117,600","$118,800","$119,400","$120,100","$120,500","$121,200","$121,900","$123,300","$124,700","$125,800","$126,300","$126,600","$126,700","$127,200","$128,100","$129,000","$129,800","$130,300","$130,800","$131,200","$131,700","$132,400","$133,400","$134,200","$135,200","$135,900"
Asheville Metro,metro,Two Bed,"$155,100","$154,700","$154,000","$153,500","$152,800","$152,100","$151,200","$150,700","$150,100","$149,700","$149,200","$148,900","$148,500","$147,800","$147,400","$146,600","$145,900","$145,000","$144,400","$143,600","$142,800","$142,200","$141,800","$141,600","$141,300","$141,100","$140,800","$140,900","$141,400","$141,900","$142,400","$142,800","$142,900","$143,000","$143,200","$143,300","$143,300","$143,500","$143,900","$144,200","$144,600","$145,000","$145,400","$145,600","$146,300","$146,900","$147,500","$148,200","$149,300","$150,200","$150,800","$151,000","$151,300","$151,900","$152,700","$153,600","$154,200","$155,400","$156,200","$157,200","$157,400","$158,100","$159,000","$160,000","$161,000","$161,300","$161,600","$161,900","$162,800","$163,500","$164,600","$165,900","$167,600","$169,200","$170,800","$172,600","$174,000","$175,900","$177,700","$179,800","$181,500","$182,900","$183,800","$184,500","$185,400","$186,400","$187,200","$188,400","$190,000","$191,700","$193,500","$194,900","$196,600","$197,700","$199,200","$200,700","$202,400","$204,000","$205,400","$206,600","$207,600","$208,400","$209,200","$210,100","$211,200","$212,400","$213,500","$214,100","$214,600","$215,100","$215,900","$216,700","$217,400","$218,300","$219,000","$219,900","$220,500","$221,500","$222,400","$223,800"
